"Finish with my woman, cause she couldn't help me with my mind.",0.0,18.0
People think I'm insane because I am drowning all the time.,18.0,24.0
All day long I think of things but nothing seems to satisfy.,35.0,41.0
Think I'll lose my mind if I don't find something to satisfy.,41.0,47.0
Can you help me?,48.0,50.0
Help you find my brain?,51.0,54.0
Oh yeah.,55.0,57.0
I need someone to show me the things in life that I can find.,57.0,76.0
I can't see the things that make true happiness. I must be blind.,77.0,82.0
I'm not sure if I'm going to find happiness.,87.0,92.0
I'm not sure if I'm going to find happiness.,93.0,97.0
I'm not sure if I'm going to find happiness.,98.0,102.0
I'm not sure if I'm going to find happiness.,103.0,107.0
I'm not sure if I'm going to find happiness.,108.0,112.0
Make a joke and I will sigh and you will laugh and I will cry.,112.0,123.0
Happiness I cannot feel and love to me is so unreal.,124.0,129.0
And so as you hear these words telling you now of my state.,130.0,146.0
I tell you to enjoy life I wish I could but it's too late.,147.0,152.0
I'm not sure if I'm going to find happiness.,159.0,165.0
