Mama take this badge off of me,30.0,34.0
I can't use it anymore,37.0,41.0
"It's getting dark, too dark to see",44.0,48.0
I feel I'm knocking on heaven's door,51.0,55.0
"Knock, knock, knocking on heaven's door",56.0,61.0
"Knock, knock, knocking on heaven's door",63.0,69.0
"Knock, knock, knocking on heaven's door",70.0,84.0
Mama put my guns in the ground,85.0,88.5
I can't shoot them anymore,92.1,96.0
That long black cloud is coming down,98.5,102.5
I feel I'm knocking on heaven's door,105.5,109.5
Knock knock knocking on heaven's door,110.5,113.5
Knock knock knockin on heaven's door,118.5,121.5
Knock knock knockin on heaven's door,125.5,128.5
Knock knock knocking on heaven's door,132.5,135.5
Ooooooh,139.5,144.5
