"I got my first real six-string, bought it at the five-and-dime",0.0,11.0
"Played it till my fingers bled, was the summer of 69",11.0,18.0
"Me and some guys from school, had a band and we tried real hard",18.0,25.0
"Till we quit, Jody got married, I should've known we'd never get far",25.0,32.0
"Oh, and I look back now, that summer seemed to last forever",32.0,39.0
"And if I had the choice, yeah, I just wanna be there",39.0,46.0
Those were the best days of my life,46.0,50.0
"Ain't no use in complaining, when you got a job to do",56.0,63.0
"I spent my evenings down at the job-in, and that's when I met you, yeah",63.0,70.0
"Standing on your mama's porch, you told me that she waits forever",70.0,77.0
"Oh, when you held my hand, I knew that it was now or never",77.0,84.0
Those were the best days of my life,84.0,88.0
"Oh, yeah, back in the summer of 69",90.0,96.0
"Oh, yeah, we were killing time, we were young and restless",97.0,106.0
"We needed to unwind, I guess nothing can last forever, forever, no",106.0,115.0
Yeah!,116.0,118.0
"And now the times are changing, look at everything that's come and gone",128.0,135.0
"Times went up, we got all six-three, think about you, wonder what went wrong",135.0,142.0
"Standing on your mama's porch, you told me that it lasts forever",142.0,149.0
"Oh, when you held my hand, I knew that it was now or never",149.0,156.0
Those were the best days of my life,156.0,160.0
"Oh, yeah, back in the summer of 69",162.0,168.0
"Oh, it was the summer of 69",169.0,175.0
"Oh, yeah, me and my baby",176.0,182.0
Oh!,183.0,187.0
Who's that?,198.0,205.0
Nobody,205.0,207.0
"I said, who's that?",207.0,209.0
"I said, nobody",209.0,211.0
