I see that moon rising I see trouble on the way,0.0,16.46
I see earthquakes and lightning I see bad times today,16.46,24.44
Don't go around tonight But let you finally take your life,24.44,31.44
There's a bad moon on the right I hear hurricanes a-flowin',31.44,43.120000000000005
I know the end is comin' soon I feel rivers overflowing,43.120000000000005,53.78
I hear earthquakes and lightning I see trouble on the way,53.78,54.42
I see troubles on the way I see bad times today,54.42,61.42
Don't go around tonight But let you finally take your life,61.42,69.42
There's a bad moon on the right,69.42,70.42
I see trouble on the way I see bad times today,84.42,91.42
Hope you got your things together Hope you are quite prepared today,91.42,99.42
Looks like we're in for nasty weather One eye is taken for an eye,99.42,110.42
"Well, don't go around tonight But let you finally take your life",110.42,111.42
There's a bad moon on the way I see troubles on the way,111.42,112.42
I see troubles on the way I see bad times today,112.42,113.42
Don't go around tonight But let you finally take your life,113.42,114.42
There's a bad moon on the right,114.42,120.42
There's a bad moon on the right,120.42,121.42
Don't go around tonight But let you finally take your life,121.42,124.42
There's a bad moon on the right,124.42,131.42000000000002
There's a bad moon on the right,131.42000000000002,141.42000000000002
