"Soñé con el alma mía, soñaba con mis amores, que en mis brazos los tenía.",30.0,40.32
"Vi entrar señora muy blanca, muy más que la nieve fría,",40.32,47.120000000000005
"por donde has entrado amor, como has entrado mi vida.",47.120000000000005,54.32
"Las puertas están cerradas, ventanas y celosías,",55.2,61.12
"no soy el amor amante, soy la muerte Dios me envía.",61.12,67.68
"Hay muerte tan rigurosa, déjame vivir un día,",84.32,102.88
"un día no puede ser, una hora tienes de vida.",102.88,110.16
"Muy deprisa se calzaba, más deprisa se vestía,",110.16,116.39999999999999
ya se va para la calle en donde su amor vivía.,116.39999999999999,123.67999999999999
"Ábreme la puerta blanca, ábreme la puerta niña,",123.67999999999999,130.0
¿cómo te podré yo abrir si la ocasión no es venida?,130.0,137.28
"Mi padre no fue a palacio, mi madre no está dormida,",137.28,143.68
"si no me abres esta noche, ya no me abrirás querida.",143.68,150.72
"La muerte me anda buscando, junto a ti vida sería,",151.68,170.72
"vete bajo mi ventana, donde labraba y cosía,",170.72,177.6
"te echaré cordón de seda, para que subas arriba,",178.07999999999998,184.56
"y si el hilo no alcanzaré, mis trenzas añadiría.",184.56,191.84
"Se rompió el cordón de seda, la muerte que allí venía,",191.84,198.24
"vamos a ser enamorados, que la obra ya es cumplida.",198.24,205.36
