Your laughter was laughable.,0.0,21.06
Flowers in time bend towards the sun,51.06,55.06
I know you say that there's no one for you,55.06,59.06
But here is one,59.06,61.06
"Oh, flowers in time bend towards the sun",61.06,67.06
I know you say that there's no one for you,67.06,71.06
But here is one,71.06,73.06
But here is one,73.06,85.06
Is one,85.06,91.06
"Oh, yeah",91.06,97.06
"Oh, flowers in time bend towards the sun",97.06,123.06
"Oh, flowers in time bend towards the sun",123.06,128.06
I know you say that there's no one for you,128.06,132.06
But here is one,132.06,134.06
"Oh, flowers in time bend towards the sun",134.06,139.06
I know you say that there's no one for you,139.06,143.06
But here is one,143.06,146.06
But here is one,146.06,152.06
"Keep it going in me, wicked traveler",152.06,177.06
Fading farther from me,178.06,181.06
With your face in my window glows,181.06,188.06
"Where will you wait for me, sweet willow?",188.06,201.06
"It's okay to be angry, but not to hurt me",207.06,218.06
"Yes, yes, darling, darling, no",219.06,233.06
"No, no, no, no, no, no, no",233.06,243.06
"Oh, flowers in time bend towards the sun",243.06,248.06
I know you say that there's no one for you,248.06,252.06
But here is one,252.06,254.06
"Oh, flowers in time bend towards the sun",254.06,260.06
I know you say that there's no one for you,260.06,263.06
But here is one,263.06,266.06
"Oh, flowers in time bend towards the sun",266.06,271.06
I know you say that there's no one for you,271.06,275.06
But here is one,275.06,277.06
"Oh, flowers in time bend towards the sun",277.06,283.06
I know you say that there's no one for you,283.06,287.06
But here is one,287.06,289.06
But here is one,290.06,292.06
But here is one,293.06,301.06
