"Oh, the pretty girls like Samuel Oh, he really doesn't share",0.0,23.0
"Though it's more than he can handle Life is anything but fair, life is anything",23.0,37.8
"but fair Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh,",37.8,48.0
"oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh,",48.0,55.0
"oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh,",55.0,59.0
"oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh,",59.0,60.0
"oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh,",60.0,61.0
"oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh,",62.0,65.0
"oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh,",65.0,66.0
"oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh,",66.0,67.0
"oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh",67.0,97.0
won't you let me die,97.0,103.0
"oh, oh, oh",112.0,115.0
"oh, oh, oh",118.0,121.0
"all alone, alone again",128.0,130.0
no one lends a helping hand,130.0,134.0
i have waited,134.0,136.0
i have waited,137.0,139.0
"takes a toll, my foolish pride",140.0,143.0
long before i see the light,143.0,146.0
i have waited,147.0,149.0
i have waited,150.0,151.0
for you to lay me down,151.0,158.0
"sail on by, sail on by for now",159.0,164.0
they put naked in the water,165.0,170.0
"you know it's hard, heaven knows i've tried",172.0,177.0
but it just keeps getting harder,178.0,182.0
"so won't you lay me, won't you lay me down",183.0,189.0
"won't you lay me, won't you lay me down",189.0,195.0
"won't you lay me, won't you lay me down",196.0,202.0
"won't you lay me, won't you lay",202.0,208.0
"won't you lay me, won't you lay me down",208.0,224.0
say won't you lay me down,224.0,228.0
Won't you lay me down?,228.0,234.16
"Oh, I'll wait, I'll wait, I'll wait, I'll wait for you.",234.16,240.12
"Yeah, I'll wait, I'll wait, I'll wait, I'll wait for you.",240.12,246.84
"Oh, I'll wait, I'll wait, I'll wait, I'll wait for you.",246.84,252.8
"Oh, I'll wait, I'll wait, I'll wait, I'll wait for you.",252.8,259.36
"For you to lay me, won't you lay me down?",259.36,266.88
