O que mais tem de acontecer no mundo,0.0,14.540000000000001
Para inverter o teu coração para mim?,14.540000000000001,18.68
Que quantidade de lágrimas devo deixar cair?,21.28,24.240000000000002
Que flor tem que nascer para ganhar o teu amor?,24.740000000000002,28.3
"Por esse amor, meu Deus, eu faço tudo",30.0,34.68
Declamo os poemas mais lindos do universo,34.68,39.38
A ver se te convenço,39.38,43.58
Que a minha alma nasceu para ti,43.58,48.6
Será preciso um milagre,48.6,53.620000000000005
Para que o meu coração se alegre,53.620000000000005,58.82
"Por esse amor, meu Deus, eu faço tudo",58.82,59.980000000000004
Juro não vou desistir,60.0,62.0
Faça chuva ou faça sol,62.98,65.48
Porque eu preciso de ti para seguir,65.48,68.0
Quem me dera,68.66,71.14
"Abraçar-te no outono, verão e primavera",71.14,76.0
Quis-se a viver além uma quimera,76.94,80.32
Herdar a sorte e ganhar teu coração,80.32,85.16
Quem me dera,88.16,89.96000000000001
Quem me dera,89.96000000000001,89.98
"Abraçar-te no outono, verão e primavera",90.0,95.0
Quis-se a viver além uma quimera,95.96,99.82
Herdar a sorte e ganhar teu coração,99.82,105.34
Será preciso uma tempestade,105.34,113.6
Para perceberes que o meu amor é de verdade,113.6,117.82
Te procuro nos altos dós da cidade,120.0,122.52
Nas luzes dos faróis,122.52,124.84
Nos meros mortais como nós,124.84,128.0
O meu amor é puro,128.0,132.5
É tão grande e resistente como um emboadeiro,132.5,138.16
Por ti eu vou onde nunca iria,138.16,142.76
Por ti eu sou o que nunca seria,142.76,147.38
Quem me dera,147.38,149.0
Quem me dera,149.0,149.96
"Abraçar-te no outono, verão e primavera",150.0,155.24
Quis-se a viver além uma quimera,155.24,159.4
Herdar a sorte e ganhar teu coração,159.4,164.72
Quem me dera,164.72,170.34
"Abraçar-te no outono, verão e primavera",170.34,175.0
Quis-se a viver além uma quimera,175.0,179.52
Quem me dera,179.52,179.96
Herdar a sorte e ganhar teu coração,179.96,186.68
Quem me dera,206.68,209.48000000000002
"Abraçar-te no outono, verão e primavera",209.48,214.72
Quis-se a viver além uma quimera,214.72,219.22
Herdar a sorte e ganhar teu coração,219.22,224.12
Quem me dera,224.12,229.88
"Abraçar-te no outono, verão e primavera",229.88,235.1
Quis-se a viver além uma quimera,235.1,238.79999999999998
Quem me dera,238.79999999999998,239.45999999999998
Herdar a sorte e ganhar teu coração,239.48,247.23999999999998
Quem me dera,247.23999999999998,250.51999999999998
Quem me dera,250.51999999999998,255.39999999999998
Quem me dera,255.39999999999998,259.4
Quem me dera,259.4,263.56
Quem me dera,263.56,266.2
