"Yn ystod y 2000, mae'r cyfle i ddod yn ystod y 2000 yn ystod y 2000.",0.0,8.0
"Yn ystod y 2000, mae'r cyfle i ddod yn ystod y 2000 yn ystod y 2000.",8.0,16.0
"Yn ystod y 2000, mae'r cyfle i ddod yn ystod y 2000 yn ystod y 2000.",16.0,24.0
Rwy'n dal i gael y cyfle i ddod yn ystod y 2000 ar y cyfle i ddod yn yr ysgolau.,24.0,32.0
Rwy'n dal i gael yr ysgolau.,32.0,36.0
"Cymorth ymlaen,",36.0,39.0
"Cymorth ymlaen,",39.0,41.0
"Cymorth ymlaen,",41.0,44.0
"Cymorth ymlaen,",44.0,47.0
"Cymorth ymlaen,",47.0,50.0
"Cymorth ymlaen,",50.0,53.0
"Hey you, don't help them to bury the light",53.0,63.0
Don't give in without a fight,63.0,71.0
"Hey you, out there on your own",71.0,82.0
"Sitting naked by the phone, would you touch me?",82.0,86.0
"Hey you, with your ear against the wall",86.0,93.0
"Waiting for someone to call out, would you touch me?",93.0,97.0
"Hey you, would you help me to carry the stone?",97.0,108.0
"Open your heart, I'm coming home",108.0,116.0
"Hey you, with your ear against the wall",127.0,141.0
"Waiting for someone to call out, would you touch me?",141.0,151.0
But it was only fantasy,151.0,180.0
"The wall was too high, as you can see",181.0,189.0
"No matter how he tried, he could not break free",189.0,196.0
And the worms ate into his brain,196.0,202.0
And now he's a murderer,211.0,215.0
"Hey you, out there on the road",215.0,238.0
"Always doing what you're told, can you help me?",238.0,242.0
"Hey you, out there beyond the wall",243.0,248.0
"Freaking bottles in the hall, can you help me?",248.0,252.0
"Hey you, don't tell me there's no hope at all",252.0,262.0
"Together we stand, divided we fall",262.0,271.0
