I follow the Moskva down to Gonki Park,0.0,28.0
Listening to the wind of change,28.0,35.0
"An August summer night, soldiers passing by",36.0,42.0
Listening to the wind of change,42.0,49.0
The world is closing in,59.0,73.0
Did you ever think that we could be so close like brothers?,73.0,84.0
"The future's in the air, can feel it everywhere",85.0,91.0
I'm blowing with the wind of change,91.0,98.0
Take me to the magic of the moment,99.0,105.0
On a glory night,105.0,108.0
Where the children of tomorrow dream away,108.0,114.0
In the wind of change,114.0,118.0
"Walking down the street, distant memories",126.0,132.0
Are buried in the past forever,132.0,139.0
I follow the Moskva down to Gonki Park,140.0,146.0
Listening to the wind of change,146.0,153.0
Take me to the magic of the moment,154.0,160.0
On a glory night,160.0,163.0
Where the children of tomorrow dream away,163.0,169.0
In the wind of change,169.0,173.0
The wind of change blows straight into the face of time,175.0,181.0
"Like a storm wind, then we ring the freedom bell",181.0,185.0
For peace of mind,185.0,188.0
Let Yabba the Lark sing what my guitar wants to sing,188.0,200.0
Take me to the magic of the moment,219.0,230.0
On a glory night,230.0,233.0
Where the children of tomorrow dream away,233.0,239.0
In the wind of change,239.0,244.0
In the wind of change,248.0,251.0
"When you look at it from up here, you get an appreciation of",265.0,268.0
our world is a beautiful place and we do need to take care of it,268.0,272.0
Thank you for watching!,278.0,283.0
