"All right, man.",0.0,5.04
So how are we doing this?,5.04,7.08
"So I know you don't like doing this that often, but we've been practicing a lot.",7.08,10.92
I think we can do it live in one take.,10.92,13.72
Live?,13.72,15.32
One take?,15.32,16.32
Okay.,16.32,17.32
We've been practicing like a lot.,17.32,19.76
"So yeah, we can do it.",19.76,20.76
"Yeah, one take.",20.76,21.76
That's all it's going to take.,21.76,22.76
Just once.,22.76,23.76
Just once.,23.76,25.76
Okay.,53.76,54.76
So we're going to do it live.,54.76,55.76
Okay.,55.76,56.76
So we're going to do it live.,56.76,57.76
Okay.,57.76,58.76
So we're going to do it live.,58.76,59.76
Okay.,59.76,60.76
So we're going to do it live.,60.76,61.76
Okay.,61.76,62.76
So we're going to do it live.,62.76,63.76
Okay.,63.76,64.75999999999999
So we're going to do it live.,64.75999999999999,65.75999999999999
Okay.,65.75999999999999,66.75999999999999
So we're going to do it live.,66.75999999999999,67.75999999999999
Okay.,67.75999999999999,68.75999999999999
So we're going to do it live.,68.75999999999999,69.75999999999999
Okay.,69.75999999999999,70.75999999999999
So we're going to do it live.,70.75999999999999,71.75999999999999
Okay.,71.75999999999999,72.75999999999999
So we're going to do it live.,72.75999999999999,73.75999999999999
Okay.,73.75999999999999,74.75999999999999
So we're going to do it live.,74.75999999999999,75.75999999999999
Okay.,75.75999999999999,76.75999999999999
So we're going to do it live.,76.75999999999999,77.75999999999999
Okay.,77.75999999999999,78.75999999999999
So we're going to do it live.,78.75999999999999,79.75999999999999
Okay.,79.75999999999999,80.75999999999999
So we're going to do it live.,80.75999999999999,81.75999999999999
Okay.,81.75999999999999,82.75999999999999
So we're going to do it live.,82.76,83.76
Okay.,83.76,84.76
So we're going to do it live.,84.76,85.76
Okay.,85.76,86.76
So we're going to do it live.,86.76,87.76
Okay.,87.76,88.76
So we're going to do it live.,88.76,89.76
Okay.,89.76,90.76
So we're going to do it live.,90.76,91.76
Okay.,91.76,92.76
So we're going to do it live.,92.76,93.76
Okay.,93.76,94.76
So we're going to do it live.,94.76,95.76
Okay.,95.76,96.76
So we're going to do it live.,96.76,97.76
Okay.,97.76,98.76
So we're going to do it live.,98.76,99.76
Okay.,99.76,100.76
So we're going to do it live.,100.76,101.76
Okay.,101.76,102.76
So we're going to do it live.,102.76,103.76
Okay.,103.76,104.76
So we're going to do it live.,104.76,105.76
Okay.,105.76,106.76
So we're going to do it live.,106.76,107.76
Okay.,107.76,108.76
