Thank you.,0.0,29.98
Thank you.,30.0,59.980000000000004
With or without you,60.0,62.86
With or without you,62.86,68.14
Through the storm we reach the shore,68.14,75.22
You give it all but I want more,75.22,79.58
And I'm waiting for you,79.58,84.7
With or without you,85.7,88.82
With or without you,88.82,89.7
With or without you,90.0,93.56
I can't live,93.56,97.64
With or without you,97.64,103.18
Then you give yourself away,103.18,116.58
And you give yourself away,116.58,119.58
"And you give, and you give",120.0,123.0
And you give yourself away,123.0,126.0
My hands are tied,126.0,132.0
The body bruised she got me with,132.0,136.0
Nothing to win and nothing left to lose,136.0,142.0
And you give yourself away,142.0,146.0
And you give yourself away,146.0,148.0
And you give yourself away,148.0,149.0
And you give yourself away,149.0,150.0
And you give yourself away,150.0,156.0
"And you give, and you give",156.0,161.0
And you give yourself away,161.0,165.0
With or without you,165.0,169.0
With or without you,169.0,173.5
I can't live,173.5,177.0
With or without you,177.0,179.0
With or without you,179.0,199.0
With or without you,199.0,203.76
With or without you,203.76,207.0
Without you,207.0,208.0
"I can't live with or without you, with or without you.",208.0,221.0
With or without you.,238.0,267.98
With or without you.,268.0,297.98
