"I see it, I'm chained red",30.0,35.0
"Wipe away those tears, child",47.0,50.0
There's no need to cry,50.0,53.0
Stand up on your feet now,53.0,56.0
Lift your head up high,56.0,59.0
Wait till tomorrow to lay down your sorrow,59.0,62.0
Freedom is here today,62.0,65.0
"Wipe away those tears, child",65.0,68.0
Put down your shame,68.0,70.0
"Oh, I see an empty grave",70.0,77.0
I hear the heavens waking,77.0,80.0
Angels in jubilation,80.0,82.0
Bad storms be rolled away,82.0,88.0
I feel the darkness breaking,88.0,91.0
I bet the devil's shaking,91.0,94.0
Somebody celebrate,94.0,97.0
I see an empty grave,97.0,100.0
"Wipe away those tears, child",111.0,114.0
There's no need to cry,114.0,117.0
Stand up on your feet now,117.0,120.0
Lift your head up high,120.0,123.0
Wait till tomorrow to lay down your sorrow,123.0,126.0
Freedom is here today,126.0,129.0
"Wipe away those tears, child",129.0,132.0
Put down your shame,132.0,134.0
"Oh, I see an empty grave",134.0,141.0
I hear the heavens waking,141.0,144.0
Angels in jubilation,144.0,146.0
Bad storms be rolled away,146.0,151.0
I feel the darkness breaking,151.0,154.0
I bet the devil's shaking,154.0,157.0
Somebody celebrate,157.0,160.0
I see an empty grave,160.0,164.0
"Wipe away those tears, child",177.0,180.0
There's no need to cry,180.0,183.0
Stand up on your feet now,183.0,186.0
Lift your head up high,186.0,189.0
Wait till tomorrow to lay down your sorrow,189.0,192.0
Freedom is here today,192.0,195.0
"Wipe away those tears, child",195.0,198.0
Put down your shame,198.0,201.0
"Oh, I see an empty grave",201.0,204.0
"Wipe away those tears, child",204.0,207.0
Go and tell the news,207.0,209.0
What started in the garden,209.0,212.0
Was finished in the tomb,212.0,215.0
It's all reversed,215.0,217.0
"The apple, the curse",217.0,218.0
Three days in the ground,218.0,221.0
Christ our Lord is risen,221.0,224.0
Death couldn't hold him down,224.0,228.0
