Hellboy,6.99,7.49
"Carter,",7.49,7.89
time,8.07,8.79
to,9.57,9.87
strike,9.87,10.07
a,10.07,10.19
match,10.19,10.49
and,10.49,10.75
light,10.75,11.17
up,11.17,11.55
this,11.55,11.83
juke,11.83,12.09
joint.,12.09,12.45
"One,",13.05,13.31
"one,",13.33,13.77
one,13.79,14.09
by,14.09,14.55
"one,",14.55,15.21
you,15.27,15.67
hang,15.67,16.05
them,16.05,16.41
high.,16.41,16.77
Your,17.39,17.51
hands,17.51,18.09
are,18.09,18.47
steady,18.47,18.97
in,18.97,19.31
your,19.31,19.51
sleeping,19.51,19.89
night.,19.89,20.45
How,21.23,21.43
did,21.43,21.81
you,21.81,22.23
turn,22.23,22.75
your,22.75,23.23
heart,23.23,23.79
to,23.79,24.21
stone?,24.21,24.66
I,24.66,25.15
don't,25.15,25.71
want,25.71,25.89
him,25.89,25.97
"back,",25.97,26.27
but,26.33,26.57
I,26.57,26.65
can't,26.65,27.21
let,27.21,27.31
go.,27.31,27.69
"Hangman,",29.15,29.97
answer,30.11,30.67
me,31.4,31.82
now.,31.82,32.3
You,32.74,32.84
owe,32.84,33.26
me,33.26,33.44
a,33.44,33.84
"debt,",33.84,34.16
you,34.32,34.68
stole,34.68,35.12
him,35.12,35.44
from,35.44,35.74
me.,35.74,36.02
I,36.26,36.58
hated,36.58,37.18
you,37.18,37.6
"once,",37.6,38.0
I,38.22,38.52
envy,38.52,39.1
you,39.1,39.4
now.,39.4,39.88
Just,40.6,40.7
tell,40.7,41.14
me,41.14,41.48
"how,",41.48,41.78
tell,41.88,42.16
me,42.16,42.3
how.,52.59,52.8
"Boy,",52.98,53.1
she,53.18,53.36
got,53.36,53.62
that,53.62,53.92
water.,53.92,54.26
Hangman,54.94,55.32
got,55.32,55.44
that,55.44,55.82
water.,55.82,56.26
Don't,56.32,56.88
act,56.88,57.02
like,57.02,57.26
you,57.26,57.4
don't,57.4,57.8
know.,57.8,58.02
Giddy,58.72,58.92
"up,",58.92,59.06
giddy,59.16,59.5
up.,59.5,59.56
Don't,60.5,61.08
pay,61.08,61.2
me,61.2,61.4
in,61.4,61.54
gold.,61.54,61.92
Giddy,62.52,62.74
"up,",62.74,62.9
giddy,62.98,63.2
up.,63.2,63.51
Back,63.51,63.98
"outside,",63.98,64.36
I'm,64.68,65.16
on,65.16,65.18
the,65.18,65.44
road.,65.44,65.7
Giddy,65.9,66.54
"up,",66.54,66.7
giddy,66.8,67.02
up.,67.02,67.26
When,67.56,67.8
the,67.8,68.06
sun,68.06,68.54
goes,68.54,68.74
"down,",68.74,69.5
you,69.56,70.2
can,70.2,71.8
hear,71.8,72.1
her,72.1,72.44
body,72.44,72.82
howl.,72.82,73.52
I,75.02,75.26
feel,75.26,75.56
her,75.56,75.76
eye,75.76,76.0
in,76.0,76.26
me.,76.26,76.4
"Like,",76.5,76.68
"oh,",76.78,77.12
"oh,",77.44,77.96
oh.,78.12,78.14
You,78.14,78.16
say,78.16,78.24
you're,78.24,78.68
pajama,78.68,79.2
when,79.2,79.48
a,79.48,79.64
hangman,79.64,80.1
coming,80.1,80.42
down.,80.42,80.92
"Ooh,",81.12,81.74
yeah.,81.8,81.83
She's,81.83,82.36
a,82.36,82.38
tyrant.,82.38,83.18
Every,83.56,83.78
time,83.78,84.2
I,84.2,84.42
ride,84.42,84.76
"it,",84.76,85.2
every,85.22,85.64
time,85.64,86.1
I,86.1,86.32
ride,86.32,86.68
it.,86.68,87.1
Make,87.2,87.44
it,87.44,87.62
look,87.62,87.88
so,87.88,88.06
"good,",88.06,88.58
try,88.78,89.24
to,89.24,89.56
justify,89.56,90.1
it.,90.1,90.84
"Boy,",90.84,91.26
you,91.3,91.56
know,91.56,91.76
they,91.76,91.92
looking,91.92,92.26
for,92.26,92.54
me.,92.54,92.9
How,92.94,93.18
we,93.18,93.28
gonna,93.28,93.74
hide,93.74,94.28
it?,94.28,94.73
Ride,94.73,95.1
it,95.1,95.26
like,95.26,95.56
hydraulics.,95.56,96.6
I,96.7,96.98
am,96.98,97.16
such,97.16,97.48
a,97.48,97.62
tyrant.,97.62,98.42
Every,98.42,98.94
time,98.94,99.44
I,99.44,99.54
ride,99.54,99.96
"it,",99.96,100.36
every,100.42,100.9
time,100.9,101.34
I,101.34,101.46
ride,101.46,101.88
it.,101.88,102.14
I,102.26,102.68
don't,102.68,103.0
like,103.0,103.14
to,103.14,103.38
sit,103.38,103.66
up,103.66,103.96
in,103.96,104.04
the,104.04,104.28
saddle.,104.28,104.68
"Boy,",104.68,105.08
I,105.18,105.34
got,105.34,105.7
it.,105.7,105.94
Just,106.08,106.44
"relax,",106.44,106.9
I,107.02,107.26
got,107.26,107.46
this.,107.46,107.82
I,108.1,108.38
got,108.38,108.54
that,108.54,108.98
exotic.,108.98,109.3
It's,110.18,110.38
"so,",110.38,110.52
so,110.58,110.9
hypnotic.,110.9,111.84
I,111.98,112.2
am,112.2,112.42
such,112.42,112.7
a,112.7,112.94
tyrant.,112.94,113.35
Send,113.35,113.64
me,113.64,113.7
some,113.7,113.86
shots.,113.86,114.26
Are,114.28,114.74
you,114.74,114.9
with,114.9,115.06
me,115.06,115.2
or,115.2,115.32
not?,115.32,115.58
Throw,116.3,116.42
it,116.42,116.58
back.,116.58,116.82
Shoot,117.3,117.36
up,117.36,117.56
the,117.56,117.68
bar.,117.68,118.02
To,118.56,118.68
tell,118.68,118.92
a,118.92,118.98
"lie,",118.98,119.22
we,119.24,119.34
don't,119.34,119.58
remember,119.58,119.78
none,119.78,120.1
after,120.1,120.38
that.,120.38,120.6
Stop.,121.06,121.31
"Oh,",121.31,122.5
"oh,",122.7,122.94
oh.,123.08,123.15
City,123.15,123.7
after,123.7,124.1
me.,124.1,124.42
I've,124.84,125.1
seen,125.1,125.36
a,125.36,125.7
"five,",125.7,126.06
nine,126.14,126.44
thick,126.44,126.66
and,126.66,126.84
fine.,126.84,127.02
What,127.2,127.36
a,127.36,127.58
tragedy.,127.58,127.94
"Hey,",128.72,128.76
hey.,128.96,129.22
Ride,129.6,129.86
it,129.86,129.96
while,129.96,130.22
we,130.22,130.38
trying,130.38,130.64
to,130.64,130.72
get,130.72,130.92
away.,130.92,131.14
Ride,131.46,131.68
it,131.68,131.88
while,131.88,132.08
we,132.08,132.26
trying,132.26,132.5
to,132.5,132.62
catch,132.62,132.8
a,132.8,132.94
wave.,132.94,133.18
That's,133.46,133.74
so,133.74,133.88
sexy,133.88,134.24
and,134.24,134.56
I,134.56,134.7
know,134.7,134.96
it.,134.96,135.07
And,135.07,135.09
I,135.09,135.11
know,135.11,135.13
it.,135.13,135.15
I'm,135.78,136.04
afraid,136.04,136.34
to,136.34,136.72
show,136.72,136.9
it.,136.9,137.06
"Baby,",137.16,137.44
I'm,137.52,137.76
goldie.,137.76,138.02
"Baby,",138.08,138.36
I'm,138.48,138.72
glowing.,138.72,138.92
"Hey,",139.06,139.36
hey.,139.5,139.82
I'm,140.04,140.42
a,140.42,140.5
"run,",140.5,140.76
run.,140.94,141.16
Tap,141.36,141.64
me,141.64,141.8
on,141.8,141.96
the,141.96,142.1
shoulder,142.1,142.32
when,142.32,142.48
