Hello,13.26,13.9
"there,",13.9,14.46
the,14.64,15.22
angel,16.52,17.02
from,17.02,17.46
a,17.46,17.78
"nightmare,",17.78,18.18
the,18.66,19.24
shadow,19.24,19.68
in,19.68,20.38
the,20.38,20.54
background,20.54,20.9
of,20.9,21.6
the,21.6,21.76
"morgue,",21.76,22.28
the,22.32,23.18
unsuspected,23.18,24.28
victim,24.28,24.94
of,24.94,25.87
darkness,26.81,27.61
in,27.61,28.11
the,28.11,28.37
valley.,28.37,28.93
We,29.17,29.59
can,29.59,29.83
live,29.83,30.07
like,30.07,30.53
Jack,30.53,30.87
and,30.87,31.05
Sally,31.05,31.65
if,31.65,31.97
we,31.97,32.21
"want,",32.21,32.63
where,32.87,33.79
you,33.79,34.17
can,34.17,34.55
always,34.55,35.07
find,35.07,35.59
me.,35.59,35.97
And,36.75,37.25
we'll,37.25,37.77
have,37.77,37.99
Halloween,37.99,38.43
on,38.43,39.09
"Christmas,",39.09,39.73
and,39.93,40.47
in,40.47,40.61
the,40.61,40.75
"night,",40.75,41.19
we'll,41.33,42.11
wish,42.11,42.39
this,42.39,42.71
never,42.71,43.05
"ends,",43.05,43.51
we'll,43.83,44.85
wish,44.85,45.07
this,45.07,45.33
never,45.33,45.77
ends.,45.77,46.35
I,46.61,46.99
miss,54.82,55.12
"you,",55.12,55.7
I,55.74,55.96
miss,55.96,56.54
you.,56.54,57.04
Where,57.12,57.71
are,66.29,66.79
you?,66.79,67.19
And,67.25,68.37
I'm,68.37,68.79
so,68.79,69.03
sorry.,69.03,69.59
I,69.59,70.55
cannot,71.6,71.9
"sleep,",71.9,72.74
I,72.82,73.06
cannot,73.06,73.46
dream,73.46,74.1
tonight.,74.1,74.7
I,74.94,75.64
need,75.64,75.94
somebody,75.94,76.8
and,76.8,77.08
always.,77.08,77.58
This,77.96,78.58
"sick,",79.35,79.79
strange,79.89,80.63
darkness,80.63,81.51
comes,81.51,82.37
creeping,82.37,82.85
in.,82.85,83.05
I'm,83.11,83.33
so,83.33,83.57
haughten,83.57,84.67
every,84.67,84.97
"time,",84.97,85.57
and,85.71,86.45
as,86.45,86.87
I,86.87,87.15
"stared,",87.15,87.65
I,87.67,87.93
counted.,87.93,88.27
The,90.4,90.62
webs,90.62,90.92
from,90.92,91.2
all,91.2,91.4
the,91.4,91.6
"spiders,",91.6,92.22
catching,92.58,93.68
things,93.68,94.28
and,94.28,94.56
eating,94.56,94.86
their,94.86,95.52
"insides,",95.52,96.42
like,96.56,97.26
indecision,97.26,98.24
to,98.24,98.44
call,98.44,98.88
you.,98.88,99.22
And,100.56,101.07
hear,101.07,101.43
your,101.43,101.71
voice,101.71,102.15
of,102.15,102.41
treason.,102.41,102.97
Will,103.09,103.57
you,103.57,103.71
come,103.71,104.05
home,104.05,104.55
and,104.55,104.99
stop,104.99,105.43
this,105.43,105.67
pain,105.67,106.11
tonight?,106.11,106.53
Stop,106.75,107.87
this,107.87,108.25
pain,108.25,108.89
tonight.,108.89,109.81
Don't,119.53,119.95
waste,119.95,120.25
your,120.25,120.73
time,120.73,121.19
on,121.19,121.57
me.,121.57,121.99
You're,122.89,123.29
already,123.29,123.55
dead.,123.55,123.79
You're,123.89,123.97
already,123.97,123.99
the,123.99,124.31
voice,124.31,124.91
inside,124.91,126.05
my,126.05,126.93
head.,126.93,127.81
Don't,130.07,130.45
waste,130.45,130.63
your,130.63,131.11
time,131.11,131.43
on,131.43,132.11
me.,132.11,132.44
You're,132.44,133.67
already,133.67,134.19
the,134.19,134.65
voice,134.65,135.33
inside,135.33,136.75
my,136.75,137.63
head.,137.63,138.19
And,164.67,164.81
don't,164.81,165.33
waste,165.33,165.59
your,165.59,165.91
time,165.91,166.43
on,166.43,166.83
me.,166.83,167.11
You're,168.07,168.45
already,168.45,169.03
the,169.03,169.41
voice,169.41,170.05
inside,170.05,171.39
my,171.39,171.87
head.,171.87,172.61
And,174.65,174.73
don't,174.73,175.29
waste,175.29,175.57
your,175.57,175.87
time,175.87,176.41
on,176.41,176.89
me.,176.89,177.17
You're,177.17,178.21
already,178.21,178.87
the,178.87,179.31
voice,179.31,180.01
inside.,180.01,181.31
My,181.87,182.03
head.,182.03,182.55
Don't,182.63,183.51
waste,185.33,185.49
your,185.49,185.69
time,185.69,185.71
on,185.71,185.73
me.,185.73,185.75
You're,185.75,185.77
already,185.77,185.79
the,185.79,186.21
voice,186.21,186.69
inside,186.69,186.71
my,186.71,186.73
head.,186.73,186.75
Don't,186.75,186.77
waste,186.77,186.79
your,186.79,186.81
time,186.81,186.83
on,186.83,186.87
me.,186.87,186.98
You're,186.98,187.0
already,187.0,187.02
the,187.02,187.04
voice,187.04,187.06
inside,187.06,187.08
my,187.08,187.13
head.,187.13,187.63
I,187.71,188.05
miss,188.05,188.53
"you,",188.53,189.27
miss,189.35,189.53
you.,189.53,189.69
I,189.69,189.71
miss,189.71,189.73
"you,",189.73,189.75
miss,189.75,189.77
you.,189.77,190.23
I,190.23,190.75
miss,190.75,191.09
"you,",191.09,191.69
miss,191.69,191.71
you.,191.71,191.73
I,191.73,191.75
miss,191.75,191.77
"you,",191.77,191.79
miss,191.79,192.09
you.,192.09,192.19
I,192.19,192.37
miss,192.37,192.98
"you,",195.28,195.44
miss,195.46,195.64
you.,195.64,195.66
I,195.66,195.68
miss,195.68,195.7
"you,",195.7,195.86
miss,196.0,196.12
you.,196.12,196.15
I,196.15,196.17
miss,196.17,196.19
"you,",196.19,196.21
miss,196.34,196.36
you.,196.36,196.7
I,197.22,197.24
miss,197.24,197.48
"you,",197.48,198.2
miss,198.64,198.66
you.,198.66,198.68
I,198.68,198.7
miss,198.7,198.72
"you,",198.72,198.74
miss,198.98,199.0
you.,199.0,199.5
I,199.5,199.62
miss,199.62,200.14
"you,",200.14,200.64
miss,200.64,200.66
you.,200.66,200.68
I,200.68,200.94
miss,200.94,201.26
"you,",201.26,201.62
miss,201.64,201.66
you.,201.66,201.68
I,201.68,201.7
miss,201.7,201.72
"you,",201.72,201.8
miss,201.92,202.34
you.,202.34,202.64
I,202.64,202.66
miss,202.66,202.68
"you,",202.68,202.7
miss,202.7,202.72
you.,202.72,203.0
I,203.62,203.63
miss,215.45,215.69
"you,",215.69,216.13
miss,216.37,216.45
you.,216.45,216.47
I,216.47,216.49
miss,216.49,216.51
"you,",216.51,216.53
miss,216.53,216.83
you.,216.83,216.88
I,216.88,216.9
miss,216.9,216.92
"you,",216.92,216.94
miss,216.94,216.96
you.,216.96,217.31
I,225.19,225.23
miss,225.23,225.49
"you,",225.49,225.87
miss,226.09,226.39
you.,226.39,226.41
I,226.41,226.43
miss,226.43,226.45
"you,",226.45,226.47
miss,226.47,226.67
you.,226.67,226.74
I,226.74,226.76
miss,226.76,226.78
"you,",226.78,226.8
miss,226.8,226.82
you.,226.82,227.05
I,227.91,228.08
miss,236.17,236.59
you.,236.59,236.69
I,236.69,236.71
miss,236.71,236.73
you.,236.73,236.91
I,237.47,237.84
miss,237.91,238.23
you.,238.23,239.15
I,239.15,239.33
miss,239.33,239.67
you.,239.67,239.81
I,239.81,240.21
miss,240.21,240.35
you.,240.35,240.41
I,240.47,240.89
miss,240.89,240.97
you.,240.97,241.33
I,241.61,241.79
miss,241.79,243.09
you.,243.09,243.13
I,243.13,243.49
miss,243.49,243.53
you.,243.53,243.65
I,243.77,244.93
miss,244.93,245.39
you.,245.39,245.45
I,245.45,245.47
miss,245.47,245.55
you.,245.55,245.59
I,245.99,246.93
miss,246.93,247.07
you.,247.07,247.09
I,247.09,247.11
miss,247.11,247.13
you.,247.13,247.15
I,247.47,247.75
miss,247.75,247.77
you.,247.77,248.35
I,248.53,249.51
miss,249.51,250.03
you.,250.03,250.05
I,250.05,250.29
miss,250.29,250.79
you.,250.79,250.81
I,250.81,251.21
miss,251.21,251.31
you.,251.31,251.33
I,252.01,252.09
miss,252.09,252.17
you.,252.17,252.19
I,252.61,253.59
miss,253.59,254.11
you.,254.11,254.17
I,254.17,254.19
miss,254.19,254.21
you.,254.21,254.37
I,254.47,255.19
miss,255.19,255.53
you.,255.53,255.75
I,255.75,256.65
miss,256.65,256.97
you.,256.97,257.39
I,257.39,257.41
miss,257.41,257.43
you.,257.43,257.45
I,257.47,258.17
miss,258.17,258.59
you.,258.59,258.61
I,258.61,258.97
miss,258.97,259.55
you.,259.55,259.57
I,259.57,259.59
miss,259.59,259.61
you.,259.61,259.63
I,260.47,261.11
miss,261.11,261.25
you.,261.25,262.0
I,262.0,262.02
miss,262.02,262.47
you.,262.47,262.5
