Hello,13.62,14.04
"there,",14.04,14.56
the,16.52,16.66
angel,16.66,17.14
from,17.14,17.54
the,17.54,17.84
"nightmare,",17.84,18.26
the,19.02,19.38
shadow,19.38,19.74
in,19.74,20.5
the,20.5,20.68
background,20.68,21.22
of,21.22,21.66
the,21.66,21.8
"morgue,",21.8,22.34
the,23.1,23.28
unsuspected,23.28,24.38
victim,24.38,25.12
of,25.12,25.87
darkness,27.19,27.77
in,27.77,28.27
the,28.27,28.51
valley.,28.51,29.05
We,29.55,29.71
can,29.71,29.89
live,29.89,30.23
like,30.23,30.59
Jack,30.59,30.93
and,30.93,31.17
Sally,31.17,31.71
if,31.71,32.09
we,32.09,32.31
"want,",32.31,32.69
where,33.71,33.97
you,33.97,34.27
can,34.27,34.55
always,34.55,35.15
find,35.15,35.65
me.,35.65,36.07
And,37.23,37.41
we'll,37.41,37.81
have,37.81,38.05
Halloween,38.05,38.73
on,38.73,39.23
"Christmas,",39.23,39.75
and,40.49,40.61
in,40.61,40.73
the,40.73,40.87
night,40.87,41.25
we'll,41.25,42.19
wish,42.19,42.45
this,42.45,42.75
never,42.75,43.09
ends.,43.09,43.61
We'll,44.75,44.93
wish,44.93,45.11
this,45.11,45.43
never,45.43,45.83
ends.,45.83,46.37
I,54.9,54.96
miss,54.96,55.46
"you,",55.46,55.76
I,56.16,56.2
miss,56.2,56.64
you.,56.64,57.12
Where,66.21,66.51
are,66.51,66.83
you?,66.83,67.25
And,67.31,68.57
I'm,68.57,68.81
so,68.81,69.09
sorry.,69.09,69.71
I,71.54,71.82
cannot,71.82,72.26
"sleep,",72.26,72.8
I,73.0,73.16
cannot,73.16,73.58
dream,73.58,74.18
tonight.,74.18,74.8
I,75.6,75.8
need,75.8,76.14
somebody,76.14,76.84
and,76.84,77.28
always.,77.28,77.82
This,79.21,79.55
"sick,",79.55,79.89
strange,79.99,80.65
darkness,80.65,81.61
comes,81.61,82.41
creeping,82.41,82.97
on,82.97,83.41
so,83.41,83.87
hot,83.87,84.51
in,84.51,84.81
every,84.81,85.07
"time,",85.07,85.65
and,86.43,86.65
as,86.65,86.97
I,86.97,87.25
said,87.25,87.67
I,87.67,87.97
can't,87.97,88.53
The,90.4,90.6
webs,90.6,90.96
from,90.96,91.28
all,91.28,91.54
the,91.54,91.72
"spiders,",91.72,92.36
catching,92.86,93.82
things,93.82,94.32
and,94.32,94.64
eating,94.64,95.08
their,95.08,95.62
insides,95.62,96.48
like,96.48,97.28
indecision,97.28,98.3
to,98.3,98.56
call,98.56,98.94
you.,98.94,99.28
And,101.03,101.23
hear,101.23,101.55
your,101.55,101.89
voice,101.89,102.19
of,102.19,102.47
"treason,",102.47,103.05
will,103.31,103.69
you,103.69,103.85
come,103.85,104.11
home,104.11,104.59
and,104.59,105.13
stop,105.13,105.45
this,105.45,105.77
pain,105.77,106.13
tonight?,106.13,106.59
Stop,107.71,108.05
this,108.05,108.41
pain,108.41,108.93
tonight.,108.93,109.93
Don't,119.53,119.99
waste,119.99,120.37
your,120.37,120.79
time,120.79,121.21
on,121.21,121.61
"me,",121.61,122.17
you're,122.77,123.31
already,123.31,124.01
the,124.01,124.47
voice,124.47,125.01
inside,125.01,126.39
my,126.39,127.17
head.,127.17,127.97
Don't,130.13,130.55
waste,130.55,130.83
your,130.83,131.29
time,131.29,131.73
on,131.73,132.11
"me,",132.11,132.63
you're,133.13,133.71
already,133.71,134.37
the,134.37,134.79
voice,134.79,135.45
inside,135.45,136.77
my,136.77,137.79
head.,137.79,138.41
And,164.73,164.91
don't,164.91,165.35
waste,165.35,165.67
your,165.67,166.09
time,166.09,166.51
on,166.51,166.87
"me,",166.87,167.23
you're,167.99,168.53
already,168.53,169.17
the,169.17,169.57
voice,169.57,170.15
inside,170.15,171.39
my,171.39,172.13
head.,172.13,172.85
And,174.69,174.87
don't,174.87,175.29
waste,175.29,175.65
your,175.65,176.05
time,176.05,176.51
on,176.51,176.91
"me,",176.91,177.45
you're,177.91,178.39
already,178.39,179.03
the,179.03,179.51
voice,179.51,180.19
inside,180.19,181.45
my,181.45,182.21
head.,182.21,182.95
Don't,184.85,185.57
waste,185.57,185.87
your,185.87,186.25
time,186.25,186.67
on,186.67,187.05
"me,",187.05,187.61
you're,188.23,188.53
already,188.53,189.17
the,189.17,189.55
voice,189.55,190.21
inside,190.21,191.41
my,191.41,192.15
head.,192.15,192.87
Don't,195.0,195.38
waste,195.38,195.76
your,195.76,196.12
time,196.12,196.64
on,196.64,197.44
"me,",197.44,197.86
you're,197.98,198.52
already,198.52,199.28
the,199.28,199.98
voice,199.98,200.56
inside,200.56,201.58
my,201.58,202.58
head.,202.58,203.08
I,215.44,215.59
miss,215.59,216.09
"you,",216.09,216.47
I,216.69,217.21
miss,217.21,217.23
"you,",217.23,217.83
I,225.29,225.37
miss,225.37,225.73
"you,",225.73,227.41
I,236.17,236.37
miss,236.37,236.85
you.,236.85,237.37
