"Mama,",30.19,30.53
take,30.87,30.89
this,30.89,31.21
badge,31.21,31.75
off,31.75,32.11
of,32.11,32.41
me.,32.41,33.05
It's,43.89,44.07
getting,44.07,44.35
"dark,",44.35,45.33
too,45.55,45.57
dark,45.57,46.05
to,46.05,46.35
see.,46.35,46.63
I,50.82,50.92
feel,50.92,51.18
I'm,51.18,51.48
knocking,51.48,52.1
on,52.1,52.48
heaven's,52.48,53.34
door.,53.34,53.62
"Knock,",57.53,58.17
"knock,",58.57,58.59
knockin'.,63.98,64.66
"Knock,",64.66,65.0
"knock,",65.46,65.48
knockin'.,65.8,65.86
"Mama,",85.26,85.67
put,86.03,86.05
my,86.05,86.25
guns,86.25,87.27
in,87.27,87.29
the,87.29,87.39
ground.,87.39,88.11
I,92.28,92.3
can't,92.3,92.78
shoot,92.78,93.18
them,93.18,93.66
anymore.,93.66,95.16
That,98.78,98.9
long,98.9,99.6
black,99.6,100.02
cloud,100.02,100.52
is,100.52,100.74
coming,100.74,101.7
down.,101.7,102.48
I,105.53,105.83
feel,105.83,106.33
I'm,106.33,106.47
knocking,106.47,107.09
on,107.09,107.61
heaven's,107.61,108.27
door.,108.27,108.73
"Knock,",112.37,112.83
"knock,",113.29,113.41
knockin',113.63,114.21
on.,114.21,114.25
"Knock,",132.79,133.39
"knock,",133.89,133.97
knockin',134.29,134.75
on.,134.75,134.77
