I,4.62,5.32
got,5.32,5.56
my,5.56,5.84
first,5.84,6.2
real,6.2,6.52
six,6.52,7.68
string.,7.68,7.7
Bought,8.48,8.62
it,8.62,9.14
at,9.14,9.26
the,9.26,9.28
five,9.28,10.08
and,10.08,10.1
dime.,10.1,10.66
Played,12.04,12.22
it,12.22,12.46
till,12.46,12.52
my,12.52,12.64
fingers,12.64,13.5
bled.,13.5,14.38
Was,14.6,15.06
the,15.06,15.66
summer,15.66,15.68
of,15.68,16.08
69.,16.08,17.26
Me,18.3,18.96
and,18.96,19.32
some,19.32,19.64
guys,19.64,20.06
from,20.06,20.32
school,20.32,21.1
had,21.1,22.02
a,22.02,22.28
band,22.28,22.7
and,22.7,22.92
we,22.92,23.08
tried,23.08,23.6
real,23.6,23.9
hard.,23.9,24.52
Jimmy,25.32,25.58
"quit,",25.58,26.06
Jody,26.44,27.02
got,27.02,27.18
married.,27.18,28.14
Should've,28.78,29.16
known,29.16,29.62
we'd,29.62,30.0
never,30.0,30.46
get,30.46,30.78
far.,30.78,31.34
"Well,",32.78,33.34
look,33.36,33.68
back,33.68,34.1
now.,34.1,34.62
That,35.14,35.9
summer,35.9,36.32
seemed,36.32,36.88
to,36.88,36.9
last,36.9,37.36
forever.,37.36,38.4
And,39.14,39.78
if,39.78,40.2
I,40.2,40.5
had,40.5,40.92
a,40.92,41.18
"choice,",41.18,41.62
"yeah,",42.24,43.1
I,43.6,43.7
was,43.7,43.88
gonna,43.88,44.68
be,44.68,45.02
there.,45.02,45.58
Those,46.0,46.68
were,46.68,47.22
the,47.22,47.5
best,47.5,47.64
days,47.64,48.26
of,48.26,48.54
my,48.54,49.04
life.,49.04,50.02
Ain't,56.97,57.47
no,57.47,57.55
use,57.55,57.91
in,57.91,58.29
complainin',58.29,60.19
when,60.19,60.39
you,60.39,60.77
got,60.77,61.05
a,61.05,61.29
job,61.29,61.65
to,61.65,62.47
do.,62.47,62.71
Spent,63.13,63.61
my,63.61,63.85
evening,63.85,64.31
down,64.31,64.95
at,64.95,65.51
the,65.51,65.73
job,65.73,66.17
and,66.17,66.43
that's,66.43,67.91
when,67.91,68.23
I,68.23,68.75
met,68.75,69.03
"you,",69.03,69.41
yeah.,69.47,69.79
Standing,70.47,71.19
on,71.19,71.45
your,71.45,71.63
mama's,71.63,72.35
porch.,72.35,73.13
You,73.61,73.96
told,73.96,74.5
me,74.5,74.74
that,74.74,75.04
she'd,75.04,75.52
wait,75.52,75.54
forever.,75.54,76.46
Those,77.52,78.38
were,78.38,78.4
the,78.4,78.44
best,78.44,78.87
days,85.59,86.59
of,86.59,86.73
my,86.73,87.21
life.,87.21,87.28
Back,92.57,92.87
in,92.87,93.11
the,93.11,93.37
summer,93.37,93.73
of,93.73,93.97
69.,93.97,95.35
Memories,101.2,102.51
were,105.76,106.16
needed,106.16,106.66
to,106.66,106.93
make,130.13,130.21
me,130.21,130.23
feel,130.23,130.25
alive.,130.25,130.27
Now,130.27,130.29
the,130.29,131.05
times,131.05,131.07
are,131.07,131.09
changing.,131.09,132.09
Look,132.79,132.87
at,132.87,133.15
everything,133.15,133.83
that's,133.83,133.95
come,133.95,134.69
and,134.69,134.85
gone.,134.85,135.45
Sometimes,136.37,136.73
when,136.73,137.07
I,137.07,137.33
play,137.33,137.65
that,137.65,137.91
old,137.91,138.17
"6-string,",138.17,139.07
thinking,139.75,139.91
back,139.91,140.27
to,140.27,140.41
when,140.41,140.71
the,140.71,141.03
world,141.03,141.29
went,141.29,141.65
wrong.,141.65,142.33
Standing,143.23,143.87
on,143.87,144.13
your,144.13,144.35
mama's,144.35,145.49
porch.,145.49,145.61
You,146.54,146.7
told,146.7,147.24
me,147.24,147.48
that,147.48,147.72
it,147.72,147.84
was,156.65,156.91
the,156.91,157.57
best,157.57,158.45
days,158.45,159.01
of,159.01,159.41
my,159.41,159.83
life.,159.83,160.31
Back,165.49,165.77
in,165.77,165.79
the,165.79,166.03
summer,166.03,166.49
of,166.49,166.73
69.,166.73,168.07
69.,175.91,175.93
