Quando,18.22,19.04
o,19.04,19.72
nosso,19.72,19.74
filho,19.74,20.0
crescer,20.0,20.88
eu,20.88,21.58
vou-lhe,21.58,21.96
dizer,21.96,22.88
que,22.88,23.08
te,23.08,23.52
conheci,23.52,24.26
num,24.26,24.28
dia,24.28,24.78
de,24.78,25.44
"sol,",25.44,25.54
que,25.54,26.38
o,26.38,26.56
teu,26.56,26.96
olhar,26.96,27.28
me,27.28,27.6
prendeu,27.6,28.64
e,28.64,29.06
eu,29.06,29.32
vi,29.32,29.56
o,29.56,29.96
céu,29.96,30.38
em,30.38,31.0
tudo,31.0,31.2
que,31.2,32.04
estava,32.04,32.06
ao,32.06,32.28
meu,32.28,32.3
"redor,",32.3,33.2
que,33.72,33.84
pegaste,33.84,34.54
na,34.54,34.9
minha,34.9,35.24
mão,35.24,35.76
naquel,35.76,36.38
fim,36.38,36.78
de,36.78,37.12
verão,37.12,37.74
e,37.74,37.96
me,37.96,38.14
levaste,38.14,38.74
a,38.74,38.96
"jantar,",38.96,39.84
ficaste,40.89,41.67
com,41.67,42.01
o,42.01,42.17
meu,42.17,42.39
coração,42.39,43.31
e,43.31,43.63
como,43.63,44.01
numa,44.01,44.41
canção,44.41,45.23
fizeste-me,45.23,46.23
"adorar,",46.23,47.41
que,64.7,64.98
soube,64.98,65.12
que,65.12,65.24
era,65.24,65.48
amor,65.48,66.06
para,66.06,66.4
a,66.4,66.76
vida,66.76,66.96
"toda,",66.96,68.22
que,68.62,68.78
era,68.78,69.04
contigo,69.04,69.74
a,69.74,70.0
minha,70.0,70.18
vida,70.18,70.66
"toda,",70.66,71.94
que,71.98,72.68
era,72.68,72.82
um,72.82,72.9
amor,72.9,73.52
para,73.52,74.12
a,74.12,74.4
vida,74.4,74.58
toda.,74.58,76.14
Quando,78.71,79.11
ele,79.11,80.07
ficar,80.07,80.09
maior,80.09,80.85
e,80.85,81.21
quiser,81.21,81.45
saber,81.45,82.03
melhor,82.03,82.93
como,82.93,83.65
é,83.65,84.93
que,84.93,84.95
veio,84.95,84.97
ao,84.97,84.99
"mundo,",84.99,85.79
eu,86.03,86.41
vou-lhe,86.41,86.85
"dizer,",86.85,87.45
com,87.79,87.81
"amor,",87.81,88.25
que,88.83,88.87
sonhei,88.87,88.97
ao,88.97,89.35
por,89.35,89.51
"menor,",89.51,90.29
que,90.29,90.97
era,90.97,91.59
o,91.59,91.61
meu,91.61,91.63
desejo,91.63,92.31
"profundo,",92.31,93.23
que,94.03,94.15
tinhas,94.15,94.59
os,94.59,95.05
olhos,95.05,95.13
em,95.13,95.29
água,95.29,96.07
quando,96.07,96.41
cheguei,96.41,97.09
a,97.09,97.13
casa,97.13,97.85
e,97.85,97.87
te,97.87,98.21
dei,98.21,98.53
a,98.53,98.55
boa,98.55,98.95
"nova,",98.95,99.87
e,100.95,101.09
o,101.09,101.13
que,101.13,101.53
já,101.53,101.65
era,101.65,102.01
bom,102.01,102.35
ganhou,102.35,102.85
"asas,",102.85,103.63
e,103.77,103.79
eu,103.79,103.89
soube,103.89,105.09
de,105.09,105.29
caras,105.29,105.45
que,105.45,105.69
era,105.69,105.73
para,105.73,106.67
a,106.67,106.69
vida,106.69,106.71
"toda,",106.71,107.97
que,125.13,125.27
era,125.27,125.45
amor,125.45,125.93
para,125.93,126.55
a,126.55,126.75
vida,126.75,126.91
"toda,",126.91,128.19
que,128.93,128.95
era,128.95,129.01
contigo,129.01,129.73
a,129.73,130.13
minha,130.13,130.15
vida,130.15,130.61
"toda,",130.61,131.87
que,132.45,132.57
era,132.57,132.71
um,132.71,132.91
amor,132.91,133.45
para,133.45,134.07
a,134.07,134.27
vida,134.27,134.51
toda.,134.51,136.19
Que,157.29,160.21
os,160.94,161.18
pais,161.18,161.46
tiveram,161.46,162.06
sempre,162.06,162.52
casados,162.52,163.48
e,163.48,163.74
ternos,163.74,164.28
namorados,164.28,165.36
e,165.36,165.62
vieram,165.62,166.34
"convair,",166.34,167.34
que,167.96,168.1
ali,168.1,169.04
dissemos,169.04,170.1
que,170.1,170.26
era,170.26,170.52
amor,170.52,170.92
para,170.92,171.46
a,171.46,171.76
vida,171.76,171.92
"toda,",171.92,173.04
que,173.65,173.67
foi,173.67,174.09
contigo,174.09,174.71
a,174.71,174.85
minha,174.85,175.09
vida,175.09,175.79
"toda,",175.79,176.87
que,177.41,177.43
era,177.43,177.77
um,177.77,177.85
amor,177.85,178.43
para,178.43,179.23
a,179.23,179.35
vida,179.35,179.39
toda.,179.39,181.35
Que,188.81,188.83
os,188.83,188.93
pais,188.93,188.95
tiveram,188.95,191.19
sempre,191.19,191.83
casados,191.83,194.65
e,194.65,194.67
vieram,194.67,194.69
"convair,",194.69,195.47
que,214.53,214.59
ali,214.59,215.03
dissemos,215.03,215.05
que,215.05,215.43
era,215.43,215.45
amor,215.45,215.85
para,215.85,216.41
a,216.41,216.63
vida,216.63,216.95
"toda,",216.95,218.03
que,218.81,218.83
foi,218.83,219.07
contigo,219.07,219.67
a,219.67,220.09
minha,220.09,220.11
vida,220.11,220.77
"toda,",220.77,221.95
que,222.27,222.45
era,222.45,222.79
um,222.79,222.83
amor,222.83,223.41
para,223.41,224.35
a,224.35,225.39
vida,225.39,225.53
toda.,225.53,226.27
