I,5.68,6.06
see,6.06,6.82
a,6.82,7.02
bad,7.02,7.48
moon,7.48,8.12
rising.,8.12,8.88
Trouble,12.93,12.95
on,12.95,13.51
the,13.51,13.81
way.,13.81,14.31
Earth,17.8,18.24
wakes,18.24,18.84
a,18.84,19.06
lightning.,19.06,19.56
I,21.93,22.05
see,22.05,22.81
bad,22.81,23.65
times,23.65,24.33
today.,24.33,24.99
Don't,27.0,27.82
go,27.82,27.84
around,27.84,28.14
"tonight,",28.14,28.98
but,29.46,29.52
let,29.52,29.64
your,29.64,29.78
family,29.78,30.26
take,30.26,30.72
your,30.72,30.94
life.,30.94,31.54
There's,31.58,33.56
a,33.56,33.7
bad,33.7,34.0
moon,34.0,34.46
on,34.46,34.84
the,34.84,35.06
rise.,35.06,35.68
I,37.83,37.97
hear,37.97,38.71
hurricanes,38.71,40.11
a-blowing.,40.11,41.01
I,43.01,43.31
know,43.31,43.85
the,43.85,44.35
end,44.35,44.99
is,44.99,45.03
coming,45.03,45.45
soon.,45.45,46.05
I,48.52,48.74
feel,48.74,49.42
the,49.42,50.1
river,50.1,50.12
overflowing.,50.12,51.68
I,53.77,53.99
hear,53.99,54.75
the,54.75,54.99
chrysalis,54.99,56.07
a-reeling.,56.07,56.97
Don't,59.5,59.8
go,59.8,59.82
around,59.82,60.22
"tonight,",60.22,61.04
but,61.72,61.74
let,61.74,61.76
your,61.76,61.78
family,61.78,62.44
take,62.44,62.86
your,62.86,62.9
life.,62.9,63.86
There's,64.34,65.54
a,65.54,65.68
bad,65.68,66.1
moon,66.1,66.44
on,66.44,66.92
the,66.92,67.1
rise.,67.1,67.84
They're,68.74,69.54
all,69.54,69.56
right.,69.56,69.7
Looks,101.57,102.19
like,102.19,102.71
we're,102.71,103.39
in,103.39,103.57
for,103.57,103.79
nasty,103.79,104.31
weather.,104.31,105.75
One,107.18,107.48
eye,107.48,108.26
is,108.26,108.58
taking,108.58,109.1
four,109.1,109.6
in,109.6,109.86
the,109.86,110.18
eye.,110.18,110.62
