Un,28.14,28.24
sueño,28.24,28.66
soñaba,28.66,29.6
"anoche,",29.6,30.44
soñito,30.56,31.25
del,31.99,32.29
alma,32.29,33.01
"mía,",33.01,33.79
que,34.47,34.64
en,37.77,38.05
mis,38.05,38.23
brazos,38.23,39.05
los,39.05,39.49
tenía.,39.49,40.21
Vi,41.67,41.73
entrar,41.73,42.01
señora,42.01,42.49
muy,42.49,43.25
"blanca,",43.25,43.97
muy,44.17,45.25
más,45.25,45.49
que,45.49,45.65
la,45.65,45.89
nieve,45.89,46.63
"fría,",46.63,47.22
por,47.22,48.17
donde,48.17,48.59
has,48.59,48.87
entrado,48.87,49.99
"amor,",49.99,50.43
como,50.63,51.77
has,51.77,51.95
entrado,51.95,52.89
mi,52.89,53.45
vida.,53.45,54.03
Las,55.29,55.41
puertas,55.41,55.91
están,55.91,56.23
"cerradas,",56.23,57.53
ventanas,57.79,59.31
y,59.31,59.53
"celosías,",59.53,61.05
no,61.49,61.81
soy,61.81,62.19
el,62.19,62.65
amor,62.65,63.13
"amante,",63.13,64.41
soy,64.59,65.31
la,65.31,65.43
muerte,65.43,65.99
Dios,65.99,66.65
me,66.65,67.15
envía.,67.15,67.89
Déjame,99.56,100.26
vivir,100.26,100.7
un,100.7,101.36
"día,",101.36,102.0
un,102.12,102.84
día,102.84,103.26
no,103.26,103.82
puede,103.82,104.42
"ser,",104.42,105.18
una,106.06,106.34
hora,106.34,106.68
tienes,106.68,107.44
de,107.44,108.08
vida.,108.08,108.62
Muy,109.96,110.12
deprisa,110.12,110.7
se,110.7,110.96
"calzaba,",110.96,112.22
más,112.44,113.52
deprisa,113.52,114.14
se,114.14,114.36
"vestía,",114.36,115.7
ya,116.38,116.5
se,116.5,116.62
va,116.62,117.1
para,117.1,117.74
la,117.74,118.3
"calle,",118.3,119.08
en,119.26,119.88
"donde,",119.88,120.28
su,120.74,120.86
amor,120.86,121.16
vivía.,121.16,122.5
Ábreme,123.68,124.16
la,124.16,124.36
puerta,124.36,124.9
"blanca,",124.9,125.9
ábreme,126.08,127.54
la,127.54,127.74
puerta,127.74,128.32
"niña,",128.32,129.2
