So,5.58,6.12
if,6.12,6.62
you're,6.62,7.0
lonely,7.0,7.44
You,9.08,9.44
know,9.44,9.82
I'm,9.82,10.46
here,10.46,10.88
waiting,10.88,11.58
for,11.58,11.9
you,11.9,12.34
I'm,12.72,13.0
just,13.0,13.28
a,13.28,13.66
crosshair,13.66,14.46
I'm,15.99,16.35
just,16.35,16.69
a,16.69,17.09
shot,17.09,17.69
away,17.69,18.31
from,18.31,18.67
you,18.67,19.07
And,19.49,19.75
if,19.75,20.01
you,20.01,20.23
leave,20.23,20.71
here,20.71,21.35
You,22.57,22.99
leave,22.99,23.47
me,23.47,23.81
"broken,",23.81,24.47
"shattered,",24.93,25.15
and,25.49,25.51
lie,25.51,25.77
I'm,26.19,26.49
just,26.49,26.77
a,26.77,27.13
crosshair,27.13,27.97
I'm,29.43,29.81
just,29.81,30.13
a,30.13,30.53
"shot,",30.53,31.27
then,31.59,31.73
we,31.73,31.91
can,31.91,32.09
die,32.09,32.69
Even,44.27,44.68
"here,",44.68,45.28
with,46.44,47.04
you,47.04,47.96
"Hey,",83.5,83.65
don't,83.87,84.07
you,84.07,84.21
know,84.21,84.55
you,84.55,85.29
say,85.29,85.71
you,85.71,86.17
I,87.43,87.63
"say,",87.63,88.09
I,91.97,92.21
say,92.21,92.67
you,92.67,93.09
don't,93.09,93.35
show,93.35,93.65
Don't,94.23,94.61
"move,",94.61,94.95
time,95.17,95.49
is,95.49,95.67
slow,95.67,96.05
I,96.65,96.85
"say,",96.85,97.29
you,112.4,112.79
say,112.79,113.29
I,113.29,113.65
say,115.09,115.55
Move,120.09,120.29
this,120.29,120.63
could,120.63,120.83
die,120.83,121.23
I,121.79,122.03
smooth,122.03,122.31
this,122.31,122.91
could,122.91,123.11
die,123.11,123.63
I,124.11,124.43
want,124.43,124.83
you,124.83,125.37
to,125.37,127.11
take,127.11,127.57
me,127.57,128.07
out,128.07,128.71
I,133.07,133.46
know,133.46,133.92
I,133.92,134.58
hope,134.58,134.94
you're,134.94,135.36
leaving,135.36,135.56
here,135.56,135.96
"Oh,",136.86,137.44
I,137.54,137.92
know,137.92,138.32
I,138.32,139.0
believe,139.5,139.82
in,139.82,140.14
him,140.14,140.44
I,141.92,142.32
know,142.32,142.78
I,142.78,143.56
believe,145.97,146.33
in,146.33,147.95
him,149.01,149.35
With,150.23,150.63
you,150.63,151.29
"Hey,",160.85,161.03
don't,161.19,161.47
you,161.47,161.59
know,161.59,161.93
you,161.93,162.71
say,162.71,163.13
you,163.13,163.39
Don't,163.39,163.89
know,163.89,164.37
I,164.37,165.09
say,165.09,165.57
In,170.09,170.33
this,170.33,170.65
could,170.65,170.85
die,170.85,171.27
Take,172.3,172.61
this,172.61,172.93
could,172.93,173.13
die,173.13,173.65
I,174.13,174.35
want,174.35,174.81
you,174.81,175.47
to,175.47,176.21
take,177.12,177.62
me,177.62,178.12
out,178.12,178.58
I,178.66,178.94
move,178.94,179.44
this,179.44,179.82
could,179.82,180.02
die,180.02,180.44
I,181.06,181.22
smooth,181.22,181.56
this,181.56,182.18
could,182.18,182.38
die,182.38,182.98
Come,183.38,183.6
on,183.6,184.14
Believe,208.08,208.33
in,208.33,208.65
him,208.65,209.23
I,210.47,210.89
know,210.89,211.27
I,211.27,212.01
hope,212.01,212.33
you're,212.33,212.67
leaving,212.67,212.93
here,212.93,213.15
I,214.99,215.33
know,215.33,215.75
I,215.75,216.33
believe,217.07,217.29
in,217.29,217.55
him,217.55,218.09
With,218.75,219.01
you,219.01,219.77
