Preguntaba,1.23,1.93
a,1.93,1.97
una,1.97,2.07
damita,2.07,2.39
que,2.39,2.69
si,2.69,2.85
cuándo,2.85,3.41
fue,3.41,3.69
la,3.69,4.39
"fecha,",4.39,4.87
una,4.93,5.03
damita,5.03,5.39
del,5.39,5.49
"auditorio,",5.49,6.09
cuando,6.09,6.59
ocurrió,6.59,7.21
el,7.21,7.63
último,7.63,8.17
eclipse,8.17,9.55
solar.,9.55,10.37
Yo,10.41,11.15
le,11.15,11.31
dije,11.31,11.49
que,11.49,11.59
el,11.59,11.81
9,11.81,12.05
de,12.05,12.27
febrero.,12.27,12.57
Bienvenido,33.93,34.63
a,34.63,34.75
la,34.75,34.93
"salvación,",34.93,35.45
mi,35.63,35.93
chiquillo,35.93,36.65
es,36.65,36.89
mi,36.89,37.11
compañero,37.11,37.97
por,37.97,38.23
la,38.23,38.43
noche,38.43,38.81
de,38.81,39.57
oblivion.,39.57,40.93
Ves,42.77,43.13
a,43.13,43.25
todo,43.25,43.69
el,43.69,43.87
mundo,43.87,44.17
alrededor,44.17,44.45
de,44.45,44.69
"mí,",44.69,44.89
me,44.93,45.27
hace,45.27,45.43
tan,45.43,46.67
solito,46.67,47.15
sin,47.15,47.53
amigos.,47.53,48.03
"Oh,",79.75,80.07
nunca,80.07,80.09
lo,80.09,80.11
he,80.11,80.13
tenido.,80.13,80.15
Estaba,80.15,80.57
"pensando,",80.57,81.17
"señor,",81.49,81.79
no,81.79,82.17
estás,82.17,82.47
en,82.47,82.69
Texas,82.69,83.21
más.,83.21,83.57
Le,87.94,88.16
envío,88.16,88.46
mi,88.46,88.58
amor,88.58,88.98
a,88.98,89.44
mi,89.44,89.6
"casa,",89.6,90.14
le,90.32,90.56
envío,90.56,90.82
mi,90.82,90.92
mano,90.92,91.34
a,91.34,92.52
mi,92.52,92.84
casa.,92.84,93.12
"Oh,",102.45,102.75
mirando,102.85,103.31
al,103.31,103.77
cielo,103.77,104.27
de,104.27,104.79
mi,104.79,105.13
"casa,",105.13,105.55
es,105.77,106.03
mi,106.03,106.33
"casa,",106.33,106.69
al,106.83,106.99
menos,106.99,107.31
por,107.31,107.57
ahora.,107.57,107.85
