I,26.13,26.15
close,26.15,26.19
my,26.19,26.21
eyes,26.21,26.65
and,26.65,27.07
baptize,28.37,29.66
and,29.66,30.29
sing,37.59,37.97
and,37.97,38.47
into,39.05,40.27
my,40.27,40.29
thought,40.29,41.03
I,41.03,41.55
run.,48.4,48.42
"Oh,",48.42,49.6
"oh,",50.4,50.44
flowers,50.44,51.36
in,51.36,52.36
time,52.36,52.88
bend,52.88,53.6
towards,53.6,54.56
the,54.56,54.58
sun.,54.58,55.0
I,55.36,55.66
know,55.66,55.9
you,55.9,56.22
say,56.22,56.54
that,56.54,57.54
there's,57.54,57.56
no,57.56,57.58
one,57.58,57.6
for,57.6,57.98
"you,",57.98,58.44
but,59.4,59.42
here,59.42,59.7
is,59.7,59.92
one.,59.92,60.58
"Oh,",62.23,62.25
"oh,",62.75,62.77
flowers,62.77,63.63
in,63.63,63.77
time,63.77,64.59
bend,64.59,65.37
towards,65.37,66.03
the,66.03,66.51
sun.,66.51,66.79
I,67.13,67.15
know,67.15,67.53
you,67.53,67.71
say,67.71,68.17
that,68.17,68.39
there's,68.39,68.73
no,68.73,69.01
one,69.01,69.15
for,69.15,69.73
"you,",69.73,70.31
but,71.07,71.09
here,71.09,71.29
is,71.29,71.61
one.,71.61,72.73
But,73.89,74.01
here,74.01,74.19
is,74.19,74.57
one.,74.57,75.87
Keep,172.4,172.76
it,172.76,173.1
going,173.1,173.78
in,173.78,174.18
"me,",174.18,174.96
wicked,176.04,176.1
traveller.,176.1,177.5
Fading,178.28,178.78
further,178.78,179.64
from,179.64,180.02
me,180.02,180.72
with,180.72,181.4
your,181.4,181.72
face,181.72,182.54
in,182.54,183.28
my,183.28,183.3
window-gloves.,183.3,185.9
...,246.48,246.76
bend,246.76,246.9
towards,246.9,247.66
the,247.66,248.28
sun.,248.28,248.42
I,248.62,248.86
know,248.86,249.2
you,249.2,249.42
say,249.42,249.92
that,249.92,250.08
there's,250.08,250.4
no,250.4,250.6
one,250.6,250.84
for,250.84,251.3
"you,",251.3,251.8
but,252.68,252.76
here,252.76,252.8
is,252.8,253.22
one.,253.22,254.22
