You,10.36,10.66
shout,10.66,11.06
"hello,",11.06,11.46
I,11.86,12.85
can't,13.63,14.53
hear,14.53,14.87
a,14.87,15.27
word,15.27,15.87
you,15.87,16.23
say,16.23,16.77
I'm,18.39,18.63
talking,18.63,19.03
"loud,",19.03,19.61
not,20.01,20.49
saying,20.49,20.95
much,20.95,22.43
I'm,26.21,26.59
"criticized,",26.59,26.95
but,28.37,29.17
all,29.17,29.49
your,29.49,30.11
bullets,30.11,30.73
ricochet,30.73,32.37
You,33.93,34.25
shoot,34.25,34.53
me,34.53,34.87
"down,",34.87,35.51
but,35.67,36.41
I,36.41,36.53
get,36.53,36.95
up,36.95,38.15
Nothing,43.73,44.3
to,44.3,44.58
"lose,",44.58,45.22
fire,45.88,46.54
"away,",46.54,47.22
fire,47.52,48.4
away,48.4,49.18
"Ricochet,",50.1,50.9
take,51.48,52.34
your,52.34,52.8
"aim,",52.8,53.22
fire,53.56,54.32
"away,",54.32,54.88
fire,55.62,56.16
away,56.16,56.96
Shoot,57.92,58.1
me,58.1,58.5
"down,",58.5,58.84
I,61.97,62.23
am,62.23,62.39
titan,62.39,62.95
Cut,77.48,77.8
me,77.8,78.08
"down,",78.08,78.86
but,79.08,80.06
it's,80.06,80.48
you,80.48,80.72
who,80.72,81.0
have,81.0,81.48
further,81.48,82.44
to,82.44,82.92
fall,82.92,83.76
Ghost,84.22,85.86
"town,",85.86,86.5
haunted,86.92,87.96
love,87.96,89.62
Raise,92.99,93.63
your,93.63,93.91
"voice,",93.91,94.67
but,95.01,96.03
sticks,96.03,96.49
and,96.49,96.89
stones,96.89,97.55
may,97.55,97.91
break,97.91,98.43
my,98.43,98.79
bones,98.79,99.57
I'm,100.91,101.21
talking,101.21,101.61
"loud,",101.61,102.21
not,102.65,103.07
saying,103.07,103.59
much,103.59,104.97
Nothing,105.13,106.13
to,110.74,111.42
"lose,",111.42,112.0
fire,112.52,113.34
"away,",113.34,114.06
fire,114.55,115.13
away,115.13,116.06
"Ricochet,",116.06,117.77
take,117.87,118.55
your,119.03,119.51
"aim,",119.51,119.99
fire,120.59,121.02
"away,",121.02,121.92
fire,122.16,122.9
away,122.9,123.58
You,123.58,124.68
shoot,124.68,124.98
me,124.98,125.24
"down,",125.24,125.9
but,126.24,126.72
I,126.72,127.02
won't,127.02,127.46
fall,127.46,127.56
I,127.78,128.05
am,129.03,129.27
titan,129.27,130.29
Machine,157.71,158.31
gun,158.31,159.07
One,161.33,161.45
to,161.45,161.89
run,161.89,162.43
Stone,164.07,164.29
heart,164.29,164.95
You,175.87,175.93
shoot,175.93,176.21
me,176.21,176.53
down,176.53,176.91
