Police,5.24,5.72
let,5.72,6.18
them,6.18,6.46
cross,6.46,6.82
the,6.82,7.04
line,7.04,7.42
It,7.42,8.02
looks,8.02,8.48
like,8.48,8.84
there's,8.84,9.12
been,9.12,9.4
a,9.4,9.62
crime,9.62,10.1
And,10.2,10.46
"ooh,",10.46,10.8
it's,10.98,11.64
your,11.64,11.76
favorite,11.76,12.26
type,12.26,12.84
Tempted,12.84,13.86
murder,13.86,14.28
of,14.28,14.64
my,14.64,14.98
mind,14.98,15.41
Can't,15.41,15.92
even,15.92,16.2
have,16.2,16.44
a,16.44,16.58
conversation,16.58,17.04
without,17.04,17.68
you,17.68,17.9
breaking,17.9,18.26
"Character,",18.26,18.78
"yeah,",18.92,19.14
you're,19.14,19.3
going,19.3,19.52
Jason,19.52,19.94
"Two-faced,",19.94,20.84
it'll,20.92,21.22
be,21.22,21.4
a,21.4,21.66
cold,21.66,21.82
date,21.82,22.2
Wherever,22.24,22.7
have,22.7,23.04
you,23.04,23.24
been,23.24,23.5
from,23.5,23.7
before,23.7,24.02
I,24.02,24.34
let,24.34,24.62
you,24.62,24.82
get,24.82,25.04
inside,25.04,25.5
my,25.5,25.84
brain,25.84,26.08
And,26.08,26.52
get,26.52,26.72
in,26.72,27.08
"line,",27.08,27.58
get,27.78,28.02
in,28.02,28.4
line,28.4,29.08
And,29.08,29.84
"lie,",30.43,30.81
"lie,",30.89,31.17
"lie,",31.21,31.55
lie,31.55,31.79
You,31.99,32.13
were,32.13,32.33
not,32.33,32.83
the,32.83,33.03
first,33.03,33.51
to,33.51,33.87
try,33.87,34.29
Better,34.29,34.89
luck,34.89,35.51
next,35.51,36.01
time,36.01,36.97
"Body,",36.99,38.01
you,38.23,38.45
bet,38.45,38.63
Thought,40.11,40.28
you,40.28,40.64
could,40.64,40.94
put,40.94,41.3
me,41.3,41.76
Inside,45.62,45.84
your,45.84,46.46
back,46.46,46.67
You,51.63,51.99
can't,51.99,52.47
get,52.47,52.73
out,52.73,52.98
Did,59.41,59.75
you,59.75,59.85
miss,59.85,60.13
"me,",60.13,60.29
bitch?,60.41,60.67
Did,60.73,61.05
you,61.05,61.21
reminisce?,61.21,61.9
And,61.9,62.15
in,62.15,62.25
my,62.25,62.47
death,62.47,62.79
certificate,62.79,63.19
You,63.19,64.33
almost,64.33,64.79
got,64.79,65.07
away,65.07,65.31
with,65.31,65.73
it,65.73,65.94
But,65.94,66.33
the,66.33,66.53
reaper,66.53,66.93
snitched,66.93,67.35
Now,67.35,67.65
you,67.65,67.83
got,67.83,68.13
that,68.13,68.41
and,68.41,68.53
the,68.53,68.77
two,68.77,69.05
Your,69.59,69.69
crimes,69.69,70.17
are,70.17,70.37
"lies,",70.37,70.81
"so,",70.89,71.15
so,71.15,71.61
"sly,",71.61,72.15
yeah,72.23,72.41
"Well,",72.41,72.69
you're,72.79,72.95
there,72.95,73.11
to,73.11,73.21
be,73.21,73.43
"liked,",73.43,73.81
I,73.91,74.13
like,74.13,74.43
Stopping,75.82,76.15
so,76.15,76.27
tired,76.27,76.85
"Yeah,",77.05,77.35
but,77.41,77.75
you,77.75,77.93
just,77.93,78.15
have,78.15,78.33
to,78.33,78.43
Get,78.45,78.63
to,78.63,78.65
the,78.65,78.95
"side,",78.95,79.33
too,79.47,79.8
Get,79.8,80.05
in,80.05,80.41
"line,",80.41,80.99
get,81.13,81.37
in,81.37,81.75
line,81.75,82.41
And,82.41,82.73
"lie,",82.73,83.12
"lie,",84.21,84.47
"lie,",84.53,84.87
lie,84.89,84.97
You,84.97,85.45
were,85.45,85.65
not,85.65,86.13
the,86.13,86.39
first,86.39,86.83
to,86.83,87.17
try,87.17,87.59
Better,87.59,88.19
luck,88.19,88.85
next,88.85,89.55
time,89.55,90.18
"Body,",90.18,91.33
you,91.57,91.75
bet,91.75,92.23
Thought,92.23,92.63
you,93.61,93.95
could,93.95,94.27
put,94.27,94.67
me,94.67,95.01
inside,95.01,95.57
your,95.57,95.97
back,95.97,96.09
You,104.97,105.32
can't,105.32,105.8
get,105.8,106.12
out,109.87,109.96
of,109.96,110.32
your,110.32,110.34
body,110.34,111.0
"Body,",111.12,111.28
you,117.11,117.17
bet,117.17,117.35
I,119.79,119.81
think,122.86,123.31
the,123.31,123.69
first,123.69,124.19
degree,124.19,124.57
Sucks,124.57,125.57
that,125.57,125.71
you,125.71,126.11
didn't,126.11,126.89
succeed,126.89,127.19
Talk,127.97,128.19
you,128.19,128.55
up,128.55,128.83
and,128.83,129.03
toss,129.03,129.47
the,129.47,129.71
key,129.71,130.06
Welcome,130.06,130.59
to,130.59,130.95
the,130.95,131.18
The,131.18,131.2
The,131.59,131.71
The,131.99,132.01
The,132.01,132.16
The,132.16,132.18
The,132.18,132.33
The,132.33,132.38
The,132.38,132.41
The,132.41,132.69
The,132.69,132.71
The,132.71,132.73
The,132.73,132.84
The,132.84,132.88
The,132.88,132.94
The,132.94,133.0
The,133.0,133.08
The,133.08,133.12
The,133.12,133.28
The,133.28,133.3
The,133.3,133.65
The,133.65,133.67
The,133.67,133.69
The,133.69,133.71
The,133.71,133.73
The,133.73,133.75
The,133.75,133.97
The,133.97,133.99
The,133.99,134.01
The,134.01,134.27
The,134.27,134.29
The,134.29,134.31
The,134.31,134.33
The,134.33,134.35
The,134.35,134.37
The,134.37,134.39
The,134.39,134.41
The,134.41,134.43
The,134.43,134.46
The,134.46,134.62
The,134.62,134.76
The,134.76,134.81
The,134.81,134.83
The,134.83,134.87
The,134.87,134.95
The,134.95,135.08
The,135.08,135.14
The,135.14,135.38
The,135.38,135.41
The,135.41,135.44
The,135.44,135.47
The,135.47,135.56
The,135.56,135.62
The,135.62,135.72
The,135.72,135.78
The,135.78,135.83
The,135.83,136.27
The,136.27,136.39
The,136.39,136.41
The,136.41,136.43
The,136.43,136.67
The,136.67,136.71
The,136.71,136.73
The,136.73,136.91
The,136.91,136.97
The,137.01,137.03
The,137.03,137.05
The,137.05,137.07
The,137.15,137.65
The,146.97,147.95
The,154.1,154.64
The,159.22,160.47
The,161.08,161.1
The,161.14,161.16
The,161.16,161.18
The,161.18,161.2
