Please,5.46,5.84
snap,5.84,6.22
them,6.22,6.5
cross-line,6.5,7.48
It,8.02,8.22
looks,8.22,8.5
like,8.5,8.9
they're,8.9,9.2
spinning,9.2,9.6
the,9.6,9.78
crime,9.78,10.16
And,10.38,10.56
"ooh,",10.56,10.96
it's,11.22,11.68
your,11.68,11.84
favorite,11.84,12.36
side,12.36,12.86
Tempted,13.28,13.88
murder,13.88,14.36
of,14.36,14.84
my,14.84,15.12
mind,15.12,15.52
Can't,15.66,16.0
even,16.0,16.26
have,16.26,16.52
a,16.52,16.68
conversation,16.68,17.28
Without,17.42,17.74
you,17.74,18.02
breaking,18.02,18.38
Character,18.42,18.8
"tagging,",18.8,19.32
going,19.48,19.56
chasing,19.56,20.0
Two,20.38,20.52
faces,20.52,20.94
don't,20.94,21.34
be,21.34,21.5
a,21.5,21.64
cold,21.64,21.88
thing,21.88,22.26
Wherever,22.46,22.8
you,22.8,23.22
came,23.22,23.56
from,23.56,23.73
Before,23.73,24.12
I,24.12,24.48
let,24.48,24.68
you,24.68,24.94
get,24.94,25.16
inside,25.16,25.66
my,25.66,25.98
brain,25.98,26.3
And,26.44,26.62
get,26.62,26.92
in,26.92,27.28
"line,",27.28,27.78
get,28.02,28.24
in,28.24,28.58
line,28.58,29.14
And,30.37,30.59
"lie,",30.59,30.93
"lie,",31.03,31.25
"lie,",31.37,31.65
lie,31.65,31.91
You,32.11,32.27
were,32.27,32.55
not,32.55,32.89
the,32.89,33.19
first,33.19,33.59
to,33.59,33.93
try,33.93,34.43
That,34.59,34.89
I,34.89,35.07
luck,35.07,35.57
next,35.57,36.31
time,36.31,36.99
"Party,",37.31,38.15
but,40.14,40.16
you,40.16,40.82
couldn't,40.82,41.32
put,41.32,41.56
me,41.56,41.88
You,45.62,45.76
tried,45.76,46.2
your,46.2,46.54
"act,",51.5,51.67
you,51.97,52.21
can't,52.21,52.75
keep,52.75,52.91
up,59.34,59.53
Did,59.53,59.79
you,59.79,59.95
miss,59.95,60.21
me,60.21,60.45
bitch?,60.45,60.69
Did,61.05,61.17
you,61.17,61.31
reminisce?,61.31,62.03
Running,62.03,62.25
my,62.25,62.53
death,62.53,62.83
certificate,62.83,63.67
You,64.31,64.49
almost,64.49,64.91
got,64.91,65.13
away,65.13,65.47
with,65.47,65.79
it,65.79,66.01
But,66.31,66.45
the,66.45,66.63
rapist,66.63,67.09
snits,67.09,67.34
Now,67.34,67.79
you,67.79,67.97
got,67.97,68.19
to,68.19,68.47
admit,68.47,68.77
to,68.77,69.19
Your,69.59,69.83
"crimes,",69.83,70.23
lie,70.55,70.81
"so,",70.81,71.13
so,71.37,71.79
slight,71.79,72.25
"Well,",72.67,72.83
you're,72.89,73.11
gonna,73.11,73.15
be,73.15,73.49
like,73.49,73.77
"Like,",73.77,74.29
"like,",74.29,74.51
"like,",74.69,74.71
like,74.91,75.03
Stopping,75.88,76.19
so,76.19,76.51
tight,76.51,76.93
Yeah,76.93,77.49
But,77.79,77.91
you,77.91,78.09
just,78.09,78.31
had,78.31,78.51
to,78.51,78.87
decide,78.87,79.39
to,79.39,79.83
Get,80.03,80.31
in,80.31,80.59
"line,",80.59,81.09
get,81.33,81.59
in,81.59,81.91
line,81.91,82.49
And,83.89,83.99
"lie,",83.99,84.31
"lie,",84.45,84.65
"lie,",84.75,84.99
lie,84.99,85.29
You,85.43,85.67
were,85.67,85.89
not,85.89,86.21
the,86.21,86.53
first,86.53,86.93
to,86.93,87.25
try,87.25,87.77
That,88.07,88.25
I,88.25,88.45
luck,88.45,88.91
next,88.91,89.63
time,89.63,90.37
"Party,",90.67,91.53
but,91.97,92.31
you,92.31,92.63
couldn't,93.57,94.57
put,94.57,94.83
me,94.83,95.06
You,95.06,95.73
tried,95.73,95.95
your,104.97,105.38
"act,",105.38,105.4
you,105.4,105.5
can't,105.5,105.94
keep,105.94,106.19
up,109.9,110.16
Your,110.26,110.5
"party,",110.5,111.14
but,116.88,117.09
you,117.09,117.29
couldn't,117.29,118.31
put,118.64,118.83
me,118.83,119.57
Back,123.05,123.27
in,123.27,123.59
the,123.59,123.87
first,123.87,124.27
step,124.27,124.55
We,124.63,124.99
sucked,124.99,125.53
the,125.53,125.89
shit,125.89,126.17
that,126.17,126.53
did,126.53,126.77
