Came,13.81,14.53
up,14.53,14.75
to,14.75,15.05
the,15.05,15.15
"surface,",15.15,15.77
I,15.89,15.99
cannot,15.99,16.45
remember,16.45,17.51
how,17.51,18.77
long,18.77,19.29
I've,19.29,19.61
been,19.61,19.99
swimming.,19.99,21.21
Drowning.,22.47,23.73
Guess,25.84,26.75
I've,26.75,26.79
grown,26.79,27.15
accustomed,27.15,27.79
to,27.79,28.03
all,28.03,28.39
of,28.39,28.61
the,28.61,28.73
sharks.,28.73,29.49
And,30.59,30.85
may,30.85,31.07
not,31.07,31.37
really,31.37,31.69
breathing.,31.69,32.33
Uh-huh.,34.41,35.53
Now,36.95,37.11
I,37.11,37.33
won't,37.33,37.71
just,37.71,37.81
mind,37.81,38.59
the,38.59,39.19
"gap,",39.19,40.15
I'll,40.83,41.21
fill,41.21,41.23
it.,41.23,41.59
If,42.97,43.19
I'm,43.19,43.31
gonna,43.31,43.81
eat,43.81,44.71
this,44.71,44.95
"mosquito,",44.95,46.09
I'll,46.89,46.95
thank,46.95,47.55
you.,47.55,47.57
I,49.15,49.33
haven't,49.33,49.95
really,49.95,51.27
made,51.27,52.59
the,52.59,52.97
most,52.97,53.69
of,53.69,53.97
this,53.97,54.41
life.,54.41,54.89
From,55.09,55.25
here,55.25,55.69
on,55.69,55.71
I'll,55.71,55.99
spit,55.99,56.69
back,56.69,57.19
whatever,57.19,57.57
don't,57.57,58.35
taste,58.35,58.89
right.,58.89,59.17
One,60.63,61.21
time,61.21,61.67
I,61.67,61.85
told,61.85,62.67
my,62.67,63.49
heart,63.49,64.67
to,64.67,65.39
shut,65.39,65.41
up.,65.41,65.97
But,67.15,67.35
I,67.35,67.51
know,67.51,67.71
that,67.71,68.07
I,68.07,68.65
can,68.65,69.37
win,69.37,70.11
back,70.11,70.43
her,70.43,71.09
trust.,71.09,71.89
Developed,92.3,93.64
a,93.64,93.98
knack,93.98,94.04
for,94.04,94.16
this,94.16,94.48
dull,94.48,94.76
conversation.,94.76,96.02
Life's,97.0,97.52
sharp,97.52,97.9
in,97.9,98.0
my,98.0,98.22
"whip,",98.22,98.7
but,99.12,99.44
what's,99.44,100.64
my,100.64,100.74
motivation?,100.74,102.02
Don't,104.84,105.04
need,105.04,105.32
to,105.32,105.5
be,105.5,105.76
clever,105.76,106.28
to,106.28,106.58
tell,106.58,106.86
you,106.86,107.12
that,107.12,107.42
I'm,107.42,107.96
just,107.96,108.66
a,108.66,109.2
total,109.2,109.62
mad,109.62,109.9
ten.,109.9,110.0
That,110.14,110.36
I,110.36,110.82
must,110.82,111.72
throw,111.72,112.36
that,112.36,112.7
old,112.7,112.76
self,112.76,113.2
away.,113.2,113.32
If,115.29,115.63
I,115.63,115.83
don't,115.83,116.19
get,116.19,116.91
right,116.91,116.99
"now,",116.99,117.71
I,118.15,118.33
will,118.33,119.27
always,119.27,120.45
eat,121.1,121.89
what's,121.89,122.47
to,122.47,122.67
"came,",122.67,122.89
sleep,123.23,123.41
with,123.41,123.69
the,123.69,123.83
snakes,123.83,124.61
here,124.61,124.67
in,124.67,124.69
this,124.69,124.71
cold,124.71,124.73
grave.,124.73,124.75
I,127.67,127.77
haven't,127.77,128.41
really,128.41,129.57
made,129.57,130.95
the,130.95,131.41
most,131.41,132.11
of,132.11,132.45
this,132.45,132.89
life.,132.89,133.37
From,133.47,133.67
here,133.67,133.97
on,133.97,134.13
I'll,134.13,134.47
spit,134.47,135.13
back,135.13,135.63
whatever,135.63,136.03
don't,136.03,136.65
taste,136.65,136.67
right.,136.67,136.69
One,139.13,139.67
time,139.67,139.97
I,139.97,140.33
told,140.33,141.15
my,141.15,141.95
heart,141.95,143.05
to,143.05,143.53
shut,143.53,143.91
up.,143.91,144.71
But,145.65,145.85
I,145.85,146.01
know,146.01,146.21
that,146.21,146.59
I,146.59,147.09
can,147.09,148.09
win,148.09,148.53
back,148.53,148.95
her,148.95,149.63
trust.,149.63,150.17
I,151.57,151.85
owe,151.85,152.03
at,152.03,152.33
least,152.33,152.67
that,152.67,153.15
much,153.15,154.17
to,154.17,154.47
the,154.47,154.69
both,154.69,155.17
of,155.17,155.53
us.,155.53,156.27
I,167.89,169.27
feel,171.32,172.2
my,172.2,173.22
skin,173.22,173.94
as,173.94,174.64
the,174.64,175.36
sun,175.36,175.62
burns,175.62,176.52
it.,176.52,177.18
And,177.76,177.96
someday,177.96,178.32
again,178.32,178.9
we'll,178.9,179.38
set,179.38,179.42
it.,179.42,179.78
Cause,180.52,180.92
one,180.92,181.18
more,181.18,181.5
look,181.5,181.88
might,181.88,182.18
change,182.18,182.2
it,182.2,182.22
all.,182.22,182.24
One,204.4,205.19
more,205.19,205.67
look,205.67,206.09
might,206.09,206.45
change,206.45,206.83
it,206.83,207.29
all.,207.29,207.95
