Came,14.19,14.45
up,14.45,14.69
to,14.69,14.91
the,14.91,15.09
surface,15.09,15.61
I,15.61,15.91
cannot,15.91,16.33
remember,16.33,17.11
How,18.61,18.87
long,18.87,19.21
I've,19.21,19.63
been,19.63,19.83
"swimming,",19.83,20.51
drowning,22.25,23.07
Gets,26.27,26.53
out,26.53,26.75
grown,26.75,27.03
accustomed,27.03,27.59
to,27.59,27.97
all,27.97,28.29
of,28.29,28.53
the,28.53,28.71
sharks,28.71,29.21
And,30.49,30.77
we're,30.77,31.01
not,31.01,31.25
really,31.25,31.61
breathing,31.61,32.31
Now,34.41,34.85
I,34.85,35.79
won't,37.27,37.45
just,37.45,37.73
mind,37.73,38.39
the,38.39,39.07
gap,39.07,39.99
I'll,39.99,40.69
fill,40.69,41.07
it,41.07,41.59
If,42.91,43.13
I'm,43.13,43.33
gonna,43.33,43.63
eat,43.63,44.55
this,44.55,44.93
mosquito,44.93,45.85
I'll,45.85,46.69
have,46.69,46.91
to,46.91,47.19
thank,47.19,47.61
it,47.61,48.17
I,49.13,49.37
haven't,49.37,49.67
really,49.67,50.75
made,50.75,52.29
the,52.29,52.73
most,52.73,53.45
of,53.45,53.93
this,53.93,54.27
life,54.27,54.71
From,55.01,55.21
your,55.21,55.43
honest,55.43,55.73
bed,55.73,56.43
back,56.43,57.03
Whatever,57.03,57.65
don't,57.65,58.43
taste,58.43,58.75
right,58.75,59.37
One,60.61,61.05
time,61.05,61.47
I,61.47,61.81
told,61.81,62.35
my,62.35,63.27
heart,63.27,64.19
to,64.19,64.87
shut,64.87,65.23
up,65.23,65.75
But,66.99,67.31
I,67.31,67.49
know,67.49,67.65
that,67.65,67.99
I,67.99,68.57
can't,68.57,69.37
win,69.37,69.83
back,69.83,70.37
her,70.37,70.73
to,70.73,71.03
us,71.03,71.59
I,73.07,73.33
don't,73.33,73.57
at,73.57,73.73
least,73.73,74.01
add,74.01,74.59
much,74.59,75.27
to,75.27,75.83
the,75.83,76.13
both,76.13,76.57
of,76.57,76.99
us,76.99,78.65
To,92.7,92.9
fell,92.9,93.16
out,93.16,93.4
the,93.4,93.6
neck,93.6,93.9
for,93.9,94.16
this,94.16,94.38
dull,94.38,94.64
conversation,94.64,95.62
I'd,97.0,97.42
shop,97.42,97.68
in,97.68,97.94
my,97.94,98.18
whip,98.18,98.56
But,98.56,99.26
what's,99.26,100.46
my,100.46,100.68
motivation,100.68,101.78
Don't,104.72,105.04
need,105.04,105.22
to,105.22,105.46
be,105.46,105.64
clever,105.64,106.06
to,106.06,106.4
tell,106.4,106.72
you,106.72,107.02
that,107.02,107.3
I'm,107.3,107.9
just,107.9,108.42
A,108.96,109.1
total,109.1,109.42
mess,109.42,109.78
and,109.78,110.1
then,110.1,110.34
I,110.34,110.68
must,110.68,111.42
throw,111.42,112.22
that,112.22,112.52
old,112.52,112.74
self,112.74,113.04
away,113.04,113.6
If,115.33,115.61
I,115.61,115.77
don't,115.77,116.01
get,116.01,116.19
right,116.19,116.79
now,116.79,117.53
I,117.53,118.39
will,118.39,118.99
always,118.99,120.09
Eat,121.55,121.81
what's,121.81,122.17
to,122.17,122.33
"gain,",122.33,122.81
