I'm,11.69,12.65
like,12.65,12.75
the,12.75,12.87
water,12.87,13.41
when,13.41,13.43
your,13.43,13.55
ship,13.55,14.15
rolled,14.15,14.35
in,14.35,14.73
that,14.73,14.97
night.,14.97,15.53
Rough,17.39,18.23
on,18.23,18.47
the,18.47,18.53
"surface,",18.53,18.95
but,19.21,19.23
you,19.23,19.25
cut,19.25,19.63
through,19.63,19.91
like,19.91,20.51
a,20.51,20.71
knife.,20.71,21.55
And,24.09,24.27
if,24.27,24.65
it,24.65,24.79
was,24.79,24.85
an,24.85,25.05
open,25.05,25.41
shut,25.41,25.57
"case,",25.57,26.55
I,27.01,27.13
never,27.13,27.49
would,27.49,27.81
have,27.81,28.15
known,28.15,28.17
from,28.17,28.43
the,28.43,28.67
look,28.67,28.83
on,28.83,29.01
your,29.01,29.23
face.,29.23,29.59
Lost,29.59,30.59
in,30.59,30.61
your,30.61,30.75
current,30.75,31.13
like,31.13,31.33
a,31.33,31.39
priceless,31.39,32.77
wine.,32.77,33.39
The,35.15,35.69
more,35.69,35.93
that,35.93,36.11
you,36.11,36.65
"say,",36.65,36.97
the,37.03,37.05
less,37.05,37.57
I,37.57,37.79
know.,37.79,38.21
Wherever,38.61,38.75
you,38.75,39.21
stray,39.21,39.73
or,39.73,40.15
follow.,40.15,40.91
Begging,41.35,41.81
for,41.81,42.03
you,42.03,42.51
to,42.51,42.97
take,42.97,43.23
my,43.23,43.55
"hand,",43.55,44.05
wreck,44.13,44.79
my,44.79,44.95
"plans,",44.95,45.57
that's,45.85,46.13
my,46.13,46.41
man.,46.41,46.95
Life,47.85,48.23
was,48.23,48.47
a,48.47,48.65
willow,48.65,49.15
and,49.15,49.17
it,49.17,49.43
bent,49.43,49.63
right,49.63,49.93
to,49.93,50.31
your,50.31,50.65
wind.,50.65,51.25
Head,53.57,53.97
on,53.97,54.19
the,54.19,54.41
"pillow,",54.41,54.61
I,54.73,54.81
could,54.81,54.97
feel,54.97,55.39
you,55.39,55.63
sneaking,55.63,57.07
in.,57.07,57.65
As,59.47,60.04
if,60.04,60.28
