All,3.29,3.53
"right,",3.53,3.91
man.,4.05,4.33
So,4.57,5.03
how,5.03,5.19
we,5.19,5.31
doing,5.31,5.53
this?,5.53,5.77
So,6.51,7.11
I,7.11,7.41
know,7.41,7.71
you,7.71,7.85
don't,7.85,8.03
like,8.03,8.19
doing,8.19,8.41
this,8.41,8.63
that,8.63,8.85
"often,",8.85,9.35
but,9.67,9.69
we've,9.69,9.97
been,9.97,10.07
practicing,10.07,10.35
a,10.35,10.57
lot.,10.57,10.73
I,10.87,10.95
think,10.95,11.07
we,11.07,11.19
can,11.19,11.29
do,11.29,11.39
it,11.39,11.51
live,11.51,11.67
in,11.67,11.83
one,11.83,11.97
take,11.97,12.13
live,13.41,13.93
one,14.93,15.27
take,15.27,15.55
"Okay,",16.72,17.62
we've,18.14,18.36
been,18.36,18.44
practicing,18.44,18.8
like,18.8,19.16
a,19.16,19.32
lot.,19.32,19.52
So,19.6,19.8
"yeah,",19.8,20.02
"yeah,",20.08,20.32
we,20.38,20.46
can,20.46,20.56
do,20.56,20.66
it.,20.66,20.84
Yeah,20.9,21.3
one,21.3,21.46
day.,21.46,21.64
It's,21.76,22.32
all,22.32,22.4
it's,22.4,22.5
gonna,22.5,22.62
take,22.62,22.8
Just,24.18,24.5
once,24.5,24.74
Inside,91.88,92.7
"baby,",92.7,93.4
I've,93.54,93.92
never,93.92,94.42
had,94.42,94.82
a,94.82,95.04
way,95.04,95.28
to,95.28,95.56
keep,95.56,95.92
it,95.92,96.18
all,96.18,96.54
in,96.54,96.8
pain,96.8,97.12
One,98.02,98.8
day,98.8,99.46
And,138.64,138.93
I,138.93,139.13
see,139.13,139.49
the,139.49,139.75
signs,139.75,140.49
I'll,140.49,141.03
keep,141.03,141.27
it,141.27,141.57
in,141.57,141.77
my,141.77,142.07
mind,142.07,142.49
Learn,143.47,144.09
to,144.09,144.35
thrive,144.35,144.99
and,144.99,145.43
come,145.43,145.81
alive,145.81,146.31
without,146.99,147.78
it,147.78,148.16
now,148.16,148.52
I'm,148.52,149.74
the,149.74,149.98
son,149.98,150.38
of,150.38,150.8
not,150.8,151.1
great,151.1,151.54
Until,152.84,153.78
I'm,153.78,154.46
straight,154.46,154.92
away,154.92,155.5
I'm,157.13,158.13
feeling,158.13,158.15
Flipped,158.25,160.31
at,160.31,160.73
Boys,161.21,162.27
Life,164.94,166.45
is,166.45,167.45
That's,167.83,169.17
what,169.17,169.51
Sweet,211.41,212.17
Flipped,214.48,215.13
at,215.13,215.71
