Wipe,47.82,47.92
away,47.92,48.36
those,48.36,48.74
tears,48.74,49.2
"child,",49.2,49.74
there's,50.02,50.7
no,50.7,50.78
need,50.78,51.26
to,51.26,51.6
cry,51.6,51.94
Stand,53.12,53.38
up,53.38,53.76
on,53.76,54.06
your,54.06,54.56
feet,54.56,54.9
"now,",54.9,55.48
lift,55.72,56.36
your,56.36,56.68
head,56.68,57.04
up,57.04,57.46
high,57.46,57.92
Wait,58.86,59.14
till,59.14,59.54
tomorrow,59.54,59.98
to,59.98,60.38
lay,60.38,60.62
down,60.62,60.92
your,60.92,61.04
"sorrow,",61.04,61.56
freedom,61.74,62.2
is,62.2,62.52
here,62.52,62.84
today,62.84,63.4
Wipe,64.72,65.12
away,65.12,65.54
those,65.54,66.06
tears,66.06,66.52
"child,",66.52,67.1
put,67.4,68.16
down,68.16,68.68
your,68.68,69.0
shame,69.0,69.54
"Oh,",69.82,70.04
I,70.22,70.8
see,70.8,71.41
an,72.06,73.14
empty,73.14,73.94
"grave,",73.94,74.88
I,75.18,75.6
hear,76.86,77.42
the,77.42,77.82
heavens,77.82,78.34
waking,78.34,78.9
Angels,79.62,80.04
in,80.04,80.52
"jubilation,",80.52,81.76
their,82.06,82.4
stones,83.18,83.97
beating,83.97,84.53
The,89.01,89.15
darkness,89.15,89.83
"breaking,",89.83,90.45
I,90.77,91.41
bet,91.41,91.63
the,91.63,92.01
devil's,92.01,92.85
shaking,92.85,93.35
Somebody,93.95,94.43
"celebrate,",94.43,95.67
I,96.69,97.11
see,97.11,97.61
an,97.61,97.91
empty,97.91,98.51
grave,98.51,99.47
Wipe,106.67,107.6
away,111.29,111.81
those,111.81,112.39
tears,112.39,112.73
"child,",112.73,113.35
there's,113.61,114.19
no,114.19,114.21
need,114.21,114.23
to,114.23,114.25
cry,114.25,114.27
Stand,114.27,114.29
up,114.29,114.31
on,114.31,114.33
your,114.33,114.35
feet,114.35,114.37
"now,",114.37,114.39
lift,114.39,114.41
your,114.41,114.43
head,114.43,114.51
up,114.51,114.69
high,114.69,114.71
Wait,114.71,114.73
till,114.73,114.75
tomorrow,114.75,114.77
to,114.77,114.79
lay,114.79,114.81
down,114.81,114.83
your,114.83,114.85
"sorrow,",114.85,114.87
freedom,114.87,114.89
is,114.89,114.91
here,114.91,115.21
today,115.21,115.43
Wipe,115.51,116.4
away,116.66,116.68
those,116.68,116.7
tears,116.7,116.72
"child,",116.72,116.74
put,116.74,116.88
down,116.88,117.06
your,117.06,117.28
shame,117.28,117.3
"Oh,",117.3,117.32
I,117.32,117.34
see,117.34,117.36
an,117.36,117.72
empty,117.72,118.22
"grave,",118.22,118.28
I,118.28,118.3
hear,118.3,118.32
the,118.32,118.34
heavens,118.34,118.36
waking,118.36,118.38
Angels,118.38,118.4
in,118.4,118.42
"jubilation,",118.42,118.78
there's,118.84,119.28
no,119.28,119.3
need,119.3,119.32
to,119.32,119.34
cry,119.34,119.36
Stand,119.36,119.38
up,119.38,119.4
on,119.4,119.42
your,119.42,119.44
feet,119.44,119.46
"now,",119.46,119.48
lift,119.48,119.84
your,119.84,120.1
head,120.1,120.28
up,120.28,120.3
high,120.3,120.32
Wait,120.32,120.34
till,120.34,120.36
tomorrow,120.36,120.5
to,120.5,120.52
lay,120.52,120.54
down,120.54,120.56
your,120.56,120.58
"sorrow,",120.58,120.6
freedom,120.6,120.62
is,120.62,120.64
here,120.64,120.66
today,120.66,120.79
Wipe,120.79,120.81
away,120.81,120.83
those,120.83,120.85
tears,120.85,120.87
"child,",120.87,120.89
put,120.89,120.91
down,120.91,120.93
your,120.93,120.95
shame,120.95,121.37
"Oh,",121.37,121.39
I,121.39,121.41
see,121.41,121.43
an,121.43,121.45
empty,121.45,121.47
"grave,",121.47,121.64
I,121.8,122.6
hear,122.6,122.9
the,122.9,123.18
heavens,123.18,123.2
waking,123.2,123.28
Angels,123.28,123.3
in,123.3,123.32
"jubilation,",123.32,123.78
their,123.9,124.14
stones,124.14,124.2
beating,124.2,124.28
The,124.28,124.3
darkness,124.3,124.32
"breaking,",124.32,124.34
I,124.34,124.36
bet,124.36,124.38
the,124.38,124.52
devil's,124.52,124.7
shaking,124.7,125.02
Somebody,125.02,125.04
"celebrate,",125.04,125.06
I,125.06,125.08
see,125.08,125.1
an,125.1,125.12
empty,125.12,125.14
grave,125.14,125.16
Wait,125.3,125.32
till,125.32,125.34
tomorrow,125.34,125.36
to,125.36,125.38
lay,125.38,125.4
down,125.4,125.42
your,125.42,125.44
"sorrow,",125.44,125.46
freedom,125.46,125.68
is,125.68,126.0
here,126.0,126.36
today,126.36,126.54
Wipe,126.54,126.56
away,126.56,126.58
those,126.58,126.6
tears,126.6,126.62
