Twenty-five,29.987,30.488
years,30.568,30.988
and,31.028,31.208
my,31.228,31.369
life,31.409,31.749
is,31.849,31.969
still,31.989,33.111
trying,33.151,33.631
to,33.671,33.851
get,33.891,34.052
up,34.092,34.292
that,34.312,34.973
great,35.013,35.213
big,35.253,35.673
hill,35.713,36.354
of,36.414,36.594
hope,36.654,38.997
for,39.037,39.297
a,39.358,39.478
destination.,39.498,41.079
I,43.703,43.963
realized,44.003,44.624
quickly,44.644,45.305
when,45.325,45.445
I,45.465,45.585
knew,45.605,46.346
I,46.366,46.386
should,46.406,46.946
That,47.127,47.307
the,47.347,47.587
world,47.607,47.827
was,47.847,48.248
made,48.288,48.668
up,48.688,48.728
of,48.788,48.908
this,48.948,49.329
brotherhood,49.369,50.67
of,50.73,50.89
man,50.93,53.633
For,53.673,53.913
whatever,53.933,54.274
that,54.354,54.534
means,54.574,55.115
And,57.608,57.828
so,57.868,58.109
I,58.149,58.249
cry,58.269,58.69
sometimes,58.73,59.671
when,59.751,59.892
I'm,59.952,60.052
lying,60.172,60.613
in,60.653,60.773
bed,60.813,61.254
Just,61.274,61.674
to,61.835,61.895
get,61.915,62.275
it,62.315,62.396
all,62.456,62.856
out,62.896,63.037
what's,63.077,63.497
in,63.557,63.938
my,63.978,64.399
head,64.419,64.859
And,64.88,65.1
"I,",65.22,66.121
I,66.222,66.302
am,66.342,66.402
feeling,66.422,66.662
a,66.702,66.762
little,66.783,68.485
peculiar,68.706,69.507
And,71.935,72.155
so,72.195,72.435
I,72.536,72.616
wake,72.656,73.537
in,73.617,73.777
the,73.797,73.877
morning,73.897,74.057
and,74.097,74.257
I,74.277,74.397
step,74.417,74.858
outside,74.918,75.799
And,75.819,76.119
I,76.179,76.239
take,76.259,76.54
a,76.58,76.7
deep,76.74,76.94
breath,76.96,77.38
and,77.44,77.5
I,77.581,77.661
get,77.881,78.241
real,78.281,78.702
high,78.742,79.382
And,79.402,79.643
I,79.663,80.203
scream,80.223,80.503
from,80.543,80.724
the,80.744,80.924
top,80.944,81.004
of,81.024,81.144
my,81.184,81.404
"lungs,",81.424,82.045
what's,82.065,82.485
going,82.565,82.806
on?,83.066,83.226
And,85.57,85.63
I,85.65,85.81
"said,",85.83,86.191
"hey,",86.231,86.911
"yeah,",87.652,89.854
"yeah,",91.235,92.336
"hey,",92.356,93.337
"yeah,",93.377,93.557
yeah,93.598,93.778
I,93.798,93.818
"said,",93.838,94.078
"hey,",94.118,96.22
what's,96.24,96.68
going,96.72,97.681
on?,97.801,97.882
And,99.762,99.902
I,99.922,99.942
"said,",99.962,100.263
"hey,",100.283,100.423
"hey,",100.463,100.683
hey,100.703,100.843
I,100.923,101.084
"said,",101.104,101.724
"hey,",101.764,102.045
what's,102.065,104.628
going,104.668,105.609
on?,105.669,105.789
"Ooh,",115.76,117.904
"ooh,",117.964,119.327
ooh,119.447,119.908
And,130.053,130.193
I,130.253,130.273
try.,132.075,132.135
Oh,145.578,145.878
my,145.898,146.299
God,146.339,146.74
do,146.78,146.96
I,147.08,147.14
"try,",147.18,147.501
I,147.561,148.983
try,149.083,149.945
all,150.005,150.786
the,150.806,151.046
time,151.066,152.989
in,153.049,153.25
this,153.29,153.71
institution,153.75,154.712
and,157.516,157.716
I,157.736,157.877
pray,157.897,158.257
Oh,159.905,160.186
my,160.206,160.586
"God,",160.627,161.168
do,161.188,161.228
I,161.328,161.488
pray,161.528,163.272
I,163.372,163.473
pray,163.513,163.914
for,163.954,164.074
a,164.094,164.114
single,164.174,165.036
day,165.056,165.216
For,165.276,167.581
a,167.621,167.822
revolution,167.842,168.584
Into,171.751,172.191
a,172.231,172.352
crazy,172.372,173.292
times,173.333,173.793
when,173.813,174.013
I'm,174.053,174.213
lying,174.253,174.674
in,174.714,174.874
bed,174.914,175.455
Just,175.475,175.635
to,175.935,175.975
get,175.995,176.335
it,176.375,176.456
all,176.516,176.836
out,176.896,177.076
what's,177.116,177.597
in,177.637,177.977
my,178.017,178.437
head,178.478,178.858
And,178.898,179.138
"I,",179.178,180.239
I,180.279,180.339
am,180.379,180.439
feeling,180.459,180.88
a,181.981,182.141
little,182.181,182.622
peculiar,182.642,183.562
Into,185.875,186.355
a,186.375,186.555
wake,186.615,187.036
in,187.076,187.216
the,187.236,187.456
morning,187.496,187.856
and,187.876,188.136
I,188.176,188.297
step,188.317,188.757
outside,188.777,189.657
And,189.677,190.038
I,190.058,190.078
take,190.098,190.378
a,190.418,190.538
deep,190.578,190.778
breath,190.798,191.218
and,191.298,191.499
I,191.519,191.679
get,191.719,192.059
real,192.119,192.539
high,192.579,193.16
And,193.18,193.34
I,193.46,194.02
scream,194.04,194.32
from,194.34,194.42
the,194.44,194.561
top,194.581,194.821
of,194.861,194.961
my,195.001,195.221
"lungs,",195.241,195.801
what's,195.841,196.282
going,196.322,197.282
on?,197.382,197.843
And,199.375,199.856
I,199.916,200.016
"said,",200.056,200.317
"hey,",200.337,200.697
"yeah,",200.737,201.458
"yeah,",201.499,204.223
"hey,",204.283,204.984
"yeah,",205.024,205.826
yeah,205.906,207.108
I,207.208,207.328
"said,",207.368,207.609
"hey,",207.629,207.969
what's,210.033,210.453
going,210.473,210.654
on?,210.694,210.734
And,213.483,213.783
I,213.803,213.984
"said,",214.004,214.164
"hey,",214.204,214.444
"yeah,",214.464,214.625
"yeah,",214.645,214.805
"hey,",214.845,215.546
"yeah,",215.586,216.427
yeah,216.467,217.669
I,217.769,217.969
"said,",217.989,218.169
"hey,",218.189,218.35
what's,218.37,219.031
going,219.051,219.932
on?,219.972,220.012
And,227.59,227.87
I,227.91,228.091
"said,",228.111,228.591
"hey,",228.611,228.891
"yeah,",228.931,229.612
yeah,229.632,230.533
I,230.573,230.733
"said,",230.853,232.095
"hey,",232.115,232.415
what's,232.455,233.136
going,233.156,235.378
on?,235.418,235.478
And,241.698,241.758
I,241.778,241.798
"say,",241.818,241.878
"hey,",241.898,241.958
"yeah,",241.978,242.058
"yeah,",242.078,242.159
"hey,",242.179,242.239
"yeah,",242.259,242.339
"yeah,",242.359,242.439
"yeah,",242.459,242.539
"yeah,",242.559,242.639
"yeah,",242.659,242.759
"yeah,",242.779,242.859
"yeah,",242.879,243.0
"yeah,",243.02,243.1
"yeah,",243.12,243.2
"yeah,",243.22,243.3
"yeah,",243.32,243.4
"yeah,",243.42,243.5
"yeah,",243.52,243.6
"yeah,",243.62,243.701
"yeah,",243.721,243.801
"yeah,",243.821,243.921
"yeah,",243.941,244.021
"yeah,",244.041,244.121
"yeah,",244.141,244.221
"yeah,",244.241,244.321
"yeah,",244.341,244.421
"yeah,",244.441,244.522
"yeah,",244.542,244.622
"yeah,",244.642,244.722
"yeah,",244.742,244.822
"yeah,",244.842,244.922
"yeah,",244.942,245.022
"yeah,",245.042,245.122
"yeah,",245.142,245.263
"yeah,",245.283,245.383
"yeah,",245.403,245.503
"yeah,",245.523,245.603
"yeah,",245.623,245.703
"yeah,",245.723,245.843
"yeah,",245.863,245.943
"yeah,",245.963,246.043
"yeah,",246.064,246.144
"yeah,",246.164,246.244
"yeah,",246.264,246.344
"yeah,",246.364,246.524
"yeah,",246.544,246.624
"yeah,",246.644,246.744
"yeah,",246.764,246.845
"yeah,",246.865,246.945
"yeah,",246.965,247.045
"yeah,",247.065,247.145
"yeah,",247.165,247.245
"yeah,",247.265,247.345
"yeah,",247.365,247.445
"yeah,",247.465,247.545
"yeah,",247.565,247.646
"yeah,",247.666,247.746
"yeah,",247.766,247.846
"yeah,",247.866,247.986
