Twenty-five,29.987,30.487
years,30.567,30.967
and,31.027,31.207
my,31.227,31.367
life,31.407,31.748
is,31.848,31.968
still,31.988,33.108
Trying,33.148,33.648
to,33.668,33.848
get,33.888,34.028
up,34.068,34.288
that,34.308,34.969
great,35.009,35.209
big,35.249,35.669
hill,35.709,36.349
of,36.409,36.589
hope,36.649,38.99
For,39.03,39.31
a,39.35,39.47
destination,39.49,43.971
I,43.991,44.011
realized,44.031,44.572
quickly,44.652,45.332
when,45.372,45.592
I,45.612,45.632
knew,45.652,46.352
I,46.372,46.392
should,46.412,46.872
That,46.912,47.312
the,47.332,47.593
world,47.613,47.833
was,47.853,48.253
made,48.293,48.693
up,48.713,48.753
of,48.793,48.913
this,48.933,49.313
brotherhood,49.353,50.654
of,50.734,50.894
man,50.934,53.634
For,53.654,53.915
whatever,53.935,54.395
that,54.415,54.535
means,54.575,55.115
And,57.608,57.848
so,57.868,58.088
I,58.128,58.248
cry,58.268,58.709
sometimes,58.729,59.669
when,59.689,59.81
I'm,59.83,59.91
lying,59.93,60.29
in,60.39,60.77
bed,60.81,61.251
Just,61.291,61.591
to,61.831,61.871
get,61.911,62.271
it,62.331,62.391
all,62.451,62.832
out,62.892,63.032
what's,63.072,63.492
in,63.552,63.933
my,63.973,64.373
head,64.413,64.833
And,64.873,65.173
"I,",65.334,66.094
I,66.154,66.274
am,66.314,66.374
feeling,66.394,66.654
a,66.694,66.755
little,66.775,68.676
peculiar,68.696,69.557
And,71.998,72.178
so,72.218,72.459
I,72.539,72.619
wake,72.659,73.099
in,73.159,73.299
the,73.319,73.559
morning,73.599,73.94
and,73.96,74.06
I,74.1,74.24
step,74.42,74.9
outside,74.94,75.801
And,75.821,76.121
I,76.181,76.241
take,76.261,76.542
a,76.582,76.722
deep,76.742,76.962
breath,76.982,77.442
and,77.482,77.642
I,77.742,77.862
get,77.903,78.243
real,78.303,78.723
high,78.763,79.243
And,79.263,79.404
I,79.664,80.204
scream,80.224,80.504
from,80.544,80.725
the,80.745,80.945
top,80.965,81.025
of,81.045,81.145
my,81.185,81.425
lungs,81.445,82.045
what's,82.085,82.506
going,82.526,83.186
on,83.246,83.687
And,85.57,85.63
I,85.65,85.81
"said,",85.83,85.95
"hey,",86.01,86.19
"yeah,",86.27,87.571
"yeah,",87.651,88.771
"hey,",88.791,90.491
"yeah,",91.231,92.312
yeah,92.352,92.772
I,92.832,93.332
"said,",93.352,93.632
"hey,",93.652,93.792
what's,93.812,94.072
going,94.092,94.212
on?,96.093,96.333
And,96.393,96.553
I,96.573,96.613
"said,",96.633,96.973
"hey,",96.993,97.053
"yeah,",97.133,97.333
"yeah,",97.373,97.733
"hey,",97.753,97.893
"yeah,",97.953,99.774
yeah,99.794,99.894
I,99.914,99.934
"said,",99.954,100.074
"hey,",100.094,100.214
what's,100.234,100.574
going,100.594,101.154
on?,101.194,101.814
And,115.76,116.02
I,116.24,117.74
try,117.76,117.84
Oh,145.578,145.878
my,145.898,146.298
God,146.338,146.738
do,146.758,146.939
I,147.059,147.139
try,147.179,147.499
I,147.559,148.979
try,149.079,149.94
all,150.0,150.7
the,150.74,151.04
time,151.06,152.981
In,153.041,153.241
this,153.281,153.701
institution,153.741,154.702
And,157.503,157.703
I,157.763,157.863
pray,157.883,159.944
Oh,160.004,160.184
my,160.204,160.584
God,160.604,161.044
do,161.084,161.244
I,161.324,161.484
pray,161.524,163.285
I,163.385,163.485
pray,163.525,163.925
for,163.945,164.125
single,164.165,165.046
day,165.086,165.446
For,167.567,167.807
revolution,167.827,168.347
Into,171.751,172.191
a,172.251,172.371
crazy,172.391,173.292
daze,173.332,173.732
when,173.812,173.992
I'm,174.052,174.392
lying,174.412,174.672
in,174.712,174.872
bed,174.912,175.313
Just,175.373,175.793
to,175.813,175.953
get,175.973,176.333
it,176.373,176.453
all,176.513,176.713
out,176.753,177.073
what's,177.113,177.594
in,177.634,177.974
my,178.014,178.434
head,178.454,178.854
And,178.894,179.134
"I,",179.174,180.195
I,180.275,180.335
am,180.375,180.475
feeling,180.535,181.936
a,181.976,182.156
little,182.176,182.616
peculiar,182.636,183.556
Into,185.937,186.358
a,186.398,186.558
wake,186.618,187.038
in,187.098,187.218
the,187.238,187.458
morning,187.498,187.858
and,187.878,188.138
I,188.178,188.298
step,188.318,188.759
outside,188.779,189.659
And,189.679,190.059
I,190.119,190.199
take,190.219,190.399
a,190.439,190.559
deep,190.599,191.24
breath,191.26,191.42
and,191.44,191.5
I,191.54,191.7
get,191.72,192.06
real,192.12,192.56
high,192.58,193.081
And,193.101,193.401
I,193.461,194.021
scream,194.061,194.321
from,194.341,194.421
the,194.441,194.561
top,194.601,194.821
of,194.861,194.961
my,195.021,195.222
"lungs,",195.242,195.802
what's,195.862,196.282
going,196.322,197.283
on?,197.423,197.883
And,199.375,199.855
I,199.915,200.015
"said,",200.055,200.315
"hey,",200.335,200.695
"yeah,",200.735,201.435
"yeah,",201.495,204.216
"hey,",204.276,204.976
"yeah,",205.016,205.876
yeah,205.916,207.097
I,207.197,207.317
"said,",207.357,207.637
"hey,",207.657,207.957
what's,210.017,210.377
going,210.457,213.518
on?,213.578,213.778
And,213.798,213.958
I,214.078,214.138
"said,",214.158,214.438
"hey,",214.458,214.798
"yeah,",214.838,216.419
"yeah,",216.479,218.339
"hey,",218.379,219.059
"yeah,",219.099,219.94
yeah,219.98,221.16
I,221.26,221.4
"said,",221.42,221.62
"hey,",221.64,221.7
what's,221.72,221.9
going,221.94,222.2
on?,223.9,223.98
And,227.59,227.85
I,227.87,227.89
"said,",227.91,228.09
"hey,",228.11,228.251
"yeah,",228.311,228.911
"yeah,",228.931,229.612
"hey,",229.632,230.733
"yeah,",230.773,232.414
yeah,232.454,234.056
I,234.096,235.357
"said,",235.377,235.637
"hey,",235.657,235.757
what's,235.777,236.058
going,236.078,236.898
on?,238.019,238.28
And,238.34,238.48
I,238.5,238.52
"said,",238.56,238.8
"hey,",238.82,238.92
"yeah,",238.98,239.841
"yeah,",241.783,242.323
"hey,",242.423,242.664
"yeah,",242.704,243.024
yeah,243.044,244.625
I,244.665,246.527
"said,",246.547,247.708
"hey,",247.748,248.108
what's,248.128,248.549
going,248.589,249.47
on?,249.53,249.59
Twenty-five,257.662,267.871
years,272.815,272.916
and,272.936,273.416
my,274.257,274.437
life,274.477,274.857
is,274.897,275.158
still,275.178,276.479
Trying,276.539,277.059
to,277.079,277.339
get,277.359,277.56
up,277.58,277.84
that,277.88,278.641
great,278.681,278.961
big,278.981,279.461
hill,279.501,280.242
of,280.302,280.502
hope,280.542,280.923
For,283.362,283.462
a,283.483,283.703
destination,283.724,284.768
