years,30.588,30.928
and,31.068,31.228
my,31.248,31.329
life,31.409,31.809
is,31.849,31.929
still,31.989,32.49
Trying,33.171,33.611
to,33.691,33.811
get,33.891,34.052
up,34.152,34.232
that,34.332,34.712
great,35.013,35.213
big,35.253,35.613
hill,35.713,36.334
of,36.494,36.594
hope,36.695,37.035
For,39.037,39.317
a,39.378,39.478
destination,39.518,41.019
I,43.863,43.923
realized,43.983,44.544
quickly,44.664,45.325
when,45.385,45.605
I,45.685,45.745
knew,45.805,46.045
I,46.206,46.286
should,46.426,46.786
that,46.906,47.127
the,47.187,47.327
world,47.407,47.767
was,47.847,48.168
made,48.288,48.528
up,48.608,48.708
of,48.848,48.928
this,48.988,49.209
brotherhood,49.369,50.37
of,50.69,51.391
man.,51.411,51.471
For,53.373,53.633
whatever,53.693,54.234
that,54.314,54.514
means.,54.594,55.015
into,57.708,58.089
a,58.169,58.249
crisis,58.289,58.67
of,58.89,59.11
times,59.231,59.651
when,59.711,59.932
i'm,60.012,60.112
lying,60.172,60.613
in,60.693,60.773
bed,60.853,61.194
just,61.274,61.454
to,61.494,61.815
get,61.895,62.175
it,62.295,62.436
all,62.516,62.656
out,62.796,62.976
what's,63.077,63.497
in,63.718,63.858
my,63.978,64.359
head,64.399,64.739
you,64.88,65.1
know,65.12,65.44
i,66.222,66.262
i,66.342,66.362
am,66.382,66.482
feeling,66.522,67.163
a,68.105,68.165
little,68.245,68.645
peculiar,68.726,69.607
And,72.035,72.155
so,72.195,72.415
I,72.516,72.596
wake,72.636,72.916
in,73.176,73.316
the,73.356,73.497
morning,73.577,74.037
and,74.057,74.237
I,74.297,74.417
step,74.437,74.738
outside,74.898,75.639
and,75.739,75.839
I,76.079,76.219
take,76.259,76.54
a,76.6,76.68
deep,76.74,76.94
breath,76.96,77.32
and,77.54,77.661
I,77.761,77.841
get,77.901,78.241
real,78.301,78.722
high,78.782,79.182
and,79.302,79.402
I,79.683,79.843
scream,80.223,80.483
from,80.523,80.624
the,80.644,80.704
top,80.744,81.004
of,81.064,81.144
my,81.204,81.384
"lungs,",81.444,81.985
what's,82.085,82.445
going,82.525,83.146
on?,83.566,83.666
And,85.73,85.83
I,86.05,86.211
"said,",86.251,86.811
"hey,",86.971,88.573
"hey,",88.713,89.834
"hey,",89.894,90.354
hey.,90.555,92.957
I,93.477,93.598
"said,",93.638,93.838
"hey,",93.878,94.418
what's,96.32,96.66
going,96.74,97.321
on?,97.781,97.882
And,99.882,100.042
I,100.263,100.443
"said,",100.503,101.003
"hey,",101.204,101.985
"hey,",102.065,102.685
hey.,102.746,102.906
I,103.867,104.047
"said,",104.087,104.548
"hey,",104.668,105.569
what's,105.589,106.27
going,106.35,107.171
on?,107.191,107.231
oh,115.8,116.02
oh,116.041,116.161
Ooh.,130.093,130.533
Ooh.,132.795,133.236
Ooh.,133.896,136.198
Ooh.,139.601,140.121
Ooh.,140.362,140.682
And,143.284,143.424
I,143.504,143.584
try.,143.624,143.944
oh,145.758,145.878
my,145.919,146.139
god,146.339,146.62
do,146.76,146.98
i,147.08,147.14
try,147.18,147.821
i,147.841,147.861
try,149.203,149.624
all,150.085,150.285
