years,30.567,30.927
and,31.067,31.207
my,31.227,31.327
life,31.407,31.808
is,31.848,31.948
still,32.008,32.488
Trying,33.168,33.608
to,33.688,33.828
get,33.888,34.048
up,34.148,34.228
that,34.308,34.688
great,35.009,35.209
big,35.249,35.609
hill,35.709,36.329
of,36.509,36.589
hope,36.669,37.029
For,39.01,39.29
a,39.39,39.47
destination,39.51,41.211
I,43.851,43.931
Realized,43.991,44.552
quickly,44.672,45.332
when,45.392,45.592
I,45.692,45.752
knew,45.812,46.032
I,46.212,46.292
should,46.432,46.772
that,46.912,47.132
the,47.192,47.352
world,47.412,47.773
was,47.853,48.173
made,48.273,48.533
up,48.613,48.713
of,48.833,48.933
this,48.993,49.213
brotherhood,49.373,50.373
of,50.774,50.874
man,50.934,51.454
For,53.374,53.654
whatever,53.714,54.235
that,54.295,54.515
means,54.575,54.995
And,57.708,57.828
so,57.868,58.088
I,58.168,58.228
cry,58.288,58.669
sometimes,58.729,59.649
when,59.71,59.93
I'm,60.03,60.13
lying,60.17,60.61
in,60.71,60.79
bed,60.83,61.191
just,61.271,61.451
to,61.471,61.811
get,61.891,62.171
it,62.291,62.431
all,62.532,62.672
"out,",62.792,62.992
what's,63.072,63.452
in,63.672,63.872
mind?,63.973,64.753
And,64.973,65.113
"I,",65.334,65.434
I,66.214,66.254
am,66.334,66.474
feeling,66.514,67.155
a,68.095,68.176
little,68.236,68.656
peculiar.,68.716,69.757
And,72.058,72.158
so,72.218,72.439
I,72.539,72.599
wake,72.659,72.959
in,73.179,73.319
the,73.359,73.499
morning,73.579,74.04
and,74.06,74.24
I,74.28,74.42
step,74.44,74.74
outside,74.9,75.641
and,75.741,75.841
I,76.061,76.221
take,76.281,76.542
a,76.602,76.682
deep,76.742,76.962
breath,76.982,77.462
and,77.562,77.662
I,77.762,77.842
get,77.903,78.203
real,78.303,78.703
high,78.763,79.203
and,79.324,79.824
I,79.844,79.864
scream,80.224,80.484
from,80.504,80.624
the,80.664,80.725
top,80.765,81.005
of,81.065,81.145
my,81.205,81.405
"lungs,",81.465,81.985
what's,82.085,82.446
going,82.546,83.026
on?,83.066,83.106
And,85.71,86.51
I,86.53,86.79
"said,",86.95,90.351
"hey,",90.551,91.412
"hey,",91.492,92.952
I,93.472,93.592
"said,",93.632,93.812
"hey,",93.872,94.392
what's,96.313,96.653
going,96.733,97.433
on?,97.753,97.933
And,97.953,98.013
I,100.274,100.454
"said,",100.494,102.014
"hey,",102.094,104.555
"hey,",104.695,107.176
I,107.196,107.216
"said,",107.796,108.576
"hey,",110.216,110.436
what's,110.476,110.817
going,110.897,111.597
on?,111.937,112.037
Ooh.,116.04,116.24
Ooh.,118.1,118.36
Ooh.,119.421,119.961
Ooh.,120.761,121.881
Ooh.,122.981,123.561
Ooh.,124.602,125.402
And,125.742,125.842
I,125.862,125.882
try.,125.902,126.322
oh,145.758,145.878
my,145.918,146.158
god,146.338,146.618
do,146.738,146.979
i,147.079,147.159
try,147.179,147.819
i,147.839,147.859
try,149.199,149.62
all,150.1,150.28
the,150.36,150.7
time,150.76,151.12
in,151.3,151.4
this,151.42,151.5
institution,153.101,155.202
and,155.222,155.282
i,157.563,157.703
pray,157.863,158.483
oh,160.064,160.184
my,160.224,160.484
god,160.644,160.924
do,161.084,161.304
i,161.404,161.444
pray,161.464,162.185
i,162.205,162.225
pray,163.525,163.945
for,163.965,164.085
single,164.185,165.026
day,165.086,165.606
for,167.587,167.967
revolution,168.127,170.188
into,171.851,172.191
a,172.271,172.351
crazy,172.391,173.152
time,173.312,173.772
when,173.812,174.032
I'm,174.112,174.212
lying,174.252,174.692
in,174.792,174.872
bed,174.912,175.293
just,175.353,175.533
to,175.553,175.933
get,175.993,176.273
it,176.373,176.493
all,176.573,176.713
out,176.853,176.993
what's,177.133,177.534
in,177.714,177.974
my,178.034,178.334
head,178.474,178.754
and,178.954,179.454
I,180.235,180.295
am,180.375,180.495
feeling,180.515,181.015
a,182.016,182.096
little,182.176,182.676
peculiar,182.836,183.796
into,185.977,186.338
a,186.438,186.558
week,186.598,186.858
in,187.118,187.238
the,187.298,187.438
morning,187.498,187.838
and,187.878,187.978
I,188.078,188.178
step,188.278,188.599
outside,188.739,189.639
and,189.659,189.759
I,189.919,190.079
take,190.119,190.399
a,190.459,190.519
deep,190.579,190.82
breath,190.88,191.16
and,191.4,191.5
I,191.58,191.66
get,191.72,192.02
real,192.12,192.54
high,192.62,193.041
and,193.121,193.241
I,193.441,193.581
scream,194.041,194.341
for,194.361,194.421
the,194.461,194.541
top,194.581,194.841
of,194.901,194.961
my,195.021,195.202
lungs,195.262,195.742
what's,195.862,196.202
going,196.342,197.062
on?,197.743,197.903
And,200.315,200.595
I,201.415,201.575
"said,",201.595,202.316
"hey,",202.436,204.056
"hey,",204.296,205.136
"hey,",205.996,206.697
I,206.717,206.737
"said,",207.097,207.597
"hey,",207.637,208.197
what's,210.017,210.417
going,210.517,211.038
on?,211.538,211.718
And,211.738,213.758
I,213.998,214.158
"said,",214.198,214.718
"hey,",216.579,217.659
"hey,",217.719,218.239
I,219.019,219.199
"said,",219.219,219.94
"hey,",220.04,220.84
what's,221.16,221.44
going,221.48,221.66
on?,221.92,222.04
And,227.79,227.95
I,228.07,228.211
"said,",228.291,230.593
"hey,",230.713,231.353
"hey,",231.834,234.156
"hey,",234.256,234.897
I,235.137,235.317
"said,",235.597,235.817
"hey,",235.857,236.398
what's,238.22,238.56
going,238.62,239.14
on?,239.701,239.881
And,239.901,239.961
I,241.783,241.963
"said,",242.383,242.764
"hey,",242.784,243.905
"hey,",243.985,244.665
"hey,",244.825,245.466
I,246.087,246.327
"said,",246.547,247.968
"hey,",248.128,248.549
what's,248.589,248.929
going,248.989,249.37
on?,249.49,249.57
"Ooh,",257.662,257.882
"ooh,",257.902,257.962
"ooh,",257.982,258.062
"ooh,",259.704,259.904
"ooh,",259.924,259.984
"ooh,",260.004,260.064
"ooh,",260.084,260.164
"ooh,",260.184,261.325
"ooh,",261.345,261.405
"ooh,",261.425,261.485
"ooh,",261.505,261.565
"ooh,",261.585,261.646
"ooh,",261.666,261.726
"ooh,",261.746,261.806
"ooh,",261.826,261.886
"ooh,",261.906,261.966
"ooh,",261.986,262.046
"ooh,",262.066,262.126
"ooh,",262.146,262.206
"ooh,",262.226,262.286
"ooh,",262.306,262.366
"ooh,",262.386,262.446
"ooh,",262.466,262.526
"ooh,",262.546,262.606
"ooh,",262.626,262.686
"ooh,",262.706,262.767
"ooh,",262.787,262.847
"ooh,",262.867,262.927
"ooh,",262.947,263.007
"ooh,",263.027,263.107
"ooh,",263.127,263.187
"ooh,",263.207,263.267
"ooh,",263.287,263.347
"ooh,",263.367,263.427
"ooh,",263.447,263.527
"ooh,",263.547,263.607
"ooh,",263.627,263.687
"ooh,",263.707,263.807
"ooh,",263.827,263.888
"ooh,",264.908,264.968
"ooh,",264.989,265.049
"ooh,",265.069,265.129
"ooh,",265.149,265.209
"ooh,",265.229,265.289
"ooh,",265.309,265.369
"ooh,",265.389,265.449
"ooh,",265.469,265.529
"ooh,",265.569,265.629
"ooh,",265.649,265.709
"ooh,",265.729,265.789
"ooh,",265.809,265.869
"ooh,",265.889,265.949
"ooh,",265.969,266.029
"ooh,",266.049,266.11
