Finish,12.12,12.721
with,12.781,13.042
my,13.102,13.362
woman,13.483,14.164
cause,14.204,14.765
she,14.785,14.946
couldn't,14.986,15.627
help,15.667,15.947
me,16.008,16.428
with,16.489,16.669
my,16.729,17.01
mind.,17.11,17.47
People,17.49,18.052
think,18.072,18.252
I'm,18.292,18.833
insane,19.054,20.256
because,20.296,20.817
I,21.037,21.138
am,21.278,21.518
frowning,21.558,22.34
all,22.54,22.62
the,22.64,22.881
time.,23.061,23.622
All,35.673,35.813
day,35.853,36.193
long,36.333,36.513
I,36.813,36.893
think,36.934,37.254
of,37.374,37.634
things,37.654,38.014
but,38.054,38.334
nothing,38.494,39.094
seems,39.134,39.434
to,39.494,39.634
satisfy.,39.795,41.075
Think,41.375,41.575
I'll,41.755,41.995
lose,42.035,42.295
my,42.355,43.076
mind,43.116,43.416
if,43.656,43.756
I,43.816,43.856
don't,43.876,44.196
find,44.236,44.576
something,44.636,45.297
to,45.317,45.517
pacify.,45.557,46.037
Can,46.077,46.277
you,46.317,46.437
hear,46.477,46.877
me?,46.897,46.937
Can't,48.678,48.958
you,49.018,49.178
feel,49.238,50.078
my,50.098,50.138
brain?,51.579,51.879
Oh,52.039,52.319
yeah.,52.399,53.099
I,70.962,71.022
need,71.042,71.403
someone,71.423,72.124
to,72.144,72.384
show,72.444,72.845
me,72.905,73.225
the,73.445,74.026
things,74.046,74.467
in,74.607,74.687
life,74.707,74.807
that,74.847,75.127
I,75.308,75.468
can,75.508,75.928
find.,75.968,76.369
I,76.85,76.93
can't,76.99,77.25
see,77.31,77.671
the,77.711,78.031
things,78.071,78.411
that,78.452,78.672
make,78.872,79.152
true,79.172,79.593
happiness.,79.633,80.674
I,80.995,81.175
must,81.215,81.375
be,81.395,81.455
blind.,81.495,81.776
Make,117.716,117.956
a,118.117,118.277
joke,118.337,118.677
and,118.838,119.038
I,119.238,119.398
will,119.458,119.759
sigh,119.839,120.359
and,120.379,120.52
you,120.6,120.8
will,120.96,121.241
laugh,121.381,121.961
and,122.182,122.382
I,122.402,122.422
will,122.442,122.702
cry,122.782,123.243
Happiness,123.624,124.525
I,124.885,124.965
cannot,124.985,125.546
feel,125.666,126.307
and,126.407,126.487
love,126.547,126.767
to,126.848,127.068
me,127.188,127.528
is,127.749,127.969
so,128.049,128.51
unreal,128.61,129.09
And,141.344,141.504
so,141.544,141.744
as,141.865,142.205
you,142.245,142.465
hear,142.525,142.926
these,142.966,143.246
words,143.326,143.706
telling,143.786,144.367
you,144.467,144.787
now,144.867,145.408
of,145.668,145.828
my,145.908,146.369
"state,",146.389,146.789
I,147.23,147.35
tell,147.39,147.69
you,147.77,148.09
to,148.13,148.451
enjoy,148.651,149.231
"life,",149.291,149.612
I,149.772,150.052
wish,150.112,150.312
I,150.332,150.372
could,150.392,150.773
burn,150.793,151.113
through,151.153,151.734
late.,151.754,151.974
