Oh,10.584,10.624
"Mama,",30.241,30.562
take,30.622,30.882
this,30.943,31.163
badge,31.323,31.825
off,31.905,32.045
of,32.185,32.266
me,32.366,32.606
I,37.175,37.275
can't,37.315,37.716
use,37.976,38.216
it,38.817,38.937
anymore,39.037,40.298
It's,43.842,43.982
getting,44.022,44.382
"dark,",44.462,45.143
too,45.283,45.483
dark,45.564,46.004
to,46.044,46.184
see,46.344,46.645
Feel,50.902,51.142
I'm,51.283,51.463
knockin',51.523,52.104
on,52.324,52.525
heaven's,52.605,53.126
door,53.246,54.227
"Knock,",57.753,58.114
"knock,",58.194,58.534
knockin',58.635,59.095
on,59.296,59.476
heaven's,59.576,60.097
door,60.177,60.898
"Knock,",64.64,65.001
"knock,",65.081,65.461
knocking,65.521,66.002
on,66.162,66.362
heaven's,66.462,66.963
door,67.083,68.805
"Knock,",71.548,71.948
"knock,",72.008,72.369
knocking,72.429,72.929
on,73.089,73.27
heaven's,73.37,73.87
door,73.95,74.811
"Knock,",78.445,78.766
"knock,",78.866,79.186
knocking,79.287,79.747
on,79.908,80.068
heaven's,80.168,80.749
door,80.849,82.652
Mama,85.377,85.717
put,85.757,85.998
my,86.038,86.398
guns,86.458,87.039
in,87.18,87.28
the,87.3,87.4
ground,87.48,88.061
I,92.285,92.405
can't,92.445,92.726
shoot,92.806,93.166
them,93.286,93.546
anymore,94.207,96.109
That,98.732,98.952
long,99.012,99.573
black,99.673,99.933
cloud,100.053,100.514
is,100.614,100.734
coming,100.874,101.255
down,101.355,101.835
I,105.787,105.807
feel,105.827,106.068
I'm,106.208,106.408
knocking,106.448,107.01
on,107.25,107.411
heaven's,107.511,108.052
door,108.152,109.856
"Knock,",112.642,112.983
"knock,",113.063,113.404
knocking,113.504,113.965
on,114.145,114.326
heaven's,114.426,114.907
door,115.047,115.909
"Knock,",119.45,119.831
"knock,",119.891,120.251
knocking,120.331,120.832
on,120.972,121.152
heaven's,121.252,121.753
door.,121.853,123.514
"Knock,",126.277,126.618
"knock,",126.718,127.058
knocking,127.178,127.639
on,127.819,127.959
heaven's,128.059,128.58
door.,128.68,128.78
"Knock,",133.135,133.495
"knock,",133.575,133.895
knockin',133.995,134.476
on,134.656,134.856
heaven's,134.936,135.436
door.,135.556,135.816
