Mama,16.287,30.575
take,30.615,30.895
this,30.935,31.175
badge,31.335,31.715
off,31.896,32.036
of,32.176,32.256
me,32.356,34.517
I,37.218,37.298
can't,37.338,37.739
use,37.919,38.219
it,38.819,38.939
anymore,39.039,39.88
It's,43.831,43.951
getting,44.011,44.371
"dark,",44.451,45.031
too,45.291,45.492
dark,45.552,45.992
to,46.032,46.152
see,46.332,47.492
I,50.713,50.833
feel,50.873,51.133
I'm,51.293,51.473
knocking,51.533,52.074
on,52.334,52.514
heaven's,52.594,53.114
door,53.234,54.995
"Knock,",57.735,58.116
"knock,",58.196,58.556
knocking,58.616,59.096
on,59.296,59.496
heaven's,59.576,60.076
door,60.176,61.557
"Knock,",64.658,64.998
"knock,",65.078,65.458
knocking,65.518,65.978
on,66.178,66.398
heaven's,66.478,66.958
door,67.098,67.719
"Knock,",71.562,71.982
"knock,",72.002,72.382
knocking,72.422,72.862
on,73.062,73.242
heaven's,73.342,73.863
door,73.943,75.363
"Knock,",78.464,78.784
"knock,",78.864,79.204
knocking,79.284,79.724
on,79.924,80.084
heaven's,80.204,80.744
door,80.824,82.685
Mama,85.365,85.706
put,85.746,85.966
my,86.026,86.386
guns,86.446,87.026
in,87.166,87.286
the,87.306,87.386
ground,87.466,88.206
I,92.307,92.407
can't,92.447,92.747
shoot,92.827,93.207
them,93.267,93.567
anymore,94.208,95.148
That,98.719,98.959
long,98.999,99.579
black,99.659,99.999
cloud,100.059,100.5
is,100.62,100.74
coming,100.88,101.24
down,101.34,103.14
I,105.641,105.761
feel,105.821,106.081
I'm,106.201,106.401
knocking,106.461,107.021
on,107.241,107.401
heaven's,107.521,108.042
door,108.142,109.902
"Knock,",112.623,112.963
"knock,",113.063,113.423
knocking,113.503,113.943
on,114.123,114.323
heaven's,114.423,114.904
door,115.024,116.924
"Knock,",119.485,119.825
"knock,",119.905,120.265
knocking,120.345,120.805
on,120.965,121.185
heaven's,121.285,121.725
door,121.845,122.206
"Knock,",126.284,126.604
"knock,",126.705,127.085
knocking,127.165,127.625
on,127.806,127.986
heaven's,128.066,128.566
door.,128.686,130.568
"Knock,",133.13,133.511
"knock,",133.591,133.891
knocking,133.991,134.492
on,134.652,134.852
heaven's,134.932,135.433
door.,135.573,136.614
Ooh.,136.814,137.254
