I,5.207,5.307
got,5.347,5.588
my,5.608,5.728
first,5.768,6.089
real,6.209,6.549
six,6.649,7.01
string,7.03,7.451
Bought,8.192,8.733
it,8.773,8.833
at,8.953,9.053
the,9.113,9.213
five,9.274,9.754
and,9.854,10.095
dime,10.155,10.696
Played,11.657,12.118
it,12.158,12.298
till,12.318,12.519
my,12.539,12.659
fingers,12.739,13.5
bled,13.58,14.081
Was,14.882,15.123
the,15.143,15.243
summer,15.303,15.804
of,15.884,16.044
Me,18.588,18.989
and,19.129,19.389
some,19.429,19.65
guys,19.67,20.05
from,20.09,20.431
school,20.471,20.971
Had,21.812,22.073
a,22.133,22.173
band,22.253,22.814
and,22.854,22.914
we,22.934,23.074
tried,23.114,23.535
real,23.615,23.995
hard,24.055,24.496
Then,25.297,25.517
we,25.557,25.638
"quit,",25.698,26.138
Jodie,26.579,27.019
got,27.039,27.34
married,27.44,28.201
I,28.601,28.722
should've,28.762,29.102
known,29.162,29.603
we'd,29.823,30.023
never,30.083,30.444
get,30.504,30.784
far,30.884,31.265
"Well,",32.812,33.092
when,33.132,33.312
I,33.352,33.432
look,33.472,33.692
back,33.753,34.133
"now,",34.193,34.613
that,34.633,35.874
time,35.914,36.374
must,36.394,36.514
seem,36.534,36.774
to,36.814,36.894
last,36.994,37.334
forever.,37.394,38.595
And,39.576,39.756
if,40.016,40.136
I,40.416,40.496
had,40.596,40.896
the,40.916,41.096
choice.,41.116,41.597
"Yeah,",42.828,43.55
those,43.57,43.85
wanna,43.931,44.732
be,44.812,45.213
there,45.233,45.594
Those,46.295,46.676
were,46.756,47.217
the,47.237,47.297
best,47.378,47.758
days,47.819,48.259
of,48.42,48.56
my,48.68,49.001
life,49.081,49.582
Ain't,57.205,57.365
no,57.385,57.545
use,57.666,57.906
in,58.106,58.406
complaining,58.446,59.447
When,60.168,60.609
you,60.649,60.809
got,60.849,61.069
a,61.129,61.169
job,61.209,61.65
to,61.69,62.03
do,62.11,62.53
I,62.55,62.57
spend,63.251,63.571
my,63.632,63.872
evenings,63.932,64.452
down,64.512,64.973
at,65.193,65.333
the,65.393,65.493
driving,65.553,66.314
And,67.597,67.697
that's,67.737,67.977
when,68.017,68.157
I,68.478,68.638
met,68.658,68.958
"you,",68.978,69.358
yeah,69.438,70.058
Standing,70.459,71.219
on,71.319,71.399
your,71.439,71.599
mama's,71.659,72.16
porch,72.24,72.84
You,73.78,73.961
told,74.001,74.401
me,74.421,74.501
that,74.521,74.861
she,74.901,75.101
waits,75.141,75.441
forever,75.521,76.662
"Oh,",77.883,78.123
the,78.163,78.343
way,78.363,78.563
you,78.583,78.663
held,78.703,78.783
my,78.823,79.223
hand,79.283,79.704
I,80.826,80.927
knew,80.947,81.387
that,81.427,81.648
it,81.708,81.808
was,81.848,81.968
now,82.028,82.389
or,82.65,82.79
never,82.89,83.671
Those,84.433,84.773
were,84.833,85.334
the,85.354,85.455
best,85.515,85.875
days,85.935,86.376
of,86.536,86.697
my,86.777,87.178
life,87.218,87.759
Oh,90.303,90.423
yeah,90.503,91.145
Back,92.65,92.851
in,92.931,93.071
the,93.092,93.212
summer,93.232,93.734
of,93.874,94.014
I,100.655,100.715
guess,100.735,100.875
nothing,100.895,101.536
can,101.616,102.357
last,102.397,102.737
"forever,",102.777,103.397
forever,103.458,104.458
no,104.498,104.859
And,129.537,129.698
now,129.858,130.218
the,130.299,130.399
times,130.459,130.92
are,131.04,131.24
changing,131.32,132.081
Look,132.662,132.883
at,133.043,133.283
everything,133.303,133.764
that's,133.784,133.924
come,133.984,134.425
and,134.625,134.785
gone,134.846,135.326
Sometimes,136.352,136.752
when,136.772,137.053
I,137.153,137.313
play,137.393,137.653
that,137.693,137.893
old,138.013,138.154
6-string,138.174,139.034
I,139.054,139.074
think,139.575,139.775
about,139.855,140.215
"you,",140.255,140.435
wonder,140.495,140.836
what,140.896,141.256
went,141.316,141.596
wrong,141.656,142.237
Standing,143.198,143.938
on,144.018,144.138
your,144.158,144.318
mama's,144.358,144.839
porch,144.959,145.459
You,146.5,146.68
told,146.74,147.161
me,147.221,147.441
that,147.461,147.621
it,147.682,147.782
lasts,147.842,148.122
forever,148.182,149.163
"Oh,",149.323,149.423
when,150.224,150.845
you,150.905,151.105
held,151.145,151.526
my,151.546,152.447
hand,152.467,152.547
I,153.508,153.628
knew,153.668,154.089
that,154.149,154.389
it,154.449,154.549
was,154.589,154.729
now,154.809,155.19
or,155.33,155.49
never,155.59,156.331
Those,157.132,157.512
were,157.572,158.033
the,158.053,158.153
best,158.233,158.554
days,158.654,159.094
of,159.234,159.434
my,159.515,159.855
life,159.895,160.335
oh,162.987,163.107
yeah,163.167,164.03
back,165.374,165.695
in,165.735,165.795
the,165.835,165.935
summer,165.976,166.517
of,166.617,166.778
It,172.34,172.44
was,172.5,172.741
the,172.901,173.021
summer,173.041,173.401
of,173.482,173.622
Oh,173.782,173.882
"yeah,",173.922,174.403
me,174.423,174.683
and,174.943,175.103
my,176.425,176.585
baby,177.426,177.707
Who's,193.361,193.782
that?,194.663,195.745
Nobody.,206.495,206.916
I,207.397,207.497
"said,",207.617,207.998
who's,208.519,208.9
that?,208.98,209.241
I,209.501,209.581
said,209.662,209.962
nobody.,210.062,210.543
