I,5.982,6.082
see,6.142,6.723
that,7.184,7.705
moon,7.825,8.245
rising,8.386,9.047
I,9.067,9.087
see,11.47,12.031
trouble,12.491,12.972
on,13.353,13.533
the,13.573,13.673
way,13.733,14.154
I,14.174,14.194
see,14.214,17.338
earthquakes,18.039,18.8
and,18.88,19.021
lightning,19.061,19.581
I,21.977,22.678
see,22.698,22.758
bad,23.178,23.638
times,23.698,24.759
today,24.779,24.879
Don't,27.121,27.441
go,27.481,27.702
around,27.762,28.102
tonight,28.162,28.882
But,28.902,28.963
if,29.523,29.583
you,29.623,29.723
finally,29.783,30.344
take,30.364,30.644
your,30.684,31.505
life,31.525,31.605
There's,32.485,33.486
a,33.566,33.626
bad,33.686,34.006
mood,34.046,34.427
on,34.707,34.867
the,34.887,35.007
right,35.047,35.408
I,37.923,38.083
hear,38.123,38.623
hurricanes,39.143,40.164
blowing,40.284,40.964
I,40.984,41.004
know,41.024,41.104
the,43.505,44.325
end,44.505,44.805
is,44.885,44.965
coming,45.146,45.586
soon,45.666,46.046
I,46.066,46.086
fear,46.106,48.827
the,48.867,49.287
river,49.827,50.367
overflowing,50.667,51.608
I,53.995,54.155
hear,54.216,54.796
the,54.836,54.957
voice,54.997,55.437
of,55.557,55.637
rage,55.698,56.178
and,56.278,56.358
ruin.,56.418,56.879
Don't,56.899,56.999
go,59.162,59.523
around,59.643,60.204
"tonight,",60.244,61.085
but,61.365,61.485
it's,61.585,61.826
bound,61.866,62.226
to,62.246,62.386
take,62.427,62.747
your,62.767,63.027
life.,63.067,63.748
There's,64.549,65.571
a,65.651,65.711
bad,65.771,66.051
move,66.111,66.492
on,66.712,66.912
the,66.933,67.053
right.,67.113,67.493
All,68.847,69.531
right.,69.551,69.652
Hope,91.179,91.459
you,91.519,92.02
got,92.52,92.721
your,92.741,93.161
things,93.201,93.541
together,93.561,94.462
Hope,94.482,96.865
you,96.905,97.285
are,97.625,97.826
quite,97.886,98.246
prepared,98.266,98.927
today,98.947,99.647
Looks,101.889,102.17
like,102.23,102.69
we're,102.87,103.211
in,103.471,103.551
for,103.591,103.731
nasty,103.771,104.392
weather,104.432,105.053
One,107.363,108.203
eye,108.223,108.463
is,108.483,108.523
taking,108.584,108.964
me,108.984,109.064
for,109.204,109.624
a,109.684,109.764
night.,109.804,110.264
"Well,",111.765,112.565
don't,112.605,112.885
go,112.945,113.165
around,113.205,113.585
"tonight,",113.645,114.446
but,114.766,114.946
it's,115.026,115.146
fine,115.226,115.626
to,115.646,115.786
take,115.826,116.146
your,116.166,116.426
life.,116.486,117.026
There's,117.907,118.887
a,118.967,119.127
bad,119.167,119.447
moon,119.507,119.847
on,120.148,120.308
the,120.328,120.448
right.,120.508,120.928
Don't,123.289,123.59
come,123.63,123.81
around,123.89,124.271
tonight.,124.331,125.073
"Well,",125.474,125.634
it's,125.714,125.875
fine,125.975,126.316
to,126.356,126.496
take,126.536,126.837
your,126.877,127.739
line.,127.759,127.839
There's,128.641,129.663
a,129.743,129.823
fat,129.883,130.164
moon,130.244,130.625
on,130.845,131.046
the,131.086,131.186
right.,131.246,131.727
