I,5.982,6.082
see,6.142,6.723
that,7.183,7.684
moon,7.824,8.245
rising.,8.385,9.005
I,9.025,9.045
see,11.488,12.029
trouble,12.489,12.97
on,13.37,13.53
the,13.55,13.67
way.,13.731,14.151
I,14.171,14.191
see,14.211,17.354
earthquakes,18.055,18.796
and,18.876,19.016
lightning.,19.056,19.657
I,21.999,22.12
see,22.18,22.72
bad,23.201,23.661
times,23.721,24.182
today.,24.242,24.742
Don't,27.118,27.438
go,27.478,27.618
around,27.638,28.118
"tonight,",28.138,28.879
but,28.899,28.959
if,29.519,29.579
you,29.619,29.739
finally,29.779,30.339
take,30.359,30.639
your,30.679,30.98
life,31.02,31.58
There's,32.48,33.501
a,33.561,33.621
bad,33.681,33.981
mood,34.041,34.401
on,34.681,34.861
the,34.881,35.001
right,35.041,35.501
I,37.922,38.082
hear,38.142,38.663
hurricanes,39.143,40.143
are,40.183,40.263
blowing,40.323,41.004
I,41.024,41.044
know,41.064,44.145
the,44.185,44.325
end,44.545,44.805
is,44.885,45.125
coming,45.145,45.605
soon,45.665,46.086
I,46.106,46.126
fear,48.867,49.247
the,49.267,49.807
river's,49.827,50.387
overflowing,50.667,51.608
I,53.995,54.155
hear,54.195,54.796
the,54.836,54.956
voice,54.996,55.437
of,55.537,55.637
rage,55.717,56.178
and,56.278,56.358
ruin.,56.418,56.878
Don't,56.898,59.261
go,59.281,59.521
around,59.662,60.202
"tonight,",60.242,61.063
but,61.363,61.484
it's,61.584,61.824
bound,61.864,62.224
to,62.244,62.385
take,62.425,62.745
your,62.765,63.025
life.,63.065,63.746
"Yeah,",64.547,65.568
the,65.588,65.708
bad,65.768,66.049
moves,66.109,66.489
on,66.709,66.93
the,66.95,67.05
rise.,67.11,67.63
All,67.65,67.711
right.,68.872,69.573
Hope,91.179,91.459
you,91.539,92.039
got,92.52,92.72
your,92.76,93.16
things,93.2,93.52
together,93.56,94.441
Hope,94.461,96.862
you,96.922,97.282
are,97.622,97.823
quite,97.863,98.103
prepared,98.203,98.983
today,99.063,99.643
Looks,101.865,102.165
like,102.225,102.665
we're,102.865,103.225
in,103.325,103.546
for,103.586,103.726
nasty,103.766,104.366
weather,104.426,105.166
One,107.368,107.528
eye,108.168,108.248
is,108.348,108.548
taking,108.588,109.028
for,109.209,109.609
a,109.689,109.789
night,109.809,110.269
"Well,",111.77,112.57
don't,112.61,112.89
go,112.951,113.171
around,113.231,113.611
tonight,113.651,114.451
But,114.771,114.952
it's,115.032,115.152
fine,115.252,115.652
to,115.672,115.792
take,115.832,116.132
your,116.152,116.432
life,116.472,116.953
There's,117.922,118.902
a,118.982,119.103
bad,119.163,119.443
moon,119.503,119.843
on,120.143,120.303
the,120.343,120.423
right.,120.503,121.123
Don't,123.284,123.584
come,123.624,123.825
around,123.885,124.285
"tonight,",124.325,125.065
but,125.465,125.645
it's,125.725,125.865
fine,125.965,126.326
to,126.346,126.486
take,126.526,126.846
your,126.886,127.126
life.,127.186,127.766
There's,128.627,129.647
a,129.747,129.807
bad,129.887,130.187
moon,130.227,130.607
on,130.847,131.028
the,131.068,131.168
right.,131.228,131.728
