"Ah,",2.796,2.976
this,3.857,3.997
is,4.057,4.137
for,4.177,4.337
everybody,4.437,4.917
who's,4.957,5.177
been,5.217,5.418
restored.,5.458,6.038
D.,6.658,6.818
Lawrence,6.858,7.239
coming,7.279,7.559
at,7.619,7.779
you.,7.819,7.979
Get,8.82,9.02
up.,9.1,9.18
Come,9.28,9.42
"on,",9.46,9.58
y'all.,9.6,9.86
Let's,9.9,10.06
sing,10.1,10.26
this,10.28,10.46
song.,10.481,10.781
"Ah,",12.422,12.522
ooh.,13.282,13.602
Got,14.543,14.863
a,14.943,15.083
story,15.103,15.744
to,15.764,15.984
tell,16.064,16.424
you,16.464,16.584
Yeah.,16.684,17.024
Of,17.204,17.364
some,17.384,17.605
things,17.665,18.005
that,18.045,18.365
I've,18.485,18.625
been,18.665,18.945
"through,",18.985,19.185
but,19.286,19.686
I'm,19.746,19.826
here,19.946,20.326
"Yo,",20.706,20.846
I'm,20.926,21.047
here.,21.127,21.387
I,23.376,23.396
like,23.796,23.996
that.,24.076,24.277
"Oh,",24.297,24.837
you,24.857,25.038
only,25.178,25.298
knew.,25.338,25.698
Right,25.719,25.879
now,26.039,26.299
I,26.319,26.339
stand,26.359,26.6
before,26.66,27.441
you.,27.481,27.561
Thank,38.195,38.535
"you,",38.595,38.836
Lord.,38.876,39.076
Yeah.,39.136,39.376
"Oh,",53.914,54.314
listen.,54.334,56.635
God,56.675,56.915
touched,57.015,57.396
me.,57.476,57.636
He,59.436,59.576
delivered,59.596,60.137
me.,60.157,61.217
Now,61.557,61.917
my,63.498,63.978
heart,64.018,64.478
is,64.518,64.638
mended.,64.678,65.699
"Oh,",66.839,67.019
I'm,67.039,67.219
whole,67.259,67.559
again.,67.639,67.979
You,67.999,68.94
"see,",69.96,70.2
there's,70.4,70.62
no,70.66,70.84
change.,70.88,74.161
Guess,74.222,74.462
what?,74.522,74.762
Got,74.802,74.962
my,75.002,75.282
liberty.,75.342,75.642
I'm,75.782,75.902
healed.,75.962,76.342
Oh,83.044,83.165
say,83.185,83.786
it,84.848,84.989
y'all.,85.269,85.45
God,85.47,85.61
touch,85.911,86.232
me.,86.552,86.773
"Yeah,",89.663,90.364
"yeah,",90.404,90.704
yeah.,90.744,91.084
"Oh,",92.485,92.665
he,92.745,92.926
set,92.986,93.266
my,93.306,93.506
soul,93.606,94.527
free.,95.467,97.169
Anybody,97.209,97.549
free,97.609,97.829
like,97.869,98.109
me?,98.149,98.37
