"Ah,",2.816,2.996
this,3.837,3.997
is,4.057,4.137
for,4.177,4.337
everybody,4.437,4.897
who's,4.957,5.178
been,5.238,5.418
restored.,5.458,6.058
D.,6.658,6.818
Lawrence,6.859,7.219
coming,7.279,7.559
at,7.639,7.779
you.,7.799,7.999
Get,8.82,9.02
up.,9.1,9.18
Come,9.28,9.42
"on,",9.46,9.58
y'all.,9.6,9.84
Let's,9.88,10.06
sing,10.1,10.281
this,10.301,10.461
song.,10.481,10.781
Ah.,12.422,12.482
Yeah.,14.753,15.014
"Yo,",15.174,15.535
I'm,15.615,15.735
here.,16.056,16.397
"Oh,",22.674,23.354
I'm,23.374,23.434
here.,23.574,23.735
I,23.755,23.775
like,23.795,23.995
that.,24.075,24.295
"Oh,",25.655,27.296
you,27.476,27.576
only,27.616,27.796
knew.,27.836,28.276
Right,28.936,30.837
"now,",31.097,31.337
I,31.357,31.377
stand,31.457,31.757
before,31.777,32.137
you.,32.177,32.277
"Oh,",32.297,32.337
I'm,32.918,33.058
here.,33.138,33.598
Oh.,33.678,33.798
I,38.375,38.395
spend,38.415,38.836
heat.,38.896,39.076
Thank,39.136,39.456
"you,",39.476,39.676
Lord.,39.776,40.137
I'm,40.197,40.317
here.,40.417,41.237
"Oh,",53.897,54.318
listen.,54.338,56.644
God,56.684,56.925
touched,57.025,57.406
me.,57.486,57.646
He,59.451,59.572
delivered,59.612,60.153
me.,60.173,60.213
He,60.614,60.874
"said,",60.934,61.195
I'm,61.715,61.915
soul,62.156,63.117
free.,63.497,63.757
Now,63.797,63.978
my,63.998,64.178
heart,64.218,64.458
is,64.518,64.638
mending.,64.678,64.999
My,65.059,65.099
heart,65.419,65.739
is,66.18,66.34
mad.,66.4,66.6
"Oh,",66.821,67.001
I'm,67.021,67.221
whole,67.261,67.561
again.,67.641,67.982
I'm,68.422,68.562
whole,68.643,68.943
again.,69.043,69.563
You,69.704,69.944
"see,",69.964,70.204
there's,70.404,70.645
no,70.685,70.845
chains.,70.905,71.165
"Yeah,",73.747,74.128
guess,74.208,74.448
what?,74.528,74.788
"God,",74.808,74.928
my,75.008,75.268
"liberty,",75.329,75.629
I'm,75.749,75.889
here.,75.989,76.429
Yeah.,77.57,78.051
"Oh,",78.151,78.291
say,78.311,78.471
"it,",78.551,78.611
y'all.,78.671,78.791
"Today,",85.907,87.149
God,87.209,87.549
touched,87.63,88.13
me.,89.152,89.592
"Yeah,",89.652,90.333
"yeah,",90.413,90.694
yeah.,90.754,91.074
"Oh,",92.496,92.657
he,92.757,92.917
set,92.997,93.257
my,93.317,93.498
soul.,93.618,93.938
He,93.978,94.219
set,94.259,94.539
my,94.92,95.24
soul,95.48,96.642
free.,96.822,97.163
Anybody,97.223,97.583
free,97.623,97.844
like,97.884,98.124
me.,98.164,98.344
My,98.465,98.705
heart,98.785,99.126
is,99.146,99.186
standing.,99.346,99.706
Anybody,100.387,100.828
mending?,100.988,101.488
"Yeah,",102.569,103.53
"yeah,",103.83,104.431
yeah.,104.831,106.673
Guess,107.093,107.854
what?,107.914,108.234
"Oh,",108.494,111.717
where,111.737,111.897
the,111.917,111.997
spirit,112.037,112.438
"is,",112.498,112.598
there's,112.638,112.878
liberty.,112.978,113.359
"Yeah,",115.976,116.277
"yeah,",116.317,116.598
yeah.,116.638,117.099
I,118.142,118.262
like,118.563,118.904
this,119.145,119.506
part.,119.626,119.806
We,121.476,121.736
have,121.776,122.017
some,122.037,122.297
scars,122.337,123.017
I,123.037,123.057
may,123.077,123.198
have,123.238,123.378
some,123.398,123.558
scars,123.598,124.058
I,124.559,124.639
am,124.779,124.939
healed,124.999,125.54
But,125.62,125.74
I'm,125.76,125.86
healed,125.9,126.2
Circumstances,126.5,127.982
Still,128.002,128.242
got,128.262,128.382
some,128.422,128.562
circumstances,128.602,129.263
I'm,129.503,129.683
still,129.723,130.064
healed,130.104,130.344
But,130.504,130.604
I'm,130.644,130.784
still,130.824,131.125
healed,131.165,131.385
Disappointments,131.685,134.507
I,134.528,134.548
