"Ah,",2.796,2.976
this,3.857,3.997
is,4.057,4.137
for,4.177,4.337
everybody,4.437,4.917
who's,4.957,5.177
been,5.217,5.418
restored.,5.458,6.038
D.,6.658,6.818
Lawrence,6.858,7.239
coming,7.279,7.559
at,7.619,7.779
you.,7.819,7.979
Get,8.82,9.02
up.,9.1,9.18
Come,9.28,9.42
"on,",9.46,9.58
y'all.,9.6,9.86
Let's,9.9,10.06
sing,10.1,10.26
this,10.28,10.46
song.,10.481,10.781
Ah.,12.422,12.522
Got,13.242,13.622
a,14.743,14.863
story,15.043,15.744
to,15.764,15.984
tell,16.064,16.424
you,16.524,17.024
of,17.204,17.364
some,17.384,17.605
things,17.665,18.005
that,18.045,18.365
I've,18.485,18.625
been,18.665,18.945
"through,",18.985,19.185
but,19.286,19.686
I'm,19.746,19.826
here.,19.946,20.346
"Yo,",20.706,20.846
I'm,20.926,21.047
here.,21.127,21.387
"Oh,",22.675,23.356
I'm,23.376,23.436
here.,23.576,23.736
I,23.756,23.776
like,23.796,23.996
that.,24.076,24.297
"Oh,",25.658,27.301
you,27.481,27.581
only,27.621,27.801
knew.,27.841,28.282
Right,28.943,30.845
"now,",31.105,31.346
I,31.366,31.386
stand,31.466,31.766
before,31.786,32.147
you.,32.187,32.287
"Oh,",32.307,32.347
I'm,32.928,33.068
here.,33.148,33.608
Oh.,33.689,33.729
Oh.,33.849,33.929
I,38.375,38.395
spend,38.415,38.836
heat.,38.896,39.076
Thank,39.136,39.456
"you,",39.476,39.676
Lord.,39.776,40.137
I'm,40.197,40.317
here.,40.417,41.237
"Oh,",53.914,54.314
listen.,54.334,56.635
God,56.675,56.915
touched,57.015,57.396
me.,57.476,57.636
He,59.436,59.576
delivered.,59.596,60.137
Now,60.157,61.217
my,61.557,63.978
heart,64.018,64.478
is,64.518,64.638
mended.,64.678,65.699
"Oh,",66.839,67.019
I'm,67.039,67.219
whole,67.259,67.559
again.,67.639,67.979
You,67.999,68.94
"see,",69.96,70.2
there's,70.4,70.62
no,70.66,70.84
chains.,70.88,71.561
"Yeah,",73.781,74.161
guess,74.222,74.462
what?,74.522,74.762
God,74.802,74.962
my,75.002,75.282
"liberty,",75.342,75.642
I'm,75.782,75.902
healed.,75.962,76.342
"Oh,",83.044,83.165
say,83.185,83.786
"it,",84.848,84.989
y'all.,85.269,85.45
God,85.47,85.61
touched,85.911,86.232
me.,86.552,86.773
"Yeah,",89.663,90.364
"yeah,",90.404,90.704
