So,5.918,6.259
if,6.519,6.679
you're,6.739,7.06
lonely,7.08,7.641
You,9.265,9.506
know,9.666,9.926
I'm,10.247,10.507
here,10.547,11.269
waiting,11.409,11.749
for,11.769,11.93
you,11.99,12.47
I'm,12.49,12.551
just,13.071,13.432
a,13.592,13.632
crosshair,13.712,14.854
I'm,16.156,16.357
just,16.437,16.797
a,17.058,17.158
shot,17.258,18.019
away,18.059,18.48
from,18.52,18.7
you,18.8,19.081
And,19.101,19.161
if,19.181,19.221
you,19.241,19.301
leave,19.321,19.782
here,19.802,19.942
You,22.788,23.129
leave,23.209,23.57
me,23.631,23.791
"broken,",23.811,23.932
"shattered,",24.855,25.337
and,25.437,26.059
I,26.079,26.099
am,26.401,26.501
just,26.561,26.983
a,27.103,27.123
crosshead.,27.183,28.127
I'm,29.63,29.851
just,29.891,30.171
that,30.311,30.551
shocked,30.591,31.553
and,31.673,31.773
we,31.813,31.913
can,31.933,32.153
die.,32.213,32.974
I,41.498,41.658
know,41.718,42.559
I,43.16,43.3
won't,43.38,43.72
be,43.801,44.021
leaving,44.081,44.862
here,44.882,45.362
with,45.382,45.763
you.,45.783,45.843
I,83.085,83.165
"say,",83.205,83.667
don't,83.787,84.089
you,84.109,84.209
know?,84.249,84.771
You,85.213,85.394
say,85.454,85.976
you,85.996,86.056
don't,86.076,86.478
know.,86.518,87.12
I,87.602,87.723
say.,87.783,88.205
Take,90.662,91.143
me,91.263,91.483
out,91.944,92.084
I,92.224,92.324
say,92.384,92.845
you,92.865,92.925
don't,93.145,93.365
show,93.405,94.006
Don't,94.386,94.687
"move,",94.747,95.147
time's,95.227,95.668
low,95.708,96.369
I,96.789,96.889
say,96.97,97.63
Take,99.853,100.394
me,100.474,100.754
out,101.194,101.315
I,110.495,110.616
say,110.696,111.197
you,111.297,111.417
don't,111.458,111.678
know.,111.738,112.159
You,112.179,112.239
say,112.259,112.319
you,112.339,112.4
don't,112.56,112.66
go.,112.68,112.841
I,112.861,112.881
say.,112.961,113.302
Take,118.087,118.548
me,118.729,118.969
out.,119.33,119.45
If,119.51,119.57
I,119.731,119.831
move,119.891,120.392
this,120.452,120.673
could,120.693,120.853
die.,120.873,121.495
I'd,121.976,122.096
move,122.216,122.717
this,122.757,122.978
could,122.998,123.158
die.,123.178,123.82
I,123.84,123.86
want,124.481,125.002
you,125.062,125.624
to,127.047,127.207
take,127.287,127.728
me,127.908,128.189
out.,128.59,128.65
I,133.441,133.581
know,133.661,134.102
I,134.122,134.142
won't,134.783,134.963
believe,135.023,135.584
in,135.624,135.684
here,135.724,136.786
"Oh,",137.427,137.547
I,137.947,138.048
know,138.108,138.508
I,138.528,138.548
won't,139.189,139.43
believe,139.49,140.01
in,140.051,140.131
here,140.191,141.352
I,142.343,142.463
know,142.523,142.944
I,142.964,142.984
will,143.626,143.866
believe,143.926,144.748
in,145.43,145.67
him.,145.69,145.75
I,146.793,146.933
know,146.993,147.434
I,147.454,147.474
will,148.095,148.316
believe,148.356,149.038
in,149.118,149.278
him,149.338,150.18
with,150.32,150.841
you.,150.922,151.363
I,160.355,160.475
"say,",160.535,161.016
don't,161.156,161.456
you,161.496,161.596
know?,161.636,161.856
You,161.916,162.076
say,162.097,162.157
you,162.177,162.237
don't,162.497,162.637
know.,162.657,162.817
I,162.837,162.857
say.,162.897,163.277
Take,168.085,168.546
me,168.606,168.947
"out,",169.268,169.488
I'll,169.669,169.789
"wait,",169.849,170.471
this,170.491,170.671
could,170.691,171.413
die,171.433,171.493
I'll,171.513,171.593
"wait,",171.894,172.595
this,172.696,172.976
could,173.016,173.177
die,173.197,173.818
I,173.838,173.858
want,173.878,173.959
you,174.319,174.801
So,177.022,177.182
take,177.322,177.823
me,177.943,178.224
out!,178.564,178.724
I'll,178.764,179.005
"move,",179.045,179.606
this,179.646,179.866
can,179.906,180.046
die!,180.066,180.707
I'll,181.228,181.408
"move,",181.448,181.989
this,182.029,182.229
can,182.269,183.13
die!,183.151,183.211
Come,183.431,185.434
on!,185.454,185.494
Take,186.595,187.136
me,187.196,187.456
out!,187.937,188.117
I,201.956,202.096
know,202.157,202.638
I,203.139,203.219
won't,203.279,203.46
believe,203.52,204.182
in,204.302,204.422
here.,204.823,205.786
"Oh,",205.946,206.066
I,206.467,206.548
know,206.628,207.049
I,207.55,207.63
won't,207.69,207.931
believe,207.991,208.472
in,208.593,208.633
here.,208.693,208.853
I,210.858,210.978
know,210.998,211.499
I,212.02,212.101
would,212.161,212.381
be,212.441,212.642
leaving,212.662,212.942
here.,213.002,213.083
I,213.103,213.123
know,213.143,214.105
I,214.125,214.145
would,214.165,214.265
be,214.325,214.425
leaving,214.445,214.726
here,214.766,214.886
with,214.946,215.467
you.,215.568,215.788
