Preguntaba,1.71,1.99
una,2.03,2.111
damita,2.171,2.491
que,2.731,2.831
si,2.911,2.991
cuándo,3.151,3.472
fue,3.612,3.832
la,4.453,4.513
"fecha,",4.633,4.893
una,4.913,4.973
damita,5.193,5.474
del,5.494,5.614
"auditorio,",5.634,6.114
cuando,6.515,6.735
ocurrió,6.795,7.315
el,7.696,7.776
último,7.936,8.396
eclipse,9.257,9.838
solar.,10.218,10.558
Yo,10.658,10.779
le,11.119,11.239
dije,11.359,11.579
que,11.659,11.76
el,12.04,12.18
de,12.22,12.3
febrero,12.36,12.74
de,12.82,12.921
Welcome,34.013,34.394
to,34.454,34.655
the,34.755,34.935
"Salvation,",34.996,35.657
my,35.697,35.778
tequila's,35.898,37.001
my,37.101,37.201
companion,37.341,38.163
for,38.264,38.504
this,38.645,38.865
evening,38.885,39.567
of,40.188,40.369
oblivion.,40.469,41.171
¡Suscríbete,42.961,43.882
al,43.942,44.002
canal!,44.022,44.322
"Oh,",52.447,52.627
back,52.668,53.108
another,53.349,53.93
"Mustang,",53.97,54.33
cause,54.39,54.691
this,54.731,54.951
city,54.991,55.332
has,55.392,55.612
no,55.632,55.672
heart.,55.712,56.394
It,56.514,56.614
sucks,56.714,57.055
you,57.095,57.355
"in,",57.455,57.736
and,57.796,57.856
it,57.876,58.016
spits,58.216,58.737
you,58.757,58.877
out.,58.918,59.098
Patiently,62.027,62.568
seeking,62.588,63.148
a,63.528,63.568
destination,63.608,64.809
is,64.869,64.949
unknown,65.089,65.57
I,65.63,65.79
followed,65.95,66.33
the,66.37,66.53
road,66.551,66.811
down,66.831,67.051
to,67.811,67.912
Mexico,68.112,68.792
"Sorry,",70.973,71.714
Mr.,71.734,71.934
"Officer,",72.095,73.356
I,73.517,73.577
think,73.597,73.997
you,74.037,74.278
got,74.298,74.518
it,74.538,74.698
wrong.,74.899,75.76
I'm,75.78,75.86
a,75.9,76.02
lonely,76.04,76.421
old,76.521,76.701
test,77.042,77.642
boy,77.662,77.863
and,77.903,77.983
I,78.063,78.203
want,78.263,78.684
to,78.724,78.784
get,78.824,79.044
on,79.185,79.325
home.,79.405,79.645
Me,80.366,80.466
smile,80.566,80.967
and,81.027,81.167
"say,",81.187,81.488
"Señor,",81.548,81.808
you're,82.049,82.349
not,82.389,82.669
in,82.729,82.87
Texas,82.97,83.731
anymore.,83.791,84.232
I,88.105,88.165
send,88.285,88.526
my,88.586,88.806
love,88.846,89.307
to,89.407,89.567
my,89.587,89.767
"own,",89.968,90.288
but,90.308,90.528
I,90.548,90.568
send,90.588,90.889
my,90.909,91.189
mail,91.209,91.87
to,95.015,95.435
my,95.455,95.575
hotel.,95.595,95.836
¡Suscríbete,102.715,103.236
al,103.296,103.496
canal!,103.556,103.757
¡Suscríbete,112.351,113.112
al,113.172,113.232
canal!,113.272,113.613
"Sorry,",121.802,122.824
Mr.,122.864,123.004
"Officer,",123.064,123.745
and,123.845,123.965
I'm,124.005,124.125
gonna,124.165,124.746
get,124.806,125.106
revenge.,125.307,125.747
On,126.388,126.448
this,126.508,126.909
side,127.129,127.369
of,127.389,127.429
the,127.49,127.81
"border,",127.85,128.21
it's,128.291,128.411
running,128.431,128.891
"pesos,",129.031,129.492
"yeah,",129.512,129.712
you,129.812,130.413
dig.,131.054,131.154
He's,131.174,131.374
"smiling,",131.394,131.895
"says,",131.915,132.236
"Señor,",132.276,132.536
I,132.676,133.017
think,133.097,133.357
I'll,133.437,133.677
drink,133.717,134.038
to,134.358,134.418
your,134.478,134.759
threats.,134.779,135.38
I,139.015,139.055
send,139.075,139.315
my,139.396,139.496
love,139.556,139.756
to,140.237,140.397
my,140.437,140.557
"home,",140.717,141.198
but,141.218,141.278
send,141.418,141.638
my,141.738,141.918
mail.,142.019,142.519
Do,142.539,142.579
you,143.64,143.801
wanna,143.821,144.061
tell?,144.081,144.301
"Oh,",195.59,195.69
in,195.871,196.131
my,197.454,197.774
desk,197.794,198.375
to,198.716,198.956
shove,198.996,199.377
suicide's,199.457,200.759
a,200.819,200.879
solution,200.94,201.541
And,201.621,201.741
I'm,201.761,201.941
gonna,202.001,202.182
be,202.202,202.302
in,202.402,203.063
love,203.624,203.885
And,203.985,204.045
I'm,204.065,204.165
not,204.225,204.466
cashing,204.486,205.187
in,205.267,205.327
You,206.715,206.955
see,206.995,207.075
the,207.176,207.476
sun,207.496,207.576
is,207.656,207.716
going,207.756,207.956
down,207.976,208.157
and,208.257,208.657
my,208.677,208.777
problems,208.797,209.378
will,209.598,209.838
be,209.878,210.099
solved,210.119,210.339
by,210.379,210.599
dawn.,210.659,211.1
¡Suscríbete!,214.127,215.068
Música,225.734,226.655
Música,226.715,227.456
Música,227.516,227.957
y,235.167,235.407
y,235.467,235.607
y,235.647,235.767
y,235.847,236.008
y,236.088,236.268
y,236.288,236.308
y,236.408,236.468
y,236.528,236.548
Gracias,254.516,254.977
por,255.037,255.317
ver,255.337,255.458
el,255.538,255.598
video.,255.618,255.838
635-4302.,292.267,292.548
No,292.688,293.13
le,294.274,294.334
dan,294.374,294.495
trabajo,294.535,294.836
porque,294.876,295.077
está,295.097,295.237
muy,295.277,295.378
joven,295.418,295.659
o,295.679,295.719
muy,295.779,295.879
viejo.,295.919,296.2
No,296.22,296.261
se,296.762,296.883
preocupe.,296.963,297.425
Llame,297.625,297.986
ahora,298.027,298.207
mismo.,298.227,298.448
