Preguntaba,1.71,1.99
una,2.03,2.111
damita,2.171,2.491
que,2.731,2.831
si,2.911,2.991
cuándo,3.151,3.472
fue,3.612,3.832
la,4.453,4.513
"fecha,",4.633,4.893
una,4.913,4.973
damita,5.193,5.474
del,5.494,5.614
"auditorio,",5.634,6.114
cuando,6.515,6.735
ocurrió,6.795,7.315
el,7.696,7.776
último,7.936,8.396
eclipse,9.257,9.838
solar.,10.218,10.558
Yo,10.658,10.779
le,11.119,11.239
dije,11.359,11.579
que,11.659,11.76
el,12.04,12.18
de,12.22,12.3
febrero,12.36,12.74
de,12.82,12.921
Welcome,33.973,34.453
to,34.473,34.713
the,34.753,34.993
"salvation,",35.013,35.673
my,35.693,35.753
tequila's,35.894,37.014
my,37.094,37.314
companion,37.334,38.154
for,38.254,38.534
this,38.634,38.874
evening,38.894,39.474
of,40.155,40.375
oblivion.,40.435,41.475
You,41.515,43.095
"see,",43.155,43.436
everyone,43.576,44.156
around,44.236,44.716
me,44.736,44.896
kinda,45.156,45.536
bores,45.616,46.016
"me,",46.056,46.276
makes,46.336,46.636
me,46.656,46.756
lonely,46.796,47.377
with,47.497,47.717
our,47.777,47.957
friends.,47.997,48.597
"Oh,",49.457,49.717
I,49.777,49.877
never,49.897,50.177
had.,50.217,50.757
"Oh,",50.837,52.478
back,52.498,52.878
in,53.018,53.118
the,53.278,53.798
"Mustang,",53.838,54.358
cause,54.418,54.678
this,54.718,54.939
city,54.999,55.339
has,55.419,55.659
no,55.719,55.799
"heart,",55.839,56.479
it,56.519,56.659
sucks,56.719,57.059
you,57.099,57.359
in.,57.439,57.759
And,58.8,59.04
it,59.1,59.2
spits,59.24,59.56
you,59.68,59.96
out.,60.04,60.24
Patiently,61.827,62.587
and,62.747,62.887
seeking,62.927,63.567
a,63.667,63.767
destination,63.788,64.808
is,64.868,64.948
unknown.,65.068,65.788
I,65.808,65.828
followed,65.948,66.348
the,66.368,66.528
road,66.548,66.808
down,66.828,67.108
to,67.809,68.229
Mexico.,68.249,71.069
Sorry,71.109,71.71
Mr.,71.73,72.13
"Officer,",72.19,72.91
I,72.93,73.37
