My,25.976,26.216
eyes,26.377,26.597
"are,",26.817,27.017
that,28.859,29.239
is,29.359,29.84
how,31.161,31.962
I,32.503,32.763
use.,33.303,33.724
I'm,37.327,37.487
singing.,37.568,38.228
Into,39.615,39.976
my,40.016,40.236
style.,40.276,40.597
Oh!,40.617,40.717
Put,40.757,41.078
your,41.218,43.341
hands,44.003,44.944
on.,45.345,47.128
Oh!,48.029,48.23
Oh!,48.45,48.671
All,50.714,50.915
flowers,51.035,51.857
in,51.937,52.037
"time,",52.137,52.879
bend,53.3,53.781
towards,53.841,54.342
the,54.382,54.482
sun,54.522,55.064
I,55.525,55.625
know,55.645,55.865
you,55.946,56.086
say,56.166,56.527
that,56.587,56.727
there's,56.767,57.088
no,57.148,57.309
one,57.409,57.549
for,57.629,58.09
"you,",58.13,58.371
but,59.233,59.393
here,59.433,59.694
is,59.814,59.914
one,59.934,59.994
"Oh,",62.284,62.505
flowers,62.645,63.387
in,63.587,63.727
time,63.787,64.529
bend,64.89,65.371
towards,65.451,65.932
the,65.972,66.072
sun.,66.132,66.714
I,67.195,67.275
know,67.315,67.556
you,67.596,67.776
say,67.816,68.197
that,68.217,68.377
there's,68.397,68.738
no,68.778,68.919
one,68.999,69.199
for,69.239,69.76
"you,",69.82,70.161
but,70.903,71.023
here,71.063,71.284
is,71.404,71.604
one.,72.105,72.286
But,73.852,73.972
here,74.012,74.193
is,74.333,74.513
one,74.814,75.235
This,86.769,87.029
one,88.411,88.712
I,88.772,88.852
am,89.012,89.132
Love,101.557,101.817
Love,103.641,103.761
Love,103.781,104.021
"Oh,",123.329,123.549
flowers,123.669,124.811
in,125.271,125.452
"time,",125.472,125.552
then,125.932,126.233
two,126.273,126.453
for,126.493,126.793
the,126.813,127.615
sun,127.635,127.695
I,128.195,128.296
know,128.336,128.596
you,128.616,128.816
say,128.876,129.397
there's,129.437,129.738
no,129.778,129.998
way,130.018,130.198
for,130.298,130.919
"you,",130.979,131.16
but,131.941,132.081
here,132.121,132.462
is,132.542,132.682
one,133.623,133.763
"Oh,",135.009,135.189
flowers,135.349,135.97
in,136.19,136.25
the,136.27,136.35
"town,",136.41,137.07
bend,137.57,137.85
towards,137.89,138.45
the,138.47,138.59
sun.,138.631,139.211
I,139.811,139.911
know,139.951,140.211
you,140.251,140.431
see,140.471,140.951
there's,140.971,141.392
no,141.432,141.592
one,141.692,141.812
for,141.932,142.332
"you,",142.352,142.412
but,142.432,142.492
here,142.512,142.692
is,142.712,142.752
one.,142.772,142.832
But,143.512,143.652
here,143.712,144.053
is,144.173,144.273
one.,144.293,144.353
Bye.,169.405,169.468
Keep,172.422,172.722
it,172.902,173.062
going,173.182,173.763
in,173.963,174.123
