All,14.511,14.691
the,15.011,15.091
pretty,15.231,15.591
girls,15.651,16.192
like,16.272,16.652
Samuel,16.772,17.172
"Oh,",17.712,18.012
it,20.873,21.073
really,21.573,21.913
doesn't,21.973,22.693
show,22.873,23.653
Though,26.694,27.394
it's,27.554,27.694
more,27.874,28.154
than,28.174,28.295
he,28.315,28.595
can,28.655,29.155
handle,29.315,31.735
Life,32.996,33.656
is,33.976,34.196
anything,34.336,35.176
but,35.196,35.256
fair,35.356,35.876
Life,36.336,36.757
is,36.857,36.997
anything,37.297,38.197
but,38.217,38.377
fair,38.557,39.077
"Oh,",39.897,40.117
"oh,",40.538,40.678
"oh,",41.478,41.618
oh,42.018,42.118
Just,52.295,52.536
as,52.616,52.696
soon,52.776,53.316
as,53.396,53.496
they,53.536,53.817
turn,53.877,54.357
older,54.517,55.678
The,58.38,58.561
colors,58.621,59.041
sweep,59.061,59.642
them,59.662,59.802
off,59.962,60.122
their,60.162,60.542
feet,60.622,62.284
It's,64.786,64.986
only,65.046,65.346
making,65.386,66.167
me,66.207,66.467
feel,66.547,66.948
smaller,67.048,67.608
All,71.382,71.643
the,71.743,71.863
hidden,72.003,72.403
love,72.443,72.924
in,73.124,73.204
me,73.264,73.764
So,73.784,73.824
won't,75.726,76.106
you,76.146,76.446
lay,76.566,77.127
me,77.207,77.627
Won't,78.908,79.268
you,79.328,79.608
lay,79.728,80.469
me,80.569,81.069
down,81.15,81.67
Won't,82.11,82.41
you,82.49,82.771
lay,82.891,83.471
me,83.531,84.012
Won't,85.232,85.593
you,85.653,85.933
lay,86.053,86.794
me,86.894,87.354
down,87.454,87.954
Won't,88.395,88.815
you,88.855,89.115
lay,89.215,89.796
me,89.856,90.296
Won't,91.497,91.917
you,91.957,92.238
lay,92.318,93.098
me,93.178,93.579
down,93.739,94.159
Won't,94.179,95.02
you,95.14,95.4
lay,95.52,96.1
me,96.18,96.541
Won't,97.834,98.194
you,98.234,98.514
let,98.614,100.875
me,101.015,101.555
die?,101.615,102.335
All,128.024,128.284
"alone,",128.385,129.065
alone,129.185,129.906
again,129.986,130.506
No,130.526,130.566
one,131.367,131.607
lends,131.747,132.268
a,132.388,132.488
helping,132.508,133.328
hand,133.368,133.849
I,133.869,133.889
have,133.909,134.97
"waited,",135.07,136.071
I,136.091,136.111
have,136.131,138.152
waited,138.252,139.313
Takes,140.414,140.994
a,141.115,141.175
"toll,",141.235,141.815
my,141.855,142.015
foolish,142.075,142.756
pride,142.836,143.396
Long,143.777,144.157
before,144.197,144.938
I,145.018,145.118
see,145.198,145.758
the,145.798,145.898
light,145.958,146.499
I,146.519,146.539
have,146.559,147.62
waited,147.74,148.62
I,150.152,150.212
have,150.312,150.632
waited,150.712,151.992
for,152.112,152.953
you,152.973,153.033
to,153.813,153.953
lay,154.033,154.713
me,154.833,155.353
down,155.413,158.133
Sail,159.534,159.834
on,159.934,160.634
"by,",160.654,160.694
sail,161.094,161.374
on,161.514,161.694
by,161.754,162.414
for,162.514,163.034
now,163.114,164.655
They,165.435,166.415
play,166.495,166.855
naked,166.895,167.415
in,167.515,167.635
the,167.675,167.775
water,167.815,170.096
You,172.036,172.156
know,172.176,172.416
it's,172.536,172.716
"hard,",172.756,173.316
heaven,173.736,174.256
knows,174.276,175.016
I've,175.597,175.857
tried,176.037,177.057
But,178.652,178.893
it,178.933,178.973
just,179.053,179.653
keeps,179.853,180.214
getting,180.254,180.594
harder,180.754,181.715
So,182.936,183.096
won't,183.156,183.517
you,183.577,183.817
lay,183.977,184.478
me,184.638,185.038
Won't,186.379,186.76
you,186.82,187.06
lay,187.22,187.841
me,188.061,188.421
down,188.662,189.062
