"Perdona,",0.471,1.752
si,2.172,2.292
me,2.352,2.512
enamoras,2.572,3.012
o,3.072,3.152
traicionas,3.232,4.673
"Ay,",5.133,5.393
"ay,",5.473,5.713
"ay,",5.793,6.073
"ay,",6.133,6.334
en,6.474,6.554
mi,6.614,6.694
cama,6.754,7.134
La,7.994,8.094
otra,8.194,8.434
noche,8.494,8.855
te,8.875,9.035
vi,9.055,9.175
con,9.255,9.415
mi,9.435,9.615
pana,9.635,11.175
Así,11.255,11.476
se,11.536,11.636
pone,11.736,12.036
"duro,",12.096,12.736
"duro,",12.796,13.116
"duro,",13.156,13.456
duro,13.516,13.957
Con,14.017,14.197
esto,14.217,14.437
me,14.457,14.577
"matas,",14.697,15.237
robaste,15.357,15.897
mi,15.937,16.117
orgullo,16.197,16.758
Así,16.818,17.098
se,17.158,17.278
pone,17.378,17.698
"duro,",17.738,18.198
"duro,",18.438,18.758
"duro,",18.798,19.099
duro,19.159,19.599
No,19.619,19.779
sé,19.819,19.979
cómo,20.019,20.179
"olvidarte,",20.259,20.999
puto,21.259,21.56
te,21.58,21.82
lo,21.84,21.92
juro,22.22,22.42
Soy,23.563,23.683
problemática,23.743,24.485
en,24.545,24.605
la,24.626,24.706
cama,24.806,25.388
Pero,26.41,26.711
así,26.811,27.012
lo,27.052,27.212
arreglamos,27.333,28.275
No,29.218,29.318
creo,29.398,29.639
que,29.699,29.899
es,30.0,30.1
un,30.2,30.381
drama,30.461,30.882
Soy,31.828,32.028
una,32.168,32.308
"princesa,",32.348,32.788
me,32.928,33.048
gusta,33.068,33.388
cuando,33.448,33.729
gritamos,33.829,34.689
Yo,34.709,35.009
tengo,35.069,35.689
tu,35.749,35.949
fotodita,36.069,37.349
pa',37.529,37.83
besarte,37.93,39.35
tu,39.37,39.41
boquita,39.43,40.29
Y,40.41,40.49
cuando,40.65,41.09
te,41.11,41.51
"necesita,",41.771,43.091
yo,43.431,43.631
quiero,43.811,44.271
que,44.511,44.871
me,44.911,45.011
trates,45.211,45.572
bien,45.792,45.952
Yo,45.972,46.092
tengo,46.312,46.752
tu,47.012,47.232
fotodita,47.352,48.652
pa',48.812,49.112
besarte,49.232,50.653
tu,50.673,50.713
boquita,50.733,51.573
Y,51.713,51.773
cuando,51.953,52.373
te,52.393,52.433
"necesita,",53.053,54.394
yo,54.734,54.934
quiero,55.114,55.574
que,55.794,56.174
me,56.194,56.314
trates,56.494,56.854
bien,57.094,57.375
Bebe,57.615,57.855
no,57.875,57.955
me,57.975,58.095
dejas,58.115,58.375
sola,58.515,58.795
"Perdona,",59.65,61.43
si,61.47,61.59
me,61.65,61.79
enamoras,61.87,62.271
o,62.391,62.451
traicionas,62.531,63.951
"Ay,",64.411,64.671
"ay,",64.751,65.011
"ay,",65.091,65.391
"ay,",65.451,65.851
mi,65.911,65.971
cama,66.051,66.472
La,67.292,67.392
otra,67.512,67.732
noche,67.792,68.092
te,68.152,68.352
vi,68.372,68.492
con,68.552,68.712
mi,68.752,68.832
pana,68.912,70.312
Así,70.552,70.773
se,70.833,70.913
pone,71.033,71.293
"duro,",71.393,72.013
"duro,",72.093,72.413
"duro,",72.433,72.733
duro,72.793,73.233
Con,73.313,73.493
esta,73.533,73.773
me,73.793,73.933
"matas,",73.993,74.513
robaste,74.653,75.214
mi,75.274,75.374
orgullo,75.474,76.054
Así,76.174,76.394
se,76.454,76.554
pone,76.674,76.974
"duro,",77.034,77.474
"duro,",77.714,78.054
"duro,",78.074,78.394
duro,78.454,78.874
No,78.914,79.054
sé,79.114,79.194
cómo,79.294,79.594
"olvidarte,",79.675,80.295
"papito,",80.355,80.835
te,80.875,81.095
lo,81.115,81.215
juro,81.255,81.715
"Pero,",82.355,82.676
tengo,83.396,83.556
un,83.576,83.636
tatuaje,83.676,84.397
en,84.457,84.517
mi,84.577,84.677
seno,84.757,85.378
Es,85.878,85.958
la,86.038,86.118
marca,86.178,86.558
de,86.578,86.659
mi,86.679,86.759
piel,86.879,87.059
de,87.079,87.119
la,87.159,87.219
noche,87.259,87.539
anterior,87.799,88.38
¿Tú,88.74,88.8
te,88.82,88.98
acuerdas?,89.02,89.441
Me,89.721,89.801
quitaste,89.901,90.221
el,90.361,90.441
sueño,90.501,90.982
¿Qué,91.002,91.062
sentimiento?,91.522,92.102
Yo,92.223,92.323
necesito,92.403,93.023
medicación,93.123,94.064
Yo,94.124,94.244
te,94.344,94.524
lo,94.544,94.644
"di,",94.704,95.025
te,95.545,95.665
lo,95.705,95.765
advertí,95.825,96.426
Tengo,96.806,97.006
el,97.046,97.106
número,97.186,97.587
del,97.647,97.887
"cártel,",98.027,98.347
claro,98.387,98.667
que,98.727,98.887
sí,99.008,99.268
Yo,99.748,99.868
te,99.948,100.108
lo,100.148,100.268
"di,",100.329,100.649
pero,101.189,101.409
tú,101.529,101.71
no,101.77,101.85
Es,104.078,104.278
horrible.,104.318,105.219
Yo,105.259,105.419
tengo,105.639,106.059
tu,106.299,106.519
fototita,106.64,107.96
pa',108.1,108.401
besarte,108.501,109.321
tu,109.521,109.921
boquita,109.981,110.862
y,111.002,111.062
cuando,111.242,111.682
te,111.702,112.083
necesitas,112.363,113.684
yo,114.024,114.224
quiero,114.404,114.864
que,115.084,115.465
me,115.505,115.605
