You,10.682,10.842
shout,10.902,11.282
"hello,",11.302,12.263
but,13.384,13.604
I,13.905,14.025
can't,14.165,14.585
hear,14.665,15.306
a,15.326,15.346
word,15.666,16.186
you,16.246,16.426
say,16.607,17.848
I'm,18.548,18.728
talking,18.788,19.249
"loud,",19.369,20.109
not,20.49,20.67
saying,20.77,21.47
much,22.311,23.192
I'm,26.554,26.614
"criticized,",26.674,28.317
but,29.118,29.318
all,29.559,29.799
your,29.899,30.3
bullets,30.4,31.241
ricochet,31.441,33.785
You,34.265,34.466
shoot,34.486,34.766
me,34.786,34.987
"down,",35.067,35.648
but,35.688,35.748
I,35.768,35.788
get,36.308,36.549
up,36.629,36.709
I'm,42.291,42.351
"bulletproof,",42.391,43.753
nothing,44.154,44.594
to,44.634,45.496
lose,45.776,45.976
Far,46.377,46.938
"away,",46.958,47.939
far,48.139,48.84
away,48.86,49.401
"Ricochet,",50.242,51.544
take,52.225,52.546
your,52.586,52.826
"aim,",53.407,53.608
fire,54.128,54.709
"away,",54.729,55.791
fire,55.991,57.434
away,57.474,57.554
Shoot,58.095,58.395
me,58.435,58.615
"down,",58.676,59.517
but,59.877,60.278
I,60.298,60.318
won't,60.358,60.619
"fall,",60.719,61.28
I,61.3,61.32
am,62.401,62.482
titanium,62.522,63.143
Shoot,65.973,66.234
me,66.274,66.474
"down,",66.494,67.294
but,67.735,67.975
I,68.055,68.175
won't,68.195,68.455
fall,68.576,69.256
I,69.276,69.296
am,70.077,70.397
titanium,70.437,70.757
Cut,77.807,78.067
me,78.107,78.267
"down,",78.367,79.148
but,79.168,79.228
it's,80.208,80.468
you,80.588,80.888
who,81.069,81.429
have,81.549,81.969
further,82.069,82.889
to,83.009,83.35
fall,83.53,84.69
Ghost,85.631,86.131
"town,",86.251,86.951
haunted,86.971,89.252
love,89.512,90.413
Raise,93.522,93.823
your,93.843,94.003
"voice,",94.083,95.224
but,95.945,96.105
sticks,96.185,96.726
and,96.906,97.106
stones,97.186,97.747
may,97.827,98.147
break,98.268,98.728
my,98.848,99.169
bones,99.289,100.33
I'm,101.151,101.311
talking,101.371,101.832
"loud,",101.932,102.773
not,103.113,103.293
saying,103.353,104.054
much,104.815,105.316
I'm,109.064,109.225
"bulletproof,",109.285,110.507
nothing,111.007,111.448
to,111.508,111.969
lose,112.189,112.45
Fire,113.171,113.752
"away,",113.772,114.733
fire,114.934,115.655
away,115.675,116.516
"Ricochet,",116.536,117.598
take,117.678,118.279
your,118.299,119.06
aim,119.16,119.341
Fire,119.381,119.701
"away,",119.721,120.322
fire,121.103,121.604
away,121.624,122.405
Shoot,124.308,124.408
me,125.29,125.49
"down,",125.55,126.311
but,126.751,127.012
I,127.112,127.212
won't,127.252,127.492
fall,127.593,128.314
I,129.135,129.235
am,129.275,129.395
titanium,129.435,130.116
Shoot,132.86,133.161
me,133.181,133.341
"down,",133.381,134.102
but,134.563,134.783
I,134.944,135.024
won't,135.064,135.304
fall,135.384,136.045
I'm,136.065,136.787
titanium,136.807,137.608
I'm,144.905,145.066
titanium!,145.086,145.527
I'm,152.774,153.014
"titanium,",153.054,156.316
stone,156.416,156.957
"hard,",157.017,157.877
machine,157.897,158.898
gun,158.918,159.718
Firing,160.359,160.939
at,161.039,161.119
the,161.199,161.64
ones,161.68,161.86
who,161.9,162.28
run,162.32,163.161
Stone,164.282,164.683
"hard,",164.883,165.705
most,166.006,166.187
bulletproof,166.287,167.069
vest,167.089,167.309
You,175.925,176.086
shoot,176.166,176.467
me,176.487,176.628
"down,",176.708,177.23
but,177.912,178.153
I,178.253,178.334
won't,178.374,178.715
fall,178.815,179.498
I,180.341,180.421
am,180.501,180.602
titanium,180.642,181.284
Shoot,184.011,184.331
me,184.351,184.531
"down,",184.571,184.992
but,185.752,186.213
I,186.233,186.253
won't,186.273,186.573
fall,186.613,187.113
I,187.133,187.153
am,188.214,188.454
titanium,188.494,191.396
Shoot,191.817,192.157
me,192.177,192.397
"down,",192.417,193.218
but,193.658,193.898
I,194.018,194.099
won't,194.139,194.419
fall,194.459,195.079
I,195.099,195.119
am,196.04,196.3
titanium,196.34,196.981
You,198.503,199.244
shoot,199.684,199.985
me,200.005,200.105
"down,",200.145,200.886
but,200.906,200.966
I,201.887,201.947
won't,201.967,202.228
fall,202.328,202.969
I,202.989,203.009
am,203.029,203.069
titanium,203.529,204.551
