Que,11.34,11.44
mais,11.5,11.78
tem,11.84,12.041
de,12.061,12.141
acontecer,12.181,13.221
no,13.241,13.362
mundo,13.462,14.923
Para,16.444,16.604
inverter,16.644,17.144
o,17.184,17.225
teu,17.305,17.465
coração,17.545,18.085
para,18.185,18.325
mim,18.385,18.806
Que,21.268,21.368
quantidade,21.448,22.108
de,22.148,22.228
lágrimas,22.308,22.829
devo,22.869,23.129
deixar,23.189,23.609
cair,23.689,24.13
Que,24.75,24.87
flor,24.99,25.331
tem,25.411,25.551
que,25.611,25.711
nascer,25.751,26.291
Para,26.932,27.052
ganhar,27.092,27.472
o,27.512,27.552
teu,27.632,27.853
amor,27.873,28.173
Por,31.295,31.475
esse,31.535,31.836
"amor,",31.876,32.296
meu,32.356,32.516
"Deus,",32.596,32.877
eu,32.937,33.057
faço,33.277,33.877
tudo,34.017,34.898
Declamo,36.159,36.759
os,36.78,36.86
poemas,36.92,37.44
mais,37.54,37.96
lindos,38.04,38.541
do,38.581,38.661
universo,38.701,39.422
A,41.228,41.288
ver,41.408,41.909
se,42.189,42.289
te,42.329,42.41
convenço,42.55,43.591
que,44.552,44.632
a,44.652,44.672
minha,44.712,44.973
alma,45.093,45.593
nasceu,46.735,47.496
para,47.856,48.056
ti,48.176,48.256
Será,51.08,51.4
preciso,51.48,52.101
um,52.161,52.321
milagre,52.361,53.202
para,55.905,56.126
que,56.206,56.326
o,56.366,56.386
meu,56.426,56.586
coração,56.666,57.327
se,57.848,57.928
alegre,57.968,58.488
Juro,61.042,61.362
não,61.442,61.742
vou,61.822,61.962
desistir,62.023,62.723
Faça,63.423,63.823
chuva,64.023,64.424
ou,64.444,64.504
faça,64.564,64.964
sol,65.104,65.504
Porque,65.964,66.224
eu,66.264,66.324
preciso,66.404,66.965
de,67.005,67.085
ti,67.225,67.665
para,67.745,67.905
seguir,68.045,68.705
Quem,69.606,70.146
me,70.206,70.286
dera,70.366,71.006
Abraçar-te,72.127,72.887
no,72.967,73.107
"outono,",73.207,73.928
verão,74.048,74.568
e,74.628,74.708
primavera?,74.888,75.969
Quis-á,77.249,78.03
viver,78.05,78.47
além,78.55,79.19
uma,79.25,79.45
quimera?,79.53,80.311
Herdar,81.991,82.472
a,82.512,82.552
sorte,82.732,83.252
e,83.292,83.332
ganhar,83.372,83.912
teu,84.072,84.412
coração,84.512,85.053
Quem,88.853,89.393
me,89.874,89.954
dera,90.034,90.954
