Please,5.558,5.998
let,6.078,6.338
them,6.378,6.539
cross,6.639,6.999
the,7.039,7.159
line,7.219,7.699
It,8.159,8.259
looks,8.339,8.62
like,8.7,8.94
there's,9.02,9.34
been,9.36,9.68
a,9.72,9.74
crime,9.84,10.38
And,10.44,10.581
"ooh,",10.941,11.221
it's,11.461,11.621
your,11.681,11.901
favorite,12.021,12.522
type,12.562,13.062
Tempted,13.402,13.922
murder,14.022,14.583
of,14.823,14.963
my,15.003,15.163
mind,15.223,15.723
Can't,15.743,16.003
even,16.123,16.343
have,16.403,16.584
a,16.624,16.664
conversation,16.744,17.524
Without,17.564,17.884
you,17.904,18.064
breaking,18.084,18.525
character,18.565,19.025
"Yeah,",19.045,19.165
you're,19.205,19.345
going,19.365,19.705
Jason,19.745,20.185
To,20.385,20.586
face,20.686,21.006
"it,",21.106,21.166
it'll,21.186,21.386
be,21.406,21.546
a,21.606,21.646
cold,21.706,21.966
day,22.046,22.406
Wherever,22.507,22.967
hell,23.047,23.167
you,23.187,23.327
came,23.367,23.647
from,23.687,23.827
Before,23.847,24.247
I,24.427,24.508
let,24.528,24.808
you,24.828,25.028
get,25.048,25.208
inside,25.468,25.868
my,25.888,26.028
brain,26.088,26.429
And,26.509,26.669
get,26.729,26.929
in,26.969,27.089
"line,",27.649,27.949
get,28.049,28.249
in,28.289,28.409
line,29.01,29.17
And,30.495,30.655
"la-la-la-la,",30.695,32.016
you,32.096,32.337
were,32.397,32.677
not,32.757,32.957
the,33.077,33.217
first,33.357,33.658
to,33.718,33.958
try,33.998,34.578
Better,34.718,35.079
luck,35.339,35.659
next,36.019,36.36
time,36.7,37.18
Body,37.361,38.401
bag,38.702,39.342
Thought,39.362,40.683
you,40.743,40.963
could,41.023,41.284
put,41.384,41.604
me,41.684,42.084
in,42.164,42.224
a,42.324,42.625
body,42.685,43.746
bag,44.026,44.646
You,44.666,44.726
tried,45.667,46.328
your,46.368,46.608
"best,",46.688,46.968
but,47.048,47.408
it,47.468,47.609
was,47.669,47.949
never,48.009,48.309
gonna,48.369,48.709
last,48.77,49.07
You,49.37,49.67
know,49.69,50.051
"me,",50.091,50.251
I'm,50.331,50.531
always,50.611,51.031
coming,51.071,51.392
back,51.452,51.732
You,52.032,52.332
can,52.372,52.693
keep,52.733,52.933
your,52.993,53.333
body,53.413,54.434
bag,54.714,55.255
You,57.003,57.103
bought,57.123,57.263
"it,",57.723,57.923
bought,58.043,58.364
it,58.424,58.644
"Ha-ha,",59.424,59.604
did,59.644,59.804
you,59.844,59.964
miss,60.004,60.284
"me,",60.344,60.484
bitch?,60.524,60.804
Did,61.045,61.185
you,61.205,61.365
reminisce?,61.405,62.125
Handed,62.145,62.365
my,62.425,62.585
death,62.665,62.985
certificate,63.025,63.946
You,64.366,64.546
almost,64.726,64.986
got,65.026,65.186
away,65.266,65.626
with,65.646,65.806
it,65.926,66.067
But,66.327,66.467
the,66.507,66.627
rapist,66.707,67.087
snitched,67.107,67.467
