Sheets,24.34,25.141
of,25.541,25.862
empty,26.522,27.062
canvas,27.143,28.463
Under,29.965,30.945
sheets,31.085,31.706
of,31.866,31.926
clay,31.986,32.947
Hurley,36.449,37.65
spread,37.69,38.571
out,39.231,39.431
before,39.472,40.352
me,40.392,40.612
As,42.935,43.115
her,43.175,43.735
body,43.815,44.156
was,44.216,44.576
still,44.596,45.376
Though,45.396,49.638
all,51.078,51.218
five,51.298,52.079
horizons,52.139,53.559
Revolved,54.32,55.98
around,56.0,57.001
the,57.061,57.281
sun,57.401,58.181
As,59.462,59.542
the,59.562,59.742
earth,59.762,60.122
drew,60.162,60.362
the,60.382,60.462
sun,60.522,61.262
Now,62.303,62.923
the,62.943,63.823
air,64.183,64.624
I,64.644,65.224
tasted,65.284,65.864
and,65.944,66.024
breathed,66.064,68.725
Has,68.785,69.065
taken,69.125,69.485
a,69.585,69.625
turn,69.666,70.326
"Oh,",75.44,75.76
and,76.28,76.521
all,76.721,76.881
I,77.341,77.601
taught,77.701,78.261
her,78.301,78.561
was,78.621,79.342
everything,80.622,81.963
"Oh,",88.146,88.266
I,88.846,89.026
know,89.046,89.346
she,89.406,89.966
gave,90.246,90.767
me,90.827,91.067
all,91.607,91.947
that,92.968,93.248
she,93.288,94.828
wore,94.948,95.769
And,98.593,98.693
now,98.753,99.194
my,99.314,99.574
bitter,99.674,100.194
hands,100.274,101.015
shake,101.876,102.456
beneath,102.516,103.157
the,103.217,103.337
clouds,103.357,104.058
of,104.578,104.778
what,104.818,105.179
was,105.219,105.599
everything.,105.719,107.24
All,108.601,108.741
the,108.781,109.042
pictures,109.142,110.423
had,110.443,110.503
all,111.604,111.804
been,111.884,112.184
washed,112.244,112.585
in,112.665,112.805
"black,",112.865,113.505
tattooed,114.206,114.987
everything.,115.147,115.887
I,120.198,120.458
take,120.498,121.559
a,122.019,122.219
walk,122.259,122.619
outside,122.779,123.62
I'm,124.54,124.74
surrounded,124.78,125.72
by,125.781,127.801
some,127.821,128.101
kids,128.121,128.322
that,128.342,128.502
playin',128.542,129.662
I,131.983,132.163
can,132.223,132.923
feel,133.043,133.804
their,133.864,134.384
laughter,134.424,135.665
So,137.185,137.465
why,138.606,138.906
do,138.946,139.106
I,139.346,139.546
see,139.606,140.366
them?,140.386,144.908
And,145.349,145.569
twisted,145.649,146.609
thoughts,146.809,147.389
that,147.429,147.709
spin,147.729,148.27
Round,149.505,149.845
my,149.905,150.586
head,150.646,151.526
I'm,153.067,153.327
"spinning,",153.347,154.128
oh,154.148,154.188
I'm,156.189,156.369
spinning,156.389,157.169
How,157.269,157.99
quick,158.05,158.43
the,158.99,159.11
sun,159.23,159.871
can,159.911,160.491
drop,160.511,162.292
away,162.352,167.335
Now,167.455,168.075
my,168.155,168.435
bitter,168.515,168.976
hands,169.036,169.856
Cradle,170.657,171.577
broken,171.637,172.157
glass,172.217,172.918
Of,173.398,173.518
what,173.578,173.938
was,173.978,174.359
everything,174.479,175.779
All,177.3,177.46
the,177.54,177.68
beaches,177.821,178.321
set,178.401,179.281
All,180.342,180.522
been,180.582,180.882
washed,180.922,181.342
in,181.423,181.543
black,181.583,182.183
Tattooed,182.923,183.704
everything,183.804,185.365
All,186.545,186.725
the,186.785,187.066
love,187.146,187.686
gone,187.726,188.046
bad,188.086,188.847
Turned,189.347,189.747
my,189.827,190.127
world,190.167,190.928
to,190.988,191.128
black,191.168,191.748
Tattooed,192.148,192.929
all,193.049,193.149
I,193.829,193.989
see,194.029,194.77
All,194.79,195.97
that,196.03,196.371
I,197.111,198.012
am,198.032,198.072
All,198.892,199.052
I'll,199.312,199.512
be,199.552,199.833
Yeah,200.233,200.333
"Oh,",206.917,207.057
"oh,",209.081,209.181
oh,209.201,209.301
I,218.028,218.208
know,218.248,218.569
someday,218.649,219.209
you'll,219.249,219.469
have,219.509,219.709
a,219.75,219.79
beautiful,219.83,220.39
life.,220.43,220.71
I,221.211,221.351
know,221.391,221.691
you'll,221.771,222.111
be,222.171,222.351
a,222.391,222.431
star,222.512,223.272
in,223.913,224.133
somebody,224.213,225.754
else's,225.874,226.414
sky.,226.434,227.055
But,227.095,227.195
"why,",227.255,228.316
"why,",228.816,229.817
why,230.137,232.719
can't,232.779,232.999
I,233.079,233.259
be,233.299,233.84
mine?,233.86,233.94
"Ah,",249.736,249.776
"yeah,",249.797,251.5
I'll,251.781,252.062
do,252.142,252.202
it.,252.262,252.302
Yeah!,293.15,293.931
Yeah!,294.471,295.212
