Hey,33.755,34.636
"you,",34.656,34.716
out,36.457,36.618
there,36.678,36.938
in,36.998,37.078
the,37.118,37.198
"cold,",37.278,37.879
getting,37.979,38.299
"lonely,",38.359,38.92
getting,38.98,39.28
"old,",39.64,39.941
can,40.061,40.281
you,40.321,40.461
feel,40.581,40.981
me?,41.001,41.041
Hey,44.383,45.265
"you,",45.285,45.346
standing,46.989,47.491
in,47.551,47.631
the,47.691,47.791
aisles,48.212,48.493
with,48.533,48.693
itchy,48.773,49.034
feet,49.154,49.455
and,49.475,49.575
fading,49.696,50.097
"smiles,",50.217,50.778
can,50.858,51.079
you,51.119,51.259
feel,51.4,51.76
me?,51.78,51.821
Hey,56.153,56.814
"you,",56.834,56.894
don't,57.475,57.755
help,57.815,58.096
them,58.156,58.416
to,58.496,58.737
bury,58.837,59.558
the,59.618,59.758
light,59.898,62.662
Don't,66.648,67.029
give,67.109,67.329
in,67.549,67.63
without,69.535,70.315
a,70.395,70.415
fight.,70.616,70.976
Hail!,78.599,79.34
Out,81.411,81.551
there,81.591,81.852
on,81.952,82.013
your,82.053,82.233
"own,",82.494,82.715
sitting,82.896,83.217
naked,83.317,83.719
by,83.799,84.0
the,84.04,84.14
"phone,",84.24,84.863
would,84.983,85.204
you,85.244,85.404
touch,85.545,85.906
me?,86.006,86.167
Hey,89.295,89.776
"you,",89.876,90.216
with,90.236,91.618
your,91.658,91.839
ear,91.959,92.139
against,92.219,92.519
the,92.56,92.68
"wall,",92.74,93.361
waiting,93.381,93.901
for,93.961,94.282
someone,94.322,94.803
to,94.843,94.963
call,95.023,95.383
"out,",95.524,95.644
would,95.704,95.904
you,95.924,96.144
touch,96.244,96.645
me?,96.705,96.865
Hey,101.007,101.308
"you,",101.348,101.748
would,102.129,102.389
you,102.429,102.649
help,102.709,102.99
me,103.05,103.31
to,103.41,103.671
carry,103.751,104.432
the,104.532,104.712
stone?,104.732,107.556
Open,111.401,111.901
your,111.942,112.242
heart,112.322,112.743
I'm,114.572,114.754
coming,114.896,115.321
home.,115.402,115.686
But,175.773,175.953
it,176.013,176.093
was,176.154,176.414
only,176.674,177.295
fantasy.,177.495,178.717
The,182.622,182.803
wall,182.843,183.183
was,183.203,183.503
too,183.584,183.844
high,183.964,184.445
as,184.805,184.925
you,185.005,185.286
can,185.426,185.867
see.,186.007,186.307
No,190.123,190.303
matter,190.363,190.764
how,190.824,191.144
he,191.204,191.344
"tried,",191.404,191.965
he,192.005,192.125
could,192.185,192.445
not,192.505,192.765
break,192.926,193.326
free.,193.426,193.926
And,197.59,197.69
the,197.71,197.83
worms,197.87,198.551
ate,198.791,198.991
into,199.091,199.551
his,199.611,199.872
brain.,199.972,200.432
"No,",212.182,212.386
we,212.406,212.467
can't.,212.549,212.711
"Hey,",233.619,234.819
out,236.4,236.58
there,236.62,236.9
on,237.04,237.12
the,237.14,237.281
"road,",237.301,237.881
always,238.041,238.461
doing,238.541,238.861
what,238.921,239.122
you're,239.162,239.342
told.,239.402,240.002
Can,240.122,240.342
you,240.382,240.602
help,240.662,240.942
me?,241.023,241.283
Hey,244.38,244.781
you!,244.841,245.402
Out,246.825,246.945
there,247.005,247.286
beyond,247.326,247.727
the,247.767,247.847
wall!,247.887,248.428
Freaking,248.448,249.029
bottles,249.129,249.59
in,249.71,249.811
the,249.851,250.011
hall!,250.071,250.632
Can,250.752,250.993
you,251.013,251.213
help,251.314,251.654
me?,251.754,252.035
Hey,256.155,256.657
you!,256.717,257.259
Don't,257.379,257.64
tell,257.74,258.021
me,258.081,258.422
there's,258.443,258.744
no,258.824,259.205
hope,259.245,259.947
at,261.211,261.292
all!,261.974,262.114
Together,266.219,266.56
we,266.901,267.181
"stand,",267.242,267.964
divided,267.984,270.17
we,270.23,270.431
fall.,270.531,271.113
