Follow,22.237,22.998
the,23.058,23.259
Moskwa,23.319,24.14
down,25.402,25.702
to,25.782,26.103
Gonky,26.223,26.784
Park,26.824,27.705
listening,28.506,29.248
to,29.348,29.728
the,29.828,29.949
wind,30.029,30.69
of,31.491,31.591
change.,31.711,34.615
August,36.664,37.185
summer,37.285,37.805
night,37.905,38.426
Soldiers,39.627,40.387
passing,40.507,41.108
by,41.148,41.949
Listening,41.969,43.53
to,43.63,43.97
the,44.071,44.231
wind,44.311,44.971
of,45.772,45.872
change,45.972,48.955
The,71.196,71.316
world,71.356,71.697
is,71.877,72.057
closing,72.137,73.299
in,73.319,73.359
Did,74.581,74.801
you,74.841,75.162
ever,75.482,75.823
think,75.943,76.764
That,76.784,77.706
we,77.746,77.906
could,77.966,78.447
be,78.527,78.827
so,78.887,79.128
close,79.168,79.829
Like,80.55,80.81
brothers?,80.85,83.554
The,85.489,85.589
future's,85.649,86.39
in,86.631,86.811
the,86.871,87.552
"air,",87.572,87.632
can,88.633,88.794
feel,88.834,89.094
it,89.314,89.555
"everywhere,",89.855,91.057
blowing,91.978,92.719
with,92.799,93.2
the,93.24,93.4
wind,93.44,94.261
of,94.922,95.042
change.,95.142,98.106
Take,99.923,101.245
me,101.326,101.947
to,102.688,102.888
the,102.908,103.089
magic,103.109,103.91
of,104.09,104.251
the,104.311,104.511
moment,104.531,105.212
on,105.793,105.893
a,106.014,106.074
glory,106.114,107.657
"night,",107.717,108.177
where,109.039,109.299
the,109.319,109.42
children,109.46,110.301
of,110.461,110.622
tomorrow,110.642,111.684
dream,111.824,112.265
away.,112.365,112.765
In,114.708,114.829
the,114.869,114.969
wind,115.029,115.31
of,115.43,115.53
change.,115.61,117.594
Mmm.,117.614,117.675
Walking,126.835,127.596
down,127.697,128.037
the,128.097,128.217
"street,",128.258,130.02
distant,130.06,130.802
memories,130.882,132.424
are,133.145,133.226
buried,133.246,134.047
in,134.247,134.407
the,134.447,134.628
past,134.688,135.449
forever.,135.99,137.913
I,140.994,141.054
follow,141.094,141.875
the,141.915,142.135
"Moskva,",142.175,144.258
down,144.318,144.638
to,144.718,145.039
Gorky,145.119,145.699
"Park,",145.719,146.661
listening,147.361,148.603
to,148.623,148.663
the,148.723,148.863
wind,148.923,149.644
of,150.385,150.525
change.,150.605,153.649
Take,155.392,156.675
me,156.795,157.597
to,158.199,158.399
the,158.439,158.6
magic,158.62,159.401
of,159.582,159.742
the,159.802,160.023
moment,160.043,160.704
on,161.326,161.406
a,161.526,161.586
glory,161.607,163.19
night.,163.21,163.772
where,164.513,164.773
the,164.813,164.893
children,164.954,165.754
of,165.874,166.035
tomorrow,166.135,167.116
dream,167.276,167.716
away,167.856,169.218
in,170.158,170.279
the,170.339,170.439
wind,170.499,170.799
of,170.899,170.979
change,171.079,173.562
The,175.878,176.018
wind,176.058,176.379
of,176.439,176.539
change,176.599,176.979
blows,177.019,177.4
straight,177.46,178.281
into,179.042,179.362
the,179.422,179.643
face,179.723,180.223
of,180.383,180.504
time.,180.604,181.184
Like,181.585,181.945
a,182.025,182.065
storm,182.126,182.466
"wind,",182.506,182.846
then,183.147,183.367
we,183.407,183.727
ring,183.788,184.248
the,184.588,184.709
freedom,184.749,185.269
bell,185.309,185.81
for,186.17,186.331
peace,186.351,186.611
of,186.771,186.911
mind.,186.971,187.692
Sing,188.493,188.894
what,188.935,189.095
my,189.135,189.275
guitar,189.336,189.737
wants,189.757,190.058
to,190.098,190.358
sing.,190.378,190.539
take,225.17,226.471
me,226.571,227.312
into,227.853,228.153
the,228.173,228.333
magic,228.353,229.134
of,229.294,229.474
the,229.534,229.775
moment,229.795,230.455
on,231.056,231.196
a,231.276,231.336
glory,231.396,232.898
night,232.938,233.478
where,234.259,234.519
the,234.559,234.659
children,234.699,235.54
of,235.68,235.8
tomorrow,235.9,236.901
dream,237.042,237.482
away,237.602,238.363
In,239.906,240.006
the,240.047,240.187
wind,240.228,240.569
of,240.609,240.73
change,240.83,243.765
When,265.127,265.247
you,265.287,265.367
look,265.407,265.588
at,265.608,265.728
it,265.748,265.788
from,265.848,266.008
up,266.088,266.148
"here,",266.188,266.489
you,266.909,267.01
get,267.03,267.15
an,267.17,267.23
appreciation,267.27,268.031
of,268.171,268.311
our,268.672,268.772
world,268.792,268.972
is,269.032,269.132
a,269.172,269.212
beautiful,269.232,269.593
place,269.633,269.913
and,269.993,270.074
we,270.114,270.214
do,270.254,270.374
need,270.394,270.534
to,270.554,270.654
take,270.674,270.835
care,270.875,271.075
of,271.115,271.155
it.,271.295,271.335
