I,17.954,18.035
told,18.115,18.355
you,18.396,18.556
about,18.576,19.097
living,19.158,19.679
in,19.819,19.92
a,20.04,20.12
US,20.301,20.722
of,20.822,20.922
A.,21.123,21.404
Don't,21.484,21.725
you,21.765,21.905
know,21.985,22.366
that,22.387,22.747
I'm,22.868,23.008
a,23.108,23.209
gangster,23.229,23.75
of,23.83,23.931
love?,23.971,24.332
Let,25.987,26.267
me,26.488,26.668
tell,26.708,26.988
you,27.008,27.188
people,27.248,27.689
that,27.769,28.009
I,28.069,28.23
found,28.25,28.53
a,28.65,28.73
new,28.77,28.95
way,29.01,29.251
and,29.651,29.751
I'm,29.851,29.971
tired,30.011,30.512
of,30.632,30.732
all,30.852,30.993
this,31.033,31.173
talk,31.233,31.493
about,31.573,32.054
love,32.214,33.135
and,33.615,33.715
the,33.776,33.956
same,33.996,34.496
old,34.697,34.877
story,34.997,35.738
with,35.778,36.018
a,36.118,36.218
new,36.278,36.458
set,36.498,36.799
of,36.879,36.959
words,36.999,37.399
about,37.64,38.0
the,38.04,38.22
good,38.26,38.541
and,38.641,38.781
the,38.801,39.001
bad,39.041,39.522
and,39.622,39.742
the,39.782,39.942
poor.,39.982,40.243
And,41.61,41.73
the,41.77,41.951
times,42.011,42.412
keep,42.492,42.712
on,42.812,42.973
"changing,",43.013,43.714
so,43.734,43.854
I'm,44.075,44.235
keeping,44.255,44.736
on,44.836,44.996
top,45.017,45.257
of,45.638,45.778
every,45.898,46.199
fat,46.259,46.479
cat,46.519,46.8
who,47.02,47.221
walks,47.261,47.541
through,47.581,47.762
my,47.782,47.982
door,48.022,49.144
of,49.645,49.765
a,49.886,49.946
space,49.966,51.969
cowboy.,52.05,53.492
Bet,54.113,54.574
you,54.594,54.854
aren't,55.074,55.275
ready,55.415,55.815
for,55.855,56.116
that,56.136,56.516
I'm,57.778,57.918
a,58.038,58.098
space,58.118,60.121
cowboy,60.201,61.723
I'm,62.264,62.424
sure,62.464,63.225
you,63.265,63.505
know,63.525,63.745
where,63.785,64.086
it's,64.146,64.266
at,64.506,64.707
"Yeah,",64.767,65.227
"yeah,",65.287,65.728
"yeah,",65.768,66.228
yeah,66.289,66.909
Yeah.,77.0,77.36
I,93.18,93.281
was,93.301,93.541
born,93.581,94.103
on,94.203,94.304
this,94.324,94.484
rock,94.564,94.966
and,95.146,95.347
I've,95.427,95.547
been,95.587,95.768
traveling,95.788,96.249
through,96.269,96.49
space,96.51,96.951
since,97.052,97.473
the,97.533,97.934
moment,97.954,98.255
I,98.335,98.436
first,98.496,98.917
realized,98.997,99.318
What,100.933,101.153
all,101.253,101.393
you,101.433,101.613
past,101.633,101.873
talking,101.913,102.313
cats,102.394,102.754
would,102.914,103.194
do,103.354,103.654
if,103.954,104.054
you,104.094,104.294
could,104.334,104.614
You,104.874,105.034
know,105.074,105.314
I'm,105.415,105.535
ready,105.595,106.035
for,106.075,106.315
the,106.355,106.495
final,106.535,106.995
surprise,107.015,108.416
There,108.736,108.956
ain't,109.056,109.216
no,109.256,109.656
way,109.716,110.136
around,110.156,110.676
"it,",110.836,110.936
ain't,111.116,111.276
nothin',111.457,111.917
to,111.957,112.117
say,112.177,112.477
That's,112.497,112.877
gonna,112.917,113.377
satisfy,113.417,114.157
my,114.197,114.357
soul,114.398,114.658
deep,114.678,114.918
inside,114.978,115.678
All,116.7,116.86
the,116.9,117.021
prayers,117.081,117.522
and,117.662,117.803
so,117.823,118.023
bears,118.083,118.504
keep,118.564,118.825
the,118.865,119.005
whole,119.066,119.446
place,119.547,119.827
uptight.,119.928,120.329
Mama,120.589,120.99
keeps,121.05,121.551
on,121.632,121.732
getting,121.752,122.213
darker,122.273,122.734
outside.,122.835,123.937
I'm,124.558,124.659
a,124.779,124.859
space,124.879,126.862
"cowboy,",126.923,128.505
but,128.966,129.367
you,129.427,129.667
weren't,129.727,130.128
ready,130.228,130.629
for,130.689,130.93
that.,130.95,131.45
I'm,132.542,132.662
a,132.782,132.842
space,132.862,134.884
cowboy.,134.944,136.426
I'm,137.006,137.126
sure,137.166,137.687
you,137.947,138.167
know,138.187,138.428
where,138.468,138.748
it's,138.828,138.948
at.,139.168,139.369
"Yeah,",139.449,139.889
"yeah,",139.929,140.369
"yeah,",140.409,140.83
yeah.,140.89,141.33
What?,152.952,153.119
I've,224.234,224.355
seen,224.375,224.615
your,224.655,224.796
"showdowns,",224.836,225.538
"slowdowns,",225.598,226.5
lost,226.58,227.001
and,227.102,227.242
"found,",227.322,227.723
"turnarounds,",227.763,228.565
a,228.645,228.726
"pause,",228.786,229.227
and,229.347,229.447
the,229.488,229.688
military,229.728,230.39
shirts.,230.45,230.851
I,232.013,232.113
keep,232.133,232.333
my,232.373,232.553
eyes,232.773,232.913
on,232.993,233.133
the,233.173,233.313
"prize,",233.353,233.854
on,233.994,234.114
the,234.134,234.294
long-falling,234.334,235.234
"skies,",235.274,235.794
and,235.914,236.034
I,236.174,236.234
don't,236.274,236.755
let,236.775,236.975
my,237.015,237.195
friends,237.235,237.855
get,237.875,238.135
hurt.,238.195,239.155
All,239.776,239.896
you,239.936,240.096
black-proved,240.136,240.996
"schemers,",241.056,241.956
power-tripped,242.056,242.917
"dreamers,",243.017,243.737
better,243.797,244.197
find,244.257,244.497
something,244.537,244.957
new,245.037,245.357
to,245.698,245.938
say.,245.998,246.478
Cause,247.459,247.659
you're,247.679,247.939
the,247.979,248.1
same,248.14,248.44
old,248.56,248.781
"story,",248.841,249.341
it's,249.481,249.642
the,249.682,249.822
same,249.882,250.283
old,250.523,250.723
"crime,",250.823,251.244
and,251.424,251.524
you've,251.564,251.805
got,251.865,252.145
some,252.285,252.546
heavy,252.606,253.006
dues,253.066,253.507
to,253.547,253.707
pay.,253.807,254.769
I'm,255.369,255.53
the,255.55,255.67
Space,255.69,257.713
Cowboy.,257.773,259.154
That,259.755,260.136
you,260.196,260.476
are,260.716,260.937
ready,261.037,261.437
for,261.497,261.738
that,261.758,262.418
I'm,263.339,263.48
the,263.52,263.66
Space,263.7,265.602
Cowboy,265.662,267.084
I'm,267.664,267.804
sure,267.865,268.365
you,268.665,268.886
know,268.906,269.126
where,269.166,269.466
it's,269.526,269.647
at,269.867,270.067
"Yeah,",270.147,270.628
"yeah,",270.668,271.108
"yeah,",271.148,271.569
