It's,1.128,1.268
a,1.288,1.308
test,1.328,1.568
of,1.609,1.669
the,1.709,1.789
ancient,1.849,2.089
firebenders,2.149,2.83
to,2.87,2.97
keep,3.01,3.23
the,3.27,3.35
flame.,3.41,3.671
"Well,",15.076,15.276
all,15.356,15.477
I,15.497,15.517
got,15.557,15.877
is,15.917,16.077
honesty.,16.137,16.738
Hard-working,16.858,17.419
girls,17.459,17.759
always,17.919,18.38
come,18.4,18.54
on,18.68,18.76
to,18.78,18.981
me.,19.021,19.241
I,20.162,20.222
guess,20.242,20.462
I,20.543,20.683
gotta,20.723,21.243
go,21.283,21.784
see,21.804,21.964
you,22.004,22.144
when,22.164,22.325
I'm,22.385,22.485
back,22.525,22.785
from,22.825,23.025
Mexico.,23.286,24.187
Don't,24.667,24.968
hate,25.008,25.308
if,25.348,25.408
you,25.448,25.589
can't,25.629,25.909
relate,25.949,26.45
to,26.49,26.61
this,26.65,26.83
slumber,26.89,27.511
and,27.531,27.591
sadly,27.611,28.091
street,28.132,28.472
parade.,28.492,28.993
I,30.164,30.184
don't,30.244,30.404
want,30.424,30.584
to,30.604,30.704
be,30.744,31.005
your,31.025,31.285
man,31.325,31.585
no,31.645,31.905
more.,31.965,32.306
I,32.326,32.346
want,32.926,33.106
to,33.126,33.226
make,33.266,33.506
love,33.566,33.806
too.,33.867,34.147
Dancing,35.087,35.748
out,35.948,36.108
of,36.208,36.288
all,36.528,36.688
my,36.728,36.989
mind.,37.029,37.289
What's,42.656,43.279
up?,43.319,43.499
What's,43.6,43.841
up?,43.901,43.961
and,50.36,50.46
as,50.621,50.721
the,50.781,50.881
day,50.941,51.382
is,51.442,51.982
long,52.002,52.083
something,52.723,53.084
i,53.164,53.244
can,53.264,53.404
promise,53.444,54.045
you,54.065,54.366
that,54.566,54.706
if,54.766,54.846
i,54.926,55.006
was,55.027,55.207
the,55.227,55.607
president,55.968,56.749
i'd,57.069,57.149
hire,57.189,57.49
strippers,57.63,58.151
for,58.171,58.331
my,58.351,58.471
cabinet,58.491,61.575
if,61.856,62.096
you,62.136,62.256
never,62.296,62.557
hear,62.597,62.777
another,62.817,63.178
word,63.198,63.378
you,63.418,63.498
know,63.538,63.718
the,63.738,63.818
reason,63.858,64.119
why,64.159,64.399
There's,65.36,65.62
something,65.66,66.101
you,66.161,66.461
should,66.582,67.182
know,67.202,67.282
I,68.284,68.384
declare,68.464,69.085
you're,69.145,69.385
stoked,69.505,70.086
I,70.587,70.647
don't,70.667,70.827
wanna,70.847,71.107
be,71.167,71.428
your,71.468,71.708
man,71.768,72.028
no,72.108,72.349
more,72.409,72.729
I,72.749,72.769
wanna,73.35,73.63
make,73.67,73.911
love,73.971,74.211
too,74.271,74.571
Dan,75.513,75.793
Sonata,75.833,76.674
on,76.974,77.115
my,77.155,77.375
mind,77.455,78.116
"Oh,",79.797,80.438
I,80.698,80.738
don't,80.758,80.918
want,80.958,81.098
to,81.118,81.238
be,81.278,81.358
your,81.458,81.819
man,81.859,82.139
no,82.199,82.439
more.,82.479,82.799
I,82.819,82.839
want,83.419,83.56
to,83.6,83.68
make,83.72,84.0
love,84.08,84.32
to,84.36,84.5
you.,84.54,84.72
And,85.701,85.861
Sonata,85.901,86.761
on,87.042,87.182
my,87.222,87.462
mind.,87.502,88.322
I,111.039,111.099
don't,111.119,111.239
want,111.279,111.419
to,111.439,111.5
be,111.56,111.82
your,111.86,112.101
man,112.141,112.422
no,112.482,112.722
more,112.783,113.204
I,113.665,113.745
want,113.785,113.945
to,113.985,114.046
make,114.106,114.326
love,114.406,114.647
to,114.707,115.228
Ensenada,116.03,117.113
on,117.413,117.534
my,117.574,117.774
mind,117.854,118.215
"Oh,",120.279,120.639
I,121.079,121.159
don't,121.179,121.279
want,121.319,121.479
to,121.499,121.62
be,121.66,121.76
your,121.82,122.18
man,122.24,122.52
no,122.58,122.84
more,122.88,123.201
No,123.501,123.641
quiero,123.661,124.121
sentir,124.161,124.682
tu,124.702,125.002
amor,125.182,125.643
Encerrada,126.143,127.284
en,127.484,127.604
mi,127.624,127.884
mente,127.964,129.665
There's,131.026,131.307
something,131.347,131.827
you,131.887,132.187
should,132.247,132.487
know,132.528,132.768
I,133.945,134.026
declare,134.086,134.667
your,134.707,135.007
stuff.,135.068,135.508
This,136.09,136.21
I,136.25,136.33
mean,136.45,136.831
you,136.871,137.152
should,137.212,137.432
know.,137.472,137.713
I,138.977,139.077
declare,139.097,139.698
you're,139.738,140.058
stoked,140.118,140.578
There's,141.118,141.439
something,141.459,141.839
you,141.879,142.199
should,142.219,142.459
know,142.499,143.0
I,144.02,144.14
declare,144.18,144.821
you're,144.861,145.041
stoked,145.061,145.541
There's,146.181,146.522
something,146.542,146.922
you,146.942,147.282
should,147.302,147.522
know,147.582,148.303
I,149.023,149.183
declare,149.223,149.964
you're,150.004,150.344
so,150.564,150.864
stoked,151.004,151.425
Let's,154.059,154.382
go!,154.422,154.483
