Came,14.28,14.54
up,14.62,14.7
to,14.74,14.96
the,15.0,15.121
surface,15.201,15.741
I,15.841,15.921
cannot,15.961,16.481
remember,16.541,17.522
How,18.643,18.903
long,19.003,19.323
I've,19.443,19.583
been,19.623,19.944
swimming,20.024,20.684
Drowning,22.765,23.466
Can't,26.325,26.565
stop,26.585,26.806
growing,26.846,27.126
accustomed,27.186,27.787
to,27.847,28.028
all,28.228,28.388
of,28.468,28.568
the,28.608,28.729
sharks,28.789,29.35
and,30.632,30.772
the,30.832,31.052
9-minute,31.072,31.573
breathing.,31.833,32.554
Now,36.932,37.132
I,37.192,37.252
won't,37.292,37.492
just,37.513,37.793
mind,37.873,38.593
the,38.653,39.214
"gap,",39.374,40.054
I'll,40.515,40.695
fill,40.875,41.155
it.,41.295,41.536
If,43.037,43.137
I'm,43.237,43.357
gonna,43.377,43.877
eat,44.158,44.638
this,44.698,44.998
"mosquito,",45.058,45.999
I'll,46.659,46.82
thank,46.9,48.341
it.,48.361,48.401
I,49.302,49.382
have,49.422,49.562
been,49.602,49.882
relieved.,49.962,51.243
Made,51.463,52.544
the,52.584,52.764
most,52.824,53.644
of,53.805,53.965
this,54.005,54.325
life,54.445,54.805
From,55.065,55.225
here,55.265,55.486
on,55.546,55.666
I'll,55.726,55.926
spit,55.946,56.646
back,56.746,57.107
Whatever,57.307,58.067
don't,58.107,58.387
taste,58.427,58.888
right,58.988,59.728
One,61.009,61.189
time,61.229,61.589
I,61.729,61.95
told,62.01,62.63
my,62.79,63.45
heart,63.55,64.671
to,64.711,64.951
shut,65.011,65.352
up,65.652,65.752
But,67.132,67.352
I,67.432,67.513
know,67.553,67.693
that,67.733,68.093
I,68.614,68.794
can,68.854,69.395
win,69.575,70.056
back,70.156,70.457
hurt,70.497,70.857
to,70.877,71.097
us.,71.458,71.678
I,73.321,73.381
owe,73.441,73.561
at,73.661,73.741
least,73.781,74.102
that,74.162,74.722
much,74.883,75.544
to,75.624,75.944
the,76.024,76.164
both,76.204,76.745
of,76.905,77.006
us.,79.008,79.209
Developed,92.782,93.644
a,93.664,93.684
knack,93.724,94.005
for,94.025,94.185
this,94.225,94.426
dull,94.446,94.706
conversation,94.766,95.969
I'd,97.232,97.412
sharpen,97.472,97.993
my,98.033,98.214
"wit,",98.274,98.595
but,99.016,99.396
what's,100.138,100.479
my,100.559,100.759
motivation?,100.82,101.681
Don't,104.848,105.068
need,105.089,105.289
to,105.329,105.509
be,105.569,105.69
clever,105.77,106.291
to,106.311,106.431
tell,106.531,106.832
you,106.872,107.072
that,107.112,107.373
I'm,107.633,107.853
just,108.074,108.635
a,109.076,109.136
total,109.196,109.556
mess,109.597,109.877
and,109.977,110.117
that,110.158,110.398
I,110.678,110.919
must,111.099,111.68
throw,112.061,112.341
that,112.402,112.582
old,112.682,112.862
self,112.882,113.283
away.,113.303,113.784
If,115.492,115.552
I,115.572,115.592
don't,115.612,115.973
get,116.013,116.273
right,116.393,116.974
"now,",117.134,117.695
I,118.376,118.536
will,118.676,119.197
always.,119.557,120.338
Eat,121.755,121.855
what,121.895,122.135
you,122.175,122.335
can't,122.395,123.036
sleep,123.076,123.416
with,123.456,123.656
the,123.696,123.836
snakes,123.896,124.617
here,124.697,124.997
in,125.097,125.177
this,125.217,125.397
cold,125.457,125.938
grave.,126.038,127.018
I,127.038,127.058
have,127.939,128.079
been,128.119,128.379
really,128.439,129.76
made,129.96,131.041
the,131.081,131.261
most,131.321,132.221
of,132.281,132.482
this,132.522,132.822
life,132.942,133.302
from,133.542,133.722
here,133.762,133.982
on,134.022,134.163
out,134.223,134.423
space.,134.443,134.743
back,135.224,135.624
whatever,135.805,136.566
don't,136.586,136.927
taste,136.947,137.328
right,137.468,138.29
one,139.512,139.692
time,139.732,140.093
I,140.233,140.534
told,140.554,141.155
my,141.275,141.957
heart,142.057,143.199
to,143.239,143.42
shut,143.52,143.841
up,144.141,144.241
But,145.635,145.835
I,145.935,145.996
know,146.036,146.176
that,146.236,146.616
I,147.117,147.257
can,147.357,147.878
win,147.898,147.958
back,148.659,148.939
her,148.999,149.32
to,149.34,149.64
her.,149.76,150.121
I,150.141,150.161
owe,151.823,152.063
at,152.163,152.243
least,152.283,152.584
that,152.644,153.225
much,153.405,154.026
to,154.106,154.446
the,154.506,154.666
both,154.707,155.227
of,155.367,155.447
us.,157.47,157.75
I,159.262,159.342
was,159.402,160.003
waiting,160.123,161.886
for,162.006,162.287
this,162.387,162.667
to,162.687,163.048
happen,163.108,163.749
to,163.849,164.15
me.,164.29,165.051
But,166.453,166.834
nothing's,166.854,167.515
happening.,167.575,168.536
I,171.702,171.862
feel,172.003,172.703
my,172.763,173.344
skin,173.404,174.224
as,174.444,174.664
the,174.704,174.885
sun,174.985,175.685
burns,175.765,176.466
it.,176.866,177.126
And,177.807,177.907
something,177.987,178.567
in,178.707,178.888
me,178.928,179.088
starts,179.108,179.428
letting.,179.488,180.168
Cause,180.769,180.949
one,181.029,181.149
more,181.189,181.469
look,181.549,181.89
might,181.93,182.23
change,182.29,182.81
it,182.87,182.95
all.,184.432,184.572
One,186.877,187.178
more,187.218,187.519
word,187.559,187.901
might,187.981,188.282
change,188.303,188.785
it,188.885,188.985
all.,189.307,189.367
One,192.911,193.212
more,193.252,193.552
time,193.592,193.953
might,194.013,194.314
change,194.374,194.754
it,194.895,198.0
all.,198.02,199.021
One,199.102,199.262
more,199.302,199.582
case,199.643,200.003
might,200.063,200.324
change,200.384,200.804
it,200.905,200.985
all.,201.005,201.085
One,205.073,205.213
more,205.294,205.595
"look,",205.695,206.037
my,206.097,206.459
gentle,206.479,208.066
