I'm,12.327,12.488
like,12.548,12.708
the,12.748,12.849
water,12.909,13.229
when,13.249,13.41
your,13.43,13.57
ship,13.61,13.891
rolled,13.971,14.312
in,14.472,14.632
that,14.693,14.933
night,15.033,15.474
Rough,17.86,18.22
on,18.341,18.421
the,18.461,18.541
surface,18.601,18.942
but,18.982,19.122
you,19.142,19.303
cut,19.323,19.603
through,19.644,19.984
like,20.085,20.485
a,20.546,20.686
knife,20.766,21.287
And,24.192,24.272
if,24.392,24.492
it,24.572,24.652
was,24.692,24.893
an,24.933,25.013
open,25.113,25.333
shut,25.373,25.653
case,25.733,26.474
I,27.054,27.155
never,27.195,27.495
would,27.535,27.775
have,27.795,27.895
known,27.935,28.215
from,28.255,28.416
the,28.436,28.556
look,28.616,28.796
on,28.856,28.976
your,28.996,29.216
face,29.276,29.677
Lost,30.057,30.377
in,30.457,30.557
your,30.577,30.718
current,30.758,31.118
like,31.138,31.338
a,31.378,31.418
priceless,31.478,32.799
wine,32.919,33.4
The,35.59,35.69
more,35.73,35.891
that,35.911,36.071
you,36.091,36.392
"say,",36.452,36.953
the,37.013,37.153
less,37.193,37.514
I,37.694,37.814
know,37.874,38.195
Wherever,38.476,38.937
you,38.977,39.217
stray,39.277,39.838
or,39.918,39.979
follow,40.039,41.001
I'm,41.021,41.441
begging,41.481,41.822
for,41.862,42.143
you,42.203,42.604
to,42.764,42.864
take,42.924,43.205
my,43.285,43.566
hand,43.626,44.026
Wreck,44.327,44.547
my,44.708,44.948
"plans,",45.028,45.509
that's,45.81,46.07
my,46.171,46.431
man,46.511,46.872
Life,47.894,48.154
was,48.254,48.434
a,48.494,48.534
willow,48.614,48.975
and,49.055,49.175
it,49.215,49.275
bent,49.355,49.616
right,49.696,49.916
to,49.996,50.316
your,50.376,50.677
wind,50.737,51.257
Head,53.6,53.961
on,54.061,54.141
the,54.161,54.241
pillow,54.321,54.661
I,54.741,54.822
could,54.842,55.002
feel,55.042,55.382
you,55.442,55.662
sneaking,55.723,56.944
in,57.404,57.485
As,59.933,60.033
if,60.113,60.173
you,60.213,60.374
were,60.414,60.614
a,60.654,60.694
mythical,60.754,61.315
thing,61.435,62.076
Like,62.877,63.057
you,63.097,63.237
were,63.278,63.478
a,63.498,63.518
trophy,63.578,63.998
or,64.059,64.239
a,64.259,64.279
champion,64.299,65.0
ring,65.04,65.32
And,65.641,65.741
there,65.781,65.941
was,65.981,66.101
one,66.241,66.362
prize,66.442,66.882
that,66.902,67.123
she,67.223,67.823
to,68.084,68.324
win,68.344,68.605
The,71.311,71.391
more,71.431,71.612
that,71.632,71.792
you,71.812,72.092
"say,",72.173,72.674
the,72.754,72.814
less,72.894,73.175
I,73.215,73.255
know.,73.415,73.916
Wherever,74.196,74.637
you,74.697,74.938
"stray,",75.018,75.539
I,75.559,75.579
follow.,75.599,76.741
Begging,77.202,77.543
for,77.583,77.843
you,77.903,78.304
to,78.324,78.364
take,78.625,78.905
my,79.006,79.286
hand.,79.346,79.707
My,80.388,80.668
"plans,",80.728,81.209
that's,81.489,81.75
my,81.83,82.11
man,82.19,82.57
You,82.751,82.851
know,82.891,83.051
that,83.091,83.231
my,83.271,83.531
train,83.591,84.112
could,84.152,84.292
take,84.332,84.633
you,84.693,84.913
home,85.073,85.393
Anywhere,85.854,86.374
else,86.735,86.995
is,87.075,87.175
hollow,87.235,88.176
I'm,88.497,88.557
begging,88.597,88.937
for,88.977,89.257
you,89.318,89.858
to,89.878,89.918
take,90.038,90.339
my,90.419,90.679
hand,90.719,91.16
Wreck,91.48,91.76
my,91.82,92.1
"plans,",92.181,92.681
that's,92.941,93.202
my,93.302,93.562
man,93.642,94.083
Life,97.888,98.209
was,98.269,98.429
a,98.529,98.569
willow,98.629,98.97
and,99.05,99.17
it,99.23,99.271
bent,99.331,99.651
right,99.731,99.992
to,100.012,100.272
your,100.392,100.733
wind,100.773,101.414
They,103.898,104.059
count,104.139,104.419
me,104.439,104.64
out,104.92,105.12
time,105.241,105.561
and,105.601,105.701
time,105.782,106.162
again,106.242,106.643
Life,109.298,109.639
was,109.699,109.879
a,109.959,109.999
willow,110.039,110.38
and,110.5,110.58
it,110.64,110.7
bent,110.76,111.061
right,111.161,111.421
to,111.481,111.762
your,111.842,112.162
wind,112.222,112.803
But,115.206,115.427
I,115.507,115.687
come,115.727,115.947
back,115.967,116.208
stronger,116.268,116.829
than,116.869,117.049
a,117.129,117.169
90s,117.249,117.79
trend,117.91,118.431
Wait,119.292,119.633
for,119.673,119.833
the,119.873,119.953
signal,120.033,120.434
and,120.494,120.594
I'll,120.634,120.754
meet,120.774,121.035
you,121.095,121.355
after,121.675,122.016
dark,122.036,122.116
Show,124.996,125.357
me,125.397,125.538
the,125.598,125.678
places,125.718,126.059
where,126.1,126.3
the,126.341,126.421
others,126.642,127.083
gave,127.204,127.565
you,127.605,128.067
scars,128.087,128.187
Now,131.458,131.618
this,131.658,131.838
is,131.918,132.039
an,132.099,132.179
open,132.259,132.479
shut,132.519,132.779
case,132.839,133.6
I,134.24,134.3
guess,134.32,134.541
I,134.601,134.661
should,134.681,134.921
have,134.941,135.041
known,135.081,135.361
from,135.401,135.561
the,135.581,135.702
look,135.762,135.942
on,136.002,136.142
your,136.162,136.382
face,136.422,136.843
Every,137.283,137.523
bit,137.543,137.723
and,137.763,137.903
switch,137.923,138.224
was,138.284,138.444
a,138.544,138.584
work,138.644,139.605
of,139.885,140.105
art,140.365,140.646
The,142.729,142.829
more,142.869,143.049
that,143.069,143.23
you,143.27,143.51
"say,",143.59,144.11
the,144.171,144.251
less,144.311,144.571
I,144.811,144.971
know.,144.991,145.332
Wherever,145.572,146.073
you,146.113,146.413
"stray,",146.433,146.973
I,146.993,147.014
follow.,147.174,148.095
I'm,148.115,148.175
begging,148.615,148.936
for,148.996,149.256
you,149.336,149.836
to,149.897,149.997
take,150.057,150.257
me.,150.277,150.317
Take,150.337,150.497
my,150.557,150.677
"hand,",150.757,151.138
wreck,151.498,151.718
my,151.859,152.099
"plans,",152.159,152.659
that's,152.94,153.2
my,153.28,153.601
man,153.641,154.001
You,154.181,154.261
know,154.301,154.501
that,154.521,154.662
my,154.702,155.022
train,155.062,155.523
could,155.563,155.723
take,155.763,156.063
you,156.103,156.303
home,156.323,156.804
Anywhere,157.325,157.845
else,158.125,158.406
is,158.486,158.606
hollow,158.666,159.607
Begging,160.047,160.368
for,160.408,160.668
you,160.748,161.189
to,161.209,161.249
take,161.489,161.749
my,161.869,162.15
"hand,",162.21,162.55
wreck,162.911,163.111
my,163.251,163.511
"plans,",163.571,163.791
that's,163.811,164.052
my,164.072,164.112
man,164.212,164.292
That's,164.372,164.592
my,164.672,165.133
man.,165.173,165.413
More,165.714,165.914
that,165.954,166.074
you,166.114,166.375
"say,",166.455,166.915
the,167.056,167.156
less,167.236,167.556
I,167.716,167.837
know.,167.857,168.177
Wherever,168.197,168.978
you,169.018,169.258
"stray,",169.279,169.799
I,169.959,170.019
