All,3.466,3.606
"right,",3.686,4.046
man.,4.126,4.586
So,4.946,5.086
how,5.126,5.226
are,5.246,5.326
we,5.346,5.386
doing,5.406,5.626
this?,5.666,5.847
So,6.987,7.207
I,7.527,7.587
know,7.627,7.767
you,7.807,7.867
don't,7.907,8.067
like,8.107,8.267
doing,8.287,8.507
this,8.527,8.907
that,8.987,9.147
"often,",9.207,9.507
but,9.547,9.747
we've,9.827,9.967
been,10.007,10.107
practicing,10.147,10.487
a,10.527,10.568
lot.,10.608,10.868
I,10.908,10.968
think,11.008,11.108
we,11.148,11.208
can,11.228,11.328
do,11.348,11.428
it,11.448,11.488
live,11.568,11.748
in,11.788,11.868
one,11.908,12.008
take.,12.028,12.248
Live?,13.708,14.068
One,15.208,15.349
take?,15.369,15.629
OK.,17.449,17.769
We've,18.209,18.349
been,18.369,18.469
practicing,18.509,18.989
a,19.029,19.049
lot.,19.109,19.269
So,19.289,19.329
"yeah,",19.529,19.909
we,19.929,19.969
can,20.25,20.57
do,20.59,20.75
it.,20.77,20.81
"Yeah,",21.21,21.35
one,21.43,21.51
take.,21.53,21.67
That's,21.69,22.31
all,22.33,22.39
it's,22.41,22.49
going,22.51,22.65
to,22.67,22.71
take.,22.73,22.87
Just,24.39,24.53
once.,24.63,24.77
All,84.316,84.436
along,84.476,84.896
I,85.397,85.497
denied,85.517,86.457
and,86.537,86.617
buried,86.757,87.198
it,87.318,87.418
beside,87.538,88.598
The,88.618,89.199
decaying,89.239,89.979
thoughts,90.159,90.699
came,90.9,91.12
crawling,91.22,91.64
back,91.72,92.04
inside,92.16,92.841
Maybe,93.201,93.541
I,93.721,93.841
never,93.941,94.541
had,94.642,94.922
a,95.002,95.042
way,95.102,95.382
to,95.422,95.762
keep,95.782,95.982
it,96.122,96.222
all,96.462,96.623
at,96.723,96.843
bay,96.943,97.583
One,98.784,99.064
day,99.164,99.684
I,99.784,99.884
will,99.924,100.204
fade,100.284,100.765
away,101.165,102.486
Relive,102.626,104.727
with,104.787,105.727
death,105.867,106.528
All,107.749,109.25
around,109.33,110.851
"us,",110.931,111.151
life,111.552,113.373
is,113.493,113.653
best,113.794,114.714
left,114.934,115.615
when,116.055,117.216
we,117.276,117.897
embrace,118.057,119.398
it,119.418,119.478
Now,138.546,138.746
that,138.766,138.986
I,139.066,139.206
see,139.267,139.507
the,139.667,139.807
"signs,",140.027,140.787
I'll,140.928,141.048
keep,141.128,141.388
it,141.488,141.608
in,141.688,141.788
my,142.088,142.929
mind,142.949,143.029
Learn,143.789,144.19
to,144.23,144.41
thrive,144.49,145.25
and,145.29,145.45
come,145.61,145.911
alive,145.991,147.111
without,147.492,147.992
a,148.092,148.192
doubt,148.292,148.812
I'm,149.333,149.573
a,149.933,150.033
son,150.133,150.634
of,150.694,150.814
my,150.934,151.234
grave,151.274,152.014
Until,153.095,154.076
I'm,154.276,154.496
saved,154.656,155.136
"away,",155.216,156.337
oh,156.797,156.997
yeah,157.137,157.978
Living,158.038,159.099
for,159.139,159.499
a,159.859,160.119
"death,",160.259,161.0
oh,161.44,162.101
Life,164.564,165.005
is,165.145,165.486
best,165.906,166.928
when,167.028,168.07
we're,168.191,169.092
with,169.273,170.054
Christ,170.374,170.815
It's,212.035,213.856
never,214.196,214.756
gonna,214.956,215.797
happen.,217.938,219.478
