See,28.363,28.603
the,28.643,28.743
stone,28.844,29.604
set,29.724,30.205
in,30.385,30.525
your,30.605,31.006
eyes,31.666,32.047
See,32.727,33.007
the,33.047,33.168
thorn,33.288,33.968
twist,34.068,34.629
in,34.729,34.869
your,34.949,35.33
side,35.45,36.411
I'll,37.351,37.632
wait,37.692,38.733
for,39.533,39.814
you,39.894,40.074
Sleight,45.717,46.198
of,46.258,46.318
hand,46.398,47.058
and,47.339,47.579
twist,47.659,47.999
of,48.139,48.339
fate,48.5,49.14
On,49.641,49.741
a,49.781,49.801
bed,49.881,50.281
of,50.441,50.622
nails,50.742,51.402
she,51.482,51.923
makes,52.063,52.363
me,52.423,52.703
wait,52.844,53.664
And,54.665,54.805
I,54.925,55.066
wait,55.106,56.247
without,56.947,57.688
you,57.788,59.129
With,60.771,60.971
or,61.211,61.371
without,61.411,62.092
you,62.212,63.934
With,65.135,65.375
or,65.695,65.875
without,65.955,67.537
you,67.617,67.917
Through,71.87,72.21
the,72.25,72.351
storm,72.451,73.231
we,73.391,73.772
reached,73.832,74.472
the,74.633,75.333
shore,75.353,75.453
You,75.794,75.994
gave,76.074,76.474
it,76.594,76.714
all,77.395,77.615
but,77.695,77.915
I,78.276,78.476
want,78.516,78.896
more,79.076,79.977
And,80.858,80.998
I'm,81.098,81.218
waiting,81.278,83.18
for,83.38,83.82
you,83.961,84.621
With,86.923,87.223
or,87.364,87.544
without,87.584,88.284
you,88.364,89.826
With,90.987,91.627
or,91.968,92.108
without,92.168,93.269
you,93.369,93.569
"I,",94.49,94.67
I,95.791,95.891
can't,95.951,96.451
live,96.512,96.932
With,99.969,100.37
or,100.57,100.691
without,100.791,102.315
you,102.376,102.616
then,113.302,113.602
you,113.662,114.083
give,114.143,114.883
yourself,114.944,115.804
away,115.904,117.306
and,117.786,117.926
you,117.986,118.206
give,118.267,119.207
yourself,119.287,120.128
away,120.148,121.449
and,122.09,122.23
you,122.29,122.49
give,122.55,123.571
and,124.372,124.492
you,124.532,124.772
give,124.832,125.833
and,126.534,126.654
you,126.714,127.135
give,127.195,127.955
yourself,128.015,128.836
away,128.856,131.098
my,131.198,131.639
hands,132.579,132.94
are,133.12,133.32
tied,133.42,134.321
the,136.683,136.803
body,136.943,137.523
bruise,137.543,138.284
she,138.504,138.764
got,138.884,139.364
me,139.444,139.804
with,139.984,140.504
nothing,141.324,141.905
win,142.145,143.865
and,143.885,143.945
nothing,144.605,145.286
left,145.446,146.126
to,146.246,146.506
lose,146.606,147.666
and,148.286,148.406
you,148.467,148.867
give,148.967,149.727
yourself,149.767,150.627
away,150.747,151.888
and,152.668,152.788
you,152.848,153.028
give,153.108,154.048
yourself,154.108,155.068
away,155.208,156.389
and,157.029,157.169
you,157.209,157.389
give,157.449,158.549
and,159.21,159.33
you,159.37,159.55
give,159.63,160.31
And,161.371,161.551
you'd,161.571,161.911
give,162.031,162.831
yourself,162.891,163.652
away,163.672,165.153
With,165.333,165.673
or,165.693,165.853
without,165.893,166.574
you,166.654,168.555
With,169.695,170.176
or,170.196,170.436
without,170.536,171.496
you,171.597,173.378
I,174.038,174.218
can't,174.318,174.718
live,174.778,177.46
With,178.42,178.821
or,178.861,179.101
without,179.201,180.762
you,180.842,181.042
We've,200.219,200.42
only,200.6,201.021
got,201.061,201.602
you,201.642,201.802
With,204.502,204.842
or,205.063,205.243
without,205.363,206.443
you,206.503,208.284
I,208.905,209.065
can't,209.145,209.645
live,209.725,212.487
With,212.507,213.107
or,213.187,213.507
without,214.088,215.589
you,215.689,216.889
With,217.55,217.89
or,218.23,218.43
without,218.49,219.431
you,219.531,219.931
oh,227.4,229.642
oh,229.842,230.363
