See,28.363,28.603
the,28.643,28.743
stone,28.844,29.604
set,29.724,30.205
in,30.385,30.525
your,30.605,31.006
eyes.,31.666,32.047
See,32.727,33.007
the,33.047,33.168
thorn,33.288,33.968
twist,34.068,34.629
in,34.729,34.869
your,34.949,35.33
side.,35.45,36.411
I'll,37.351,37.632
wait,37.692,38.733
for,39.533,39.814
you.,39.894,40.074
Sleight,45.717,46.198
of,46.258,46.338
hand,46.398,47.039
and,47.34,47.56
twist,47.64,48.001
of,48.141,48.321
fate,48.501,49.122
On,49.643,49.723
a,49.783,49.823
bed,49.883,50.585
of,50.605,50.645
nails,50.745,51.386
she,51.506,51.907
makes,52.067,52.367
me,52.427,52.688
wait,52.848,53.669
And,54.671,54.811
I,54.951,55.051
wait,55.111,56.253
without,56.934,57.695
you,57.795,58.216
With,60.748,60.969
or,61.229,61.389
without,61.429,62.17
you,62.21,63.992
With,65.113,65.374
or,65.654,65.814
without,65.934,67.596
you,67.636,67.897
Through,71.87,72.231
the,72.251,72.351
storm,72.431,73.172
we,73.192,73.232
reach,73.252,74.114
the,74.174,74.474
shore.,74.635,75.456
You,75.796,75.997
give,76.077,76.678
it,76.698,76.738
"all,",77.419,77.619
but,77.699,77.9
I,78.28,78.481
want,78.521,78.921
more.,79.102,80.003
And,80.864,81.005
I'm,81.105,81.225
waiting,81.285,83.208
for,83.388,83.849
you.,83.969,84.149
With,86.911,87.211
or,87.371,87.532
without,87.572,88.253
you,88.333,89.896
With,90.999,91.62
or,91.9,92.081
without,92.161,93.263
you,93.363,93.584
"I,",94.646,94.686
I,95.788,95.868
can't,95.969,96.45
live,96.53,96.87
With,99.969,100.37
or,100.57,100.691
without,100.791,102.315
you,102.376,102.616
Then,113.322,113.583
you,113.663,114.104
give,114.184,114.906
yourself,114.946,115.809
away,115.829,117.333
And,117.794,117.914
you,117.974,118.215
give,118.275,119.217
yourself,119.298,120.16
away,120.24,120.982
And,122.084,122.225
you,122.285,122.485
"give,",122.545,123.486
and,124.367,124.488
you,124.548,124.768
"give,",124.828,125.769
and,126.53,126.65
you,126.711,127.111
give,127.191,127.972
yourself,128.012,128.813
away.,128.833,131.076
My,131.156,131.637
hands,132.578,132.959
are,133.119,133.299
tied.,133.399,134.301
The,136.683,136.823
body,136.943,137.604
"bruised,",137.764,138.264
she,138.524,138.785
got,138.885,139.325
me,139.445,139.805
with,139.985,140.486
nothing,141.326,141.907
win,142.147,142.947
and,143.868,143.928
nothing,144.609,145.289
left,145.489,146.15
to,146.27,146.51
lose.,146.61,147.491
and,148.271,148.412
you,148.472,148.872
give,148.952,149.734
yourself,149.774,150.495
And,161.371,161.571
you,161.591,161.891
give,162.051,162.812
yourself,162.912,163.613
away,163.633,164.894
With,165.334,165.674
or,165.694,165.854
without,165.894,166.575
you,166.655,168.557
With,169.377,170.078
or,170.138,170.458
without,170.538,171.519
you,171.599,171.859
Can't,174.281,174.721
live,174.861,177.402
with,177.422,177.502
or,178.222,178.383
without,178.423,179.023
you,179.043,179.103
With,190.984,192.066
all,194.75,199.578
I've,200.32,201.021
got,201.061,201.602
you.,201.642,201.802
With,204.502,204.943
or,205.043,205.223
without,205.363,206.445
you,206.485,208.287
I,208.908,209.068
can't,209.148,209.649
live,209.729,212.492
With,212.512,213.093
or,213.193,213.493
without,213.874,215.616
you,215.696,216.337
Without,217.379,218.483
a,218.663,218.824
virtue.,218.884,219.346
Oh.,236.255,236.515
